"","site_code","region_code","region_name","region_name_label","region_code_label","decimal_latitude","decimal_longitude","region_lat_name","avg_region_lat","samples","sites"
"14","HG_TK","BC_HGb","BC_HG","Haida Gwaii, British Columbia","Haida Nation, British Columbia",53.19458,-132.12775166665,3,52.9281802129648,135,9
"15","HG_DN","BC_HGb","BC_HG","Haida Gwaii, British Columbia","Haida Nation, British Columbia",53.15408083335,-132.26982766665,3,52.9281802129648,135,9
"16","HG_SB","BC_HGa","BC_HG","Haida Gwaii, British Columbia","Haida Gwaii, British Columbia",52.631124,-131.60783125,3,52.9281802129648,135,9
"17","HG_RI","BC_HGa","BC_HG","Haida Gwaii, British Columbia","Haida Gwaii, British Columbia",52.57346275,-131.39581525,3,52.9281802129648,135,9
"18","HG_BH","BC_HGa","BC_HG","Haida Gwaii, British Columbia","Haida Gwaii, British Columbia",52.34841,-131.362913333333,3,52.9281802129648,135,9
"19","HG_LIE","BC_HGa","BC_HG","Haida Gwaii, British Columbia","Haida Gwaii, British Columbia",52.228491,-131.278427666667,3,52.9281802129648,135,9
"20","HG_ROI","BC_HGa","BC_HG","Haida Gwaii, British Columbia","Haida Gwaii, British Columbia",52.20474,-131.14211,3,52.9281802129648,135,9
"21","CC_FAN3","BC_CC","BC_CC","Central Coast British Columbia","Central Coast British Columbia",52.0534175,-128.40325075,4,51.6781844027778,100,6
"22","CC_GOG1","BC_CC","BC_CC","Central Coast British Columbia","Central Coast British Columbia",51.92385,-128.468065,4,51.6781844027778,100,6
"23","CC_KIS2","BC_CC","BC_CC","Central Coast British Columbia","Central Coast British Columbia",51.8367216666667,-128.239288666667,4,51.6781844027778,100,6
"24","CC_PBA","BC_CC","BC_CC","Central Coast British Columbia","Central Coast British Columbia",51.646445,-128.11899475,4,51.6781844027778,100,6
"25","CC_CHP","BC_CC","BC_CC","Central Coast British Columbia","Central Coast British Columbia",51.60867225,-128.11100075,4,51.6781844027778,100,6
"26","CC_KIS1","BC_CC","BC_CC","Central Coast British Columbia","Central Coast British Columbia",51,-128.5,4,51.6781844027778,100,6
"27","NV_KC","BC_NV","BC_NV","North Vancouver Island, British Columbia","North Vancouver Island, British Columbia",50.52238825,-127.57589065,5,50.4940294808333,91,5
"28","NV_PC","BC_NV","BC_NV","North Vancouver Island, British Columbia","North Vancouver Island, British Columbia",50.5181539125,-127.65494901875,5,50.4940294808333,91,5
"29","NV_KB","BC_NV","BC_NV","North Vancouver Island, British Columbia","North Vancouver Island, British Columbia",50.4971572,-127.8555162,5,50.4940294808333,91,5
"30","NV_BI","BC_NV","BC_NV","North Vancouver Island, British Columbia","North Vancouver Island, British Columbia",50.488348975,-128.0457531325,5,50.4940294808333,91,5
"31","NV_JL","BC_NV","BC_NV","North Vancouver Island, British Columbia","North Vancouver Island, British Columbia",50.4440990666667,-127.501391933333,5,50.4940294808333,91,5
"32","IC_OPB","BC_IC","BC_IC","Inner Coast, British Columbia","Inner Coast, British Columbia",50.137183125,-125.21423375,6,50.092424875,100,5
"33","IC_MAB","BC_IC","BC_IC","Inner Coast, British Columbia","Inner Coast, British Columbia",50.1178255,-125.225831,6,50.092424875,100,5
"34","IC_SHS","BC_IC","BC_IC","Inner Coast, British Columbia","Inner Coast, British Columbia",50.091105,-125.04424575,6,50.092424875,100,5
"35","IC_GOW","BC_IC","BC_IC","Inner Coast, British Columbia","Inner Coast, British Columbia",50.08008675,-125.21621525,6,50.092424875,100,5
"36","IC_SMB","BC_IC","BC_IC","Inner Coast, British Columbia","Inner Coast, British Columbia",50.035924,-124.99510075,6,50.092424875,100,5
"37","PP_EB","BC_PP","BC_PP","Pacific Rim Park, British Columbia","Pacific Rim Park, British Columbia",49.195217,-125.9433,7,49.037514662393,135,13
"38","PP_S","BC_PP","BC_PP","Pacific Rim Park, British Columbia","Pacific Rim Park, British Columbia",49.19295,-125.862383,7,49.037514662393,135,13
