site_code,region_name,region_lat_name,region_code_label,avg_site_lat,sst20_summer_mean_c,sst20_summer_sd_c,sst21_summer_mean_c,sst21_summer_sd_c,sst22_summer_mean_c,sst22_summer_sd_c,sst23_summer_mean_c,sst23_summer_sd_c,sst24_summer_mean_c,sst24_summer_sd_c,region_code,region_name_label,samples,sites,mean_5yr_site
SE_NZ,AK_SE,2,Southeast Alaska,55.2476495,12.59783935546875,1.32538902759552,12.986358642578125,1.5690884590148926,13.386077880859375,1.5306686162948608,12.99714183807373,2.024048328399658,12.99714183807373,2.024048328399658,AK_SE,Southeast Alaska,68,6,12.992911911010742
HG_DSD,BC_HG,3,"Haida Gwaii, British Columbia",54.009672,12.43519115447998,1.1544009447097778,13.020721435546875,1.6368995904922485,12.92847728729248,1.7395859956741333,13.280192375183105,1.7421793937683105,13.280192375183105,1.7421793937683105,BC_HGa,"Haida Gwaii, British Columbia",127,9,12.98895492553711
HG_MDD,BC_HG,3,"Haida Gwaii, British Columbia",54.0090613333333,12.432159423828125,1.1549838781356812,13.01213550567627,1.6374093294143677,12.920329093933105,1.7341119050979614,13.27081298828125,1.7447391748428345,13.27081298828125,1.7447391748428345,BC_HGa,"Haida Gwaii, British Columbia",127,9,12.98125
HG_TK,BC_HG,3,"Haida Nation, British Columbia",53.19458,13.134989738464355,1.234207034111023,13.891743659973145,1.974697470664978,13.666717529296875,2.2831063270568848,14.652445793151855,1.7470070123672485,14.652445793151855,1.7470070123672485,BC_HGb,"Haida Gwaii, British Columbia",127,9,13.999668502807618
HG_DN,BC_HG,3,"Haida Nation, British Columbia",53.15408083335,13.088714599609375,1.332560420036316,13.730244636535645,1.9518969058990479,13.482879638671875,2.141857385635376,14.41789722442627,1.8607972860336304,14.41789722442627,1.8607972860336304,BC_HGb,"Haida Gwaii, British Columbia",127,9,13.827526664733886
HG_SB,BC_HG,3,"Haida Gwaii, British Columbia",52.631124,12.595051765441895,1.5942188501358032,13.461506843566895,1.883276104927063,13.37378978729248,2.5586578845977783,13.964996337890625,1.7410136461257935,13.964996337890625,1.7410136461257935,BC_HGa,"Haida Gwaii, British Columbia",127,9,13.472068214416504
HG_RI,BC_HG,3,"Haida Gwaii, British Columbia",52.57346275,12.54859447479248,1.566650390625,13.388264656066895,1.863774061203003,13.406779289245605,2.4987990856170654,13.97869873046875,1.6566787958145142,13.97869873046875,1.6566787958145142,BC_HGa,"Haida Gwaii, British Columbia",127,9,13.460207176208495
HG_BH,BC_HG,3,"Haida Gwaii, British Columbia",52.34841,12.669047355651855,1.5569546222686768,13.35010814666748,1.7672889232635498,13.188201904296875,2.3879265785217285,13.83983325958252,1.7765949964523315,13.83983325958252,1.7765949964523315,BC_HGa,"Haida Gwaii, British Columbia",127,9,13.37740478515625
HG_LIE,BC_HG,3,"Haida Gwaii, British Columbia",52.228491,12.735188484191895,1.530860424041748,13.296895027160645,1.7705599069595337,13.061737060546875,2.310002326965332,13.74639892578125,1.8632599115371704,13.74639892578125,1.8632599115371704,BC_HGa,"Haida Gwaii, British Columbia",127,9,13.317323684692383
HG_ROI,BC_HG,3,"Haida Gwaii, British Columbia",52.20474,12.76177978515625,1.4847558736801147,13.312052726745605,1.772813320159912,13.156474113464355,2.2876124382019043,13.85023021697998,1.857756495475769,13.85023021697998,1.857756495475769,BC_HGa,"Haida Gwaii, British Columbia",127,9,13.386153411865234
CC_FAN3,BC_CC,4,Central Coast British Columbia,52.0534175,14.27110767364502,1.4521735906600952,14.247599601745605,1.1193666458129883,14.255818367004395,2.175549030303955,14.454874992370605,1.6308003664016724,14.454874992370605,1.6308003664016724,BC_CC,Central Coast British Columbia,104,6,14.336855125427245
