motu,motu_swarm,asv,curated,lulu_rank,found_taxa,common_name,rank,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only,biogeographical_notes,group,fish_base_url,n_dups,remove
motu819,motu819,ASV2220,parent,839,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu846,motu846,ASV2292,parent,865,Bos,Cow,offtarget,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu852,motu852,ASV2313,parent,871,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu859,motu859,ASV2338,parent,878,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu889,motu889,ASV2434,parent,909,Bos,Cow,offtarget,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu890,motu890,ASV2437,parent,910,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu911,motu911,ASV2477,parent,930,Bos,Cow,offtarget,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu921,motu921,ASV2498,parent,939,Bos,Cow,offtarget,98.81,2.02e-80,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu922,motu922,ASV2505,parent,940,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu937,motu937,ASV2541,parent,955,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu956,motu956,ASV2587,parent,971,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu965,motu965,ASV2603,parent,978,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu971,motu971,ASV2619,parent,985,Bos,Cow,offtarget,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1003,motu1003,ASV2690,parent,1016,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1028,motu1028,ASV2742,parent,1040,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1032,motu1032,ASV2757,parent,1044,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1051,motu1051,ASV2810,parent,1063,Bos,Cow,offtarget,99.401,4.3699999999999996e-82,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1067,motu1067,ASV2853,parent,1079,Bos,Cow,offtarget,98.81,2.02e-80,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1071,motu1071,ASV2861,parent,1083,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1079,motu1079,ASV2878,parent,1091,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1086,motu1086,ASV2891,parent,1099,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1118,motu1118,ASV2942,parent,1132,Bos,Cow,offtarget,99.398,1.5699999999999998e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1120,motu1120,ASV2947,parent,1133,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1148,motu1148,ASV2992,parent,1163,Bos,Cow,offtarget,99.398,1.5699999999999998e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1155,motu1155,ASV3003,parent,1170,Bos,Cow,offtarget,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1157,motu1157,ASV3008,parent,1172,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1158,motu1158,ASV3009,parent,1173,Bos,Cow,offtarget,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1186,motu1186,ASV3071,parent,1200,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1189,motu1189,ASV3076,parent,1203,Bos,Cow,offtarget,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1195,motu1195,ASV3086,parent,1209,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1197,motu1197,ASV3090,parent,1211,Bos,Cow,offtarget,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1204,motu1204,ASV3101,parent,1219,Bos,Cow,offtarget,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1222,motu1222,ASV3133,parent,1236,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1225,motu1225,ASV3141,parent,1238,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
