found_taxa,common_name,temp_95,region_mean_meansst,region_label
Oncorhynchus gorbuscha,Pink salmon,16.0632,16.0234,"Willapa Bay, Washington"
Oncorhynchus keta,Chum salmon,15.5522,16.0234,"Willapa Bay, Washington"
Oncorhynchus tshawytscha,Chinook salmon,15.8,16.0234,"Willapa Bay, Washington"
Platichthys stellatus,Starry flounder,10.108,16.0234,"Willapa Bay, Washington"
Thaleichthys pacificus,Eulachon,14.1884,16.0234,"Willapa Bay, Washington"
Platichthys stellatus,Starry flounder,10.108,12.7653,"Yaquina Bay, Oregon"
Platichthys stellatus,Starry flounder,10.108,12.5725,"Coos Bay, Oregon"
Platichthys stellatus,Starry flounder,10.108,12.7589,"Humboldt Bay, California"
Hemilepidotus hemilepidotus,Red Irish lord,13.502,13.9068,"Bodega Bay, California"
Platichthys stellatus,Starry flounder,10.108,13.9068,"Bodega Bay, California"
Clupea pallasii,Pacific herring,15.0505,16.1436,"San Fransisco Bay, California"
Cymatogaster aggregata,Shiner perch,16.17,16.1436,"San Fransisco Bay, California"
Gadus chalcogrammus,Alaska pollock,14.708,16.1436,"San Fransisco Bay, California"
Oncorhynchus gorbuscha,Pink salmon,16.0632,16.1436,"San Fransisco Bay, California"
Platichthys stellatus,Starry flounder,10.108,16.1436,"San Fransisco Bay, California"
Artedius harringtoni,Scalyhead sculpin,16.3535,19.9146,"Los Angeles, California"
Artedius lateralis,Smoothhead sculpin,16.6935,19.9146,"Los Angeles, California"
Citharichthys stigmaeus,Speckled sanddab,17.3313,19.9146,"Los Angeles, California"
Clupea pallasii,Pacific herring,15.0505,19.9146,"Los Angeles, California"
Cymatogaster aggregata,Shiner perch,16.17,19.9146,"Los Angeles, California"
Engraulis mordax,Californian anchovy,18.8887,19.9146,"Los Angeles, California"
Leptocottus armatus,Pacific staghorn sculpin,18.449,19.9146,"Los Angeles, California"
Merluccius productus,North Pacific hake,16.22,19.9146,"Los Angeles, California"
Oncorhynchus clarkii,Cutthroat trout,15.1,19.9146,"Los Angeles, California"
Oncorhynchus gorbuscha,Pink salmon,16.0632,19.9146,"Los Angeles, California"
Oncorhynchus kisutch,Coho salmon,16,19.9146,"Los Angeles, California"
Pholis laeta,Crescent gunnel,19.5037,19.9146,"Los Angeles, California"
Syngnathus californiensis,Bay pipefish,18.9188,19.9146,"Los Angeles, California"
Citharichthys stigmaeus,Speckled sanddab,17.3313,20.7446,"San Diego region, California"
Clupea pallasii,Pacific herring,15.0505,20.7446,"San Diego region, California"
Cymatogaster aggregata,Shiner perch,16.17,20.7446,"San Diego region, California"
Engraulis mordax,Californian anchovy,18.8887,20.7446,"San Diego region, California"
Hydrolagus colliei,Spotted ratfish,16.02,20.7446,"San Diego region, California"
Oncorhynchus gorbuscha,Pink salmon,16.0632,20.7446,"San Diego region, California"
Oncorhynchus keta,Chum salmon,15.5522,20.7446,"San Diego region, California"
Oncorhynchus tshawytscha,Chinook salmon,15.8,20.7446,"San Diego region, California"
Pholis laeta,Crescent gunnel,19.5037,20.7446,"San Diego region, California"
Salmo salar,Atlantic salmon,16.896,20.7446,"San Diego region, California"
Sebastes entomelas,Widow rockfish,16.3639,20.7446,"San Diego region, California"
Syngnathus californiensis,Bay pipefish,18.9188,20.7446,"San Diego region, California"
Typhlogobius californiensis,Blind goby,20.0125,20.7446,"San Diego region, California"
