"","found_taxa","common_name","rank"
"127","Pleuronichthys ritteri","Spotted turbot","species"
"128","Cheilotrema saturnum","Black croaker","species"
"129","Paraclinus integripinnis","Reef finspot","species"
"130","Hypsoblennius gilberti","Rockpool blenny","species"
"131","Strongylura exilis","Californian needlefish","species"
"132","Sphyraena argentea","Pacific barracuda","species"
"133","Genyonemus lineatus","White croaker","species"
"134","Rhinichthys cataractae","Longnose dace","species"
"135","Trachurus symmetricus","Pacific jack mackerel","species"
"136","Agonopsis vulsa","Northern spearnose poacher","species"
"137","Chitonotus pugetensis","Roughback sculpin","species"
"138","Syngnathus auliscus","Barred pipefish","species"
"139","Clinocottus analis","Wooly sculpin","species"
"140","Bodianus pulcher","California sheephead","species"
"141","Gobiesox rhessodon","California clingfish","species"
