seed_asv,motu,asv,asv_reads
ASV2805,motu997,ASV2805,337
ASV2805,motu997,ASV2805,337
ASV2807,motu998,ASV2807,337
ASV2807,motu998,ASV3160,258
ASV2807,motu998,ASV2807,595
ASV2808,motu999,ASV2808,336
ASV2808,motu999,ASV2808,336
ASV2814,motu1000,ASV2814,335
ASV2814,motu1000,ASV2814,335
ASV2815,motu1001,ASV2815,334
ASV2815,motu1001,ASV2815,334
ASV2824,motu1002,ASV2824,332
ASV2824,motu1002,ASV2824,332
ASV2825,motu1003,ASV2825,332
ASV2825,motu1003,ASV2825,332
ASV2831,motu1004,ASV2831,330
ASV2831,motu1004,ASV2831,330
ASV2833,motu1005,ASV2833,330
ASV2833,motu1005,ASV2833,330
ASV2836,motu1006,ASV2836,329
ASV2836,motu1006,ASV2836,329
ASV2841,motu1007,ASV2841,328
ASV2841,motu1007,ASV2841,328
ASV2844,motu1008,ASV2844,328
ASV2844,motu1008,ASV2844,328
ASV2845,motu1009,ASV2845,328
ASV2845,motu1009,ASV2845,328
ASV2846,motu1010,ASV2846,327
ASV2846,motu1010,ASV2846,327
ASV2852,motu1011,ASV2852,325
ASV2852,motu1011,ASV2852,325
ASV2853,motu1012,ASV2853,325
ASV2853,motu1012,ASV2853,325
ASV2858,motu1013,ASV2858,323
ASV2858,motu1013,ASV2858,323
ASV2859,motu1014,ASV2859,323
ASV2859,motu1014,ASV2859,323
ASV2862,motu1015,ASV2862,322
ASV2862,motu1015,ASV2862,322
ASV2863,motu1016,ASV2863,322
ASV2863,motu1016,ASV2863,322
ASV2866,motu1017,ASV2866,321
ASV2866,motu1017,ASV2866,321
ASV2867,motu1018,ASV2867,321
ASV2867,motu1018,ASV2867,321
ASV2870,motu1019,ASV2870,320
ASV2870,motu1019,ASV2870,320
ASV2873,motu1020,ASV2873,320
ASV2873,motu1020,ASV2873,320
ASV2874,motu1021,ASV2874,320
ASV2874,motu1021,ASV2874,320
ASV2875,motu1022,ASV2875,320
ASV2875,motu1022,ASV2875,320
ASV2876,motu1023,ASV2876,320
ASV2876,motu1023,ASV2876,320
ASV2879,motu1024,ASV2879,319
ASV2879,motu1024,ASV3439,208
ASV2879,motu1024,ASV2879,527
ASV2880,motu1025,ASV2880,318
ASV2880,motu1025,ASV2880,318
ASV2882,motu1026,ASV2882,318
ASV2882,motu1026,ASV2882,318
