species,common_name,overlap2,edna_max,edna_min,bd_max,bd_min,edna_sub,bd_sub
Atherinopsis californiensis,Jack silverside,0.9,44.6228154375,33.6021573333333,40.77025,32.092222,1.5099353333333028,3.8525654375000045
Oncorhynchus nerka,Sockeye salmon,0.9,58.331876375,48.9513563333333,59.363271,46.21065,3.772100958333297,0
Cebidichthys violaceus,Monkeyface prickleback,0.9,40.772352,32.9605182666667,48.41818,33.542889,7.645828000000002,0.582370733333299
Cryptacanthodes giganteus,Giant wrymouth,0.9,55.708296,48.56302955,58.35,41.32,9.884733550000007,0
Paralichthys californicus,California halibut,0.9,50.1371751666667,32.714169,41.340985,32.413826,0.30034299999999803,8.796190166666698
Hypsoblennius gentilis,Bay blenny,0.9,50.52238825,32.7005,33.972189,32.617454,0.08304599999999596,16.55019925
Ascelichthys rhodorus,Rosylip sculpin,0.9,52.0535733333333,44.612145,55.916667,37.528262,10.9469766666667,0
Clinocottus embryum,Calico sculpin,0.9,51.92385,48.88829575,56.3,37.181906,16.082539749999995,0
Clevelandia ios,Arrow goby,0.9,51.9240066666667,32.7005,51.663278,32.61,0.09049999999999869,0.2607286666667008
Acanthogobius flavimanus,Yellowfin goby,0.9,51.9240066666667,32.7005,41,32.59162,0.1088799999999992,10.924006666666699
Phanerodon vacca,Pile perch,0.9,51.646445,35.3604406666667,52.166667,32.694233,3.1864296666666974,0
Artedius fenestralis,Padded sculpin,0.9,58.6628818,40.772352,58.626761,38.913889,1.8584630000000004,0.036120799999999065
Gobiesox maeandricus,Northern clingfish,0.9,52.57346275,43.35965,55.4833,35.6666666666667,10.602820583333305,0
Gibbonsia montereyensis,Crevice kelpfish,0.9,52.0534175,35.3604406666667,48.88863,32.140232,3.2202086666667,3.1647875000000028
Jordania zonope,Longfin sculpin,0.9,52.57346275,48.7043844666667,55.143208,35.21,16.064129716666706,0
Liparis greeni,Lobefin snailfish,0.9,52.57346275,37.9460853333333,58.03,48,5.456537250000004,10.0539146666667
Lumpenus sagitta,Snake prickleback,0.9,58.6628818,38.31916025,58.458333,40.744586,0,2.629974549999993
Alosa sapidissima,American shad,0.9,46.6905566666667,44.612145,54.138333,33.74,18.319921333333298,0
Sardinops sagax,South American pilchard,0.9,48.9742134444333,32.7005,53.059833,32.537635,4.248484555566691,0
Ronquilus jordani,Northern ronquil,0.9,55.5986045,48.9513563333333,58.46,37.93,13.882751833333302,0
Embiotoca lateralis,Striped seaperch,0.9,52.631,35.372155,53.3333,32.6594,3.4150550000000024,0
Pholis ornata,Saddleback gunnel,0.9,58.385519775,38.184255,51.916667,37.501412,0.6828429999999983,6.468852775000002
Clinocottus globiceps,Mosshead sculpin,0.9,51.92385,48.88829575,56.3,35.165187,18.09925874999999,0
Clinocottus acuticeps,Sharpnose sculpin,0.9,58.662827,40.737335,58.270964,37.4,3.337335000000003,0.39186300000000074
Enophrys bison,Buffalo sculpin,0.9,58.3810730625,40.772352,58.608567,37.247055,3.752790937499995,0
Gadus chalcogrammus,Alaska pollock,0.9,58.3855943333333,37.9729633333333,59.465,40.635,1.0794056666667018,2.662036666666701
Ammodytes personatus,Pacific sandlance,0.9,58.6628818,38.10503,59.143889,37.492917,1.0931202000000013,0
Cololabis saira,Pacific saury,0.9,52.20474,50.52238825,53.794333,32,20.11198125,0
Thaleichthys pacificus,Eulachon,0.9,46.6154695238095,44.6238,59.465,37.614444,19.858886476190506,0
Liparis mucosus,Slimy snailfish,0.9,52.0534175,48.877066666675,55.482912,33.58,18.726561166674998,0
Nautichthys oculofasciatus,Sailfin sculpin,0.9,55.2476495,51.9240066666667,57.8464,35.21,19.3127571666667,0
Blepsias cirrhosus,Silverspotted sculpin,0.9,53.19458,48.4828008666667,58.3458,35.64,17.994020866666695,0
Oligocottus snyderi,Fluffy sculpin,0.9,52.5735836666667,38.3339,55.4417,32.684151,8.517865333333297,0
Leuroglossus schmidti,Northern smoothtongue,0.9,55.7402015,48.6917997,58.86,35.94989,15.861708199999995,0
