"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"54","filtered20250425_PECOe-052_S48_R1_001",290366,290366,290366,290366,290236,289439,284025,283671,276752,97.8600173651787,99.8753630842355,97.5609068251601
"55","filtered20250425_PECOe-053_S49_R1_001",167023,167023,167023,167023,166900,166570,163877,161933,121298,98.1887357699221,98.8137444546825,74.9062884032285
"56","filtered20250425_PECOe-054_S50_R1_001",163857,163857,163857,163857,163649,163473,161070,160834,155861,98.4240661415591,99.8534798534799,96.9079920912245
"57","filtered20250425_PECOe-055_S51_R1_001",230725,230725,230725,230725,230669,230472,226381,226363,1904,98.1410592667415,99.9920488026822,0.841126862605638
"58","filtered20250425_PECOe-056_S52_R1_001",289317,289317,289317,289317,288989,288569,284273,282153,259115,98.3681039762759,99.2542380036092,91.8349264406191
"59","filtered20250425_PECOe-057_S53_R1_001",247042,247042,247042,247042,246818,246495,242391,241645,223685,98.2063706860926,99.6922327974223,92.5676095098181
"60","filtered20250425_PECOe-058_S54_R1_001",212603,212603,212603,212603,212525,212240,207138,206858,202470,97.4652393836019,99.8648244165725,97.8787380715273
"61","filtered20250425_PECOe-060_S56_R1_001",194699,194699,194699,194699,194559,194299,191206,190978,171907,98.2766153197745,99.8807568800142,90.0140330299825
"62","filtered20250425_PECOe-061_S57_R1_001",12394,12394,12394,12394,12390,12356,12334,12334,12334,99.5480225988701,100,100
"63","filtered20250425_PECOe-062_S58_R1_001",265803,265803,265803,265803,265715,265298,260741,259945,259568,98.1280695482001,99.6947162126401,99.8549693204332
"64","filtered20250425_PECOe-063_S59_R1_001",253713,253713,253713,253713,253486,253041,249584,246138,241608,98.4606644942916,98.6193025193923,98.1595690222558
"65","filtered20250425_PECOe-064_S60_R1_001",284087,284087,284087,284087,283981,283515,278758,278000,277422,98.160792447382,99.7280795528738,99.7920863309352
"66","filtered20250425_PECOe-065_S61_R1_001",190874,190874,190874,190874,190583,190313,187337,185921,175504,98.2968050665589,99.2441429082349,94.3970826318705
"67","filtered20250425_PECOe-066_S62_R1_001",201189,201189,201189,201189,200895,200628,197051,196518,191485,98.0865626322208,99.7295116492685,97.4389114483152
"68","filtered20250425_PECOe-067_S63_R1_001",14402,14402,14402,14402,14395,14383,14206,14206,14206,98.6870441125391,100,100
"69","filtered20250425_PECOe-068_S64_R1_001",173621,173621,173621,173621,173563,173353,170678,170096,170001,98.3377793654177,99.6590070190651,99.9441491863418
"70","filtered20250425_PECOe-069_S65_R1_001",149076,149076,149076,149076,149008,148811,146558,146185,144719,98.3557929775583,99.7454932518184,98.997161131443
"71","filtered20250425_PECOe-070_S66_R1_001",245379,245379,245379,245379,245282,244948,240237,237935,232177,97.9431837639941,99.041779576002,97.580011347637
"72","filtered20250425_PECOe-072_S68_R1_001",256649,256649,256649,256649,256376,256216,251983,251149,243887,98.2865010765438,99.6690252913887,97.1084893827967
"73","filtered20250425_PECOe-073_S69_R1_001",16256,16256,16256,16256,16226,16218,16099,16079,15921,99.2173055589794,99.8757686812846,99.0173518253623
"74","filtered20250425_PECOe-074_S70_R1_001",238694,238694,238694,238694,238573,238235,233156,232555,223002,97.7294161535463,99.7422326682564,95.8921545440864
