found_taxa,common_name,rank,motu,motu_swarm,asv,curated,lulu_rank,found_taxa_asv,common_name_asv,rank_asv,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only
uncultured bacterium,Bacteria,outgroup,motu849,motu849,ASV1479,parent,861,uncultured bacterium,Bacteria,outgroup,98.419,2.54e-125,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu852,motu852,ASV1482,parent,864,uncultured bacterium,Bacteria,outgroup,97.426,7.81e-131,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu853,motu853,ASV1485,parent,710,uncultured bacterium,Bacteria,outgroup,97.951,1.2099999999999998e-118,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu853,motu853,ASV2117,parent,710,uncultured bacterium,Bacteria,outgroup,98.361,2.59e-120,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu856,motu856,ASV1489,parent,867,uncultured bacterium,Bacteria,outgroup,96.735,3.33e-114,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu858,motu858,ASV1491,parent,870,uncultured bacterium,Bacteria,outgroup,99.209,1.1699999999999998e-128,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu859,motu859,ASV1492,parent,871,uncultured bacterium,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu862,motu862,ASV1496,parent,875,uncultured bacterium,Bacteria,outgroup,97.6,2.5599999999999998e-120,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu863,motu863,ASV1498,parent,874,uncultured bacterium,Bacteria,outgroup,98.819,1.53e-127,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu872,motu872,ASV1507,parent,885,uncultured bacterium,Bacteria,outgroup,98.425,2.54e-125,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu873,motu873,ASV1508,parent,887,uncultured bacterium,Bacteria,outgroup,98.438,5.53e-127,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu874,motu874,ASV1509,parent,888,uncultured bacterium,Bacteria,outgroup,98.419,2.54e-125,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu877,motu877,ASV1514,parent,890,uncultured bacterium,Bacteria,outgroup,98.419,9.139999999999999e-125,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu878,motu878,ASV1515,parent,891,uncultured bacterium,Bacteria,outgroup,97.551,1.5400000000000001e-117,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu885,motu885,ASV1523,parent,898,uncultured bacterium,Bacteria,outgroup,96.653,7.22e-111,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu890,motu890,ASV1528,parent,903,uncultured bacterium,Bacteria,outgroup,97.233,2.5599999999999998e-120,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu894,motu894,ASV1533,parent,906,uncultured bacterium,Bacteria,outgroup,100,1.52e-127,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu895,motu895,ASV1535,parent,907,uncultured bacterium,Bacteria,outgroup,98.419,2.54e-125,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu896,motu896,ASV1536,parent,908,uncultured bacterium,Bacteria,outgroup,98.78,4.2700000000000004e-123,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu899,motu899,ASV1539,parent,911,uncultured bacterium,Bacteria,outgroup,98.367,7.119999999999999e-121,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu901,motu901,ASV1541,parent,722,uncultured bacterium,Bacteria,outgroup,96.327,1.5499999999999997e-112,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu904,motu904,ASV1544,parent,915,uncultured bacterium,Bacteria,outgroup,97.959,3.309999999999999e-119,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu905,motu905,ASV1545,parent,917,uncultured bacterium,Bacteria,outgroup,98.77,5.57e-122,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu907,motu907,ASV1547,parent,918,uncultured bacterium,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu916,motu916,ASV1562,parent,928,uncultured bacterium,Bacteria,outgroup,98.814,5.46e-127,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu920,motu920,ASV1566,parent,929,uncultured bacterium,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu925,motu925,ASV1575,parent,934,uncultured bacterium,Bacteria,outgroup,97.143,7.169999999999999e-116,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu928,motu928,ASV1578,parent,937,uncultured bacterium,Bacteria,outgroup,98.419,2.54e-125,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu929,motu929,ASV1580,parent,938,uncultured bacterium,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu930,motu930,ASV1582,parent,939,uncultured bacterium,Bacteria,outgroup,98.047,2.5699999999999997e-125,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu932,motu932,ASV1585,parent,941,uncultured bacterium,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu935,motu935,ASV1588,parent,944,uncultured bacterium,Bacteria,outgroup,96.443,5.54e-117,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu939,motu939,ASV1594,parent,949,uncultured bacterium,Bacteria,outgroup,98.367,7.119999999999999e-121,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu945,motu945,ASV1600,parent,956,uncultured bacterium,Bacteria,outgroup,96.047,2.58e-115,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu946,motu946,ASV1601,parent,955,uncultured bacterium,Bacteria,outgroup,100,1.52e-127,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu948,motu948,ASV1607,parent,958,uncultured bacterium,Bacteria,outgroup,98.047,2.5699999999999997e-125,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu951,motu951,ASV1611,parent,961,uncultured bacterium,Bacteria,outgroup,98.814,5.46e-127,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu953,motu953,ASV1614,parent,963,uncultured bacterium,Bacteria,outgroup,99.592,7.16e-126,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu956,motu956,ASV1618,parent,966,uncultured bacterium,Bacteria,outgroup,98.326,1.5400000000000001e-117,Bacteria,NA,NA,NA,NA,NA,NA
