found_taxa,common_name,rank,motu,motu_swarm,asv,curated,lulu_rank,found_taxa_asv,common_name_asv,rank_asv,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV402,parent,19,Ammodytes personatus,Pacific sandlance,species,99.408,8.07e-84,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV724,parent,19,Ammodytes personatus,Pacific sandlance,species,99.408,8.07e-84,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV840,parent,19,Ammodytes personatus,Pacific sandlance,species,99.408,8.07e-84,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV962,parent,19,Ammodytes personatus,Pacific sandlance,species,99.408,8.07e-84,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Amphritea,Bacteria,outgroup,motu1317,motu1317,ASV1953,parent,1318,Amphritea,Bacteria,outgroup,96.838,1.19e-118,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea,NA
Anarrhichthys ocellatus,Wolf eel,species,motu35,motu35,ASV43,parent,52,Anarrhichthys ocellatus,Wolf eel,species,100,1.72e-85,Eukaryota,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarrhichthys,0
Anas,Duck,outgroup,motu176,motu176,ASV343,parent,192,Anas,Duck,outgroup,100,1.91e-95,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
Anas,Duck,outgroup,motu1395,motu1395,ASV2038,parent,1396,Anas,Duck,outgroup,96.809,1.95e-85,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,Anas,NA
Anatidae,Duck,outgroup,motu451,motu451,ASV805,parent,475,Anatidae,Duck,outgroup,95.187,1.9500000000000003e-80,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,NA,NA
Anatidae,Duck,outgroup,motu1410,motu1410,ASV2054,parent,1412,Anatidae,Duck,outgroup,92.063,5.56e-71,Eukaryota,Chordata,Aves,Anseriformes,Anatidae,NA,NA
Anchoa compressa,Deep body anchovy,species,motu122,motu122,ASV208,parent,129,Anchoa compressa,Deep body anchovy,species,100,3.7799999999999996e-87,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anchoa delicatissima,Slough anchovy,species,motu59,motu59,ASV77,parent,50,Anchoa delicatissima,Slough anchovy,species,100,3.7799999999999996e-87,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anchoa delicatissima,Slough anchovy,species,motu59,motu59,ASV141,parent,50,Anchoa delicatissima,Slough anchovy,species,99.419,1.76e-85,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anchoa delicatissima,Slough anchovy,species,motu59,motu59,ASV194,parent,50,Anchoa delicatissima,Slough anchovy,species,100,3.7999999999999996e-87,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anchoa delicatissima,Slough anchovy,species,motu59,motu59,ASV176,parent,50,Anchoa delicatissima,Slough anchovy,species,99.419,1.77e-85,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anchoa delicatissima,Slough anchovy,species,motu59,motu59,ASV799,parent,50,Anchoa delicatissima,Slough anchovy,species,99.419,1.77e-85,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,0
Anisotremus davidsonii,Xantic sargo,species,motu51,motu51,ASV65,parent,70,Anisotremus davidsonii,Xantic sargo,species,100,1.72e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Anisotremus,0
Anoplarchus,High cockscomb,genus,motu36,motu36,ASV44,parent,22,Anoplarchus,High cockscomb,genus,100,1.72e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,High cockscomb,genus,motu36,motu36,ASV47,parent,22,Anoplarchus,High cockscomb,genus,100,1.73e-85,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,High cockscomb,genus,motu36,motu36,ASV81,parent,22,Anoplarchus,High cockscomb,genus,99.408,8.02e-84,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,High cockscomb,genus,motu36,motu36,ASV100,parent,22,Anoplarchus,High cockscomb,genus,99.408,8.02e-84,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,High cockscomb,genus,motu36,motu36,ASV107,parent,22,Anoplarchus,High cockscomb,genus,99.408,8.02e-84,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplarchus,High cockscomb,genus,motu36,motu36,ASV318,parent,22,Anoplarchus,High cockscomb,genus,99.408,8.07e-84,Eukaryota,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,0
Anoplopoma fimbria,Sablefish,species,motu98,motu98,ASV150,parent,91,Anoplopoma fimbria,Sablefish,species,100,6.150000000000001e-85,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
Anoplopoma fimbria,Sablefish,species,motu98,motu98,ASV682,parent,91,Anoplopoma fimbria,Sablefish,species,99.405,2.86e-83,Eukaryota,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,0
Anseriformes,Duck,outgroup,motu1362,motu1362,ASV2002,parent,1362,Anseriformes,Duck,outgroup,89.947,2.6e-64,Eukaryota,Chordata,Aves,Anseriformes,NA,NA,NA
Apodichthys flavidus,Penpoint gunnel,species,motu40,motu40,ASV50,parent,36,Apodichthys flavidus,Penpoint gunnel,species,100,6.150000000000001e-85,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu40,motu40,ASV85,parent,36,Apodichthys flavidus,Penpoint gunnel,species,100,6.150000000000001e-85,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu40,motu40,ASV609,parent,36,Apodichthys flavidus,Penpoint gunnel,species,99.405,2.86e-83,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu40,motu40,ASV233,parent,36,Apodichthys flavidus,Penpoint gunnel,species,99.405,2.86e-83,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Apodichthys flavidus,Penpoint gunnel,species,motu78,motu78,ASV119,parent,94,Apodichthys flavidus,Penpoint gunnel,species,97.619,2.88e-78,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Apodichthys,0
Artedius fenestralis,Padded sculpin,species,motu38,motu38,ASV48,parent,38,Artedius fenestralis,Padded sculpin,species,100,3.7799999999999996e-87,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
Artedius fenestralis,Padded sculpin,species,motu38,motu38,ASV101,parent,38,Artedius fenestralis,Padded sculpin,species,100,3.7999999999999996e-87,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
Artedius fenestralis,Padded sculpin,species,motu38,motu38,ASV578,parent,38,Artedius fenestralis,Padded sculpin,species,99.419,1.76e-85,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
Artedius fenestralis,Padded sculpin,species,motu38,motu38,ASV1103,parent,38,Artedius fenestralis,Padded sculpin,species,99.419,1.76e-85,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
Artedius harringtoni,Scalyhead sculpin,species,motu74,motu74,ASV109,parent,72,Artedius harringtoni,Scalyhead sculpin,species,100,1.3500000000000001e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
Artedius harringtoni,Scalyhead sculpin,species,motu74,motu74,ASV400,parent,72,Artedius harringtoni,Scalyhead sculpin,species,100,1.3600000000000001e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
Artedius lateralis,Smoothhead sculpin,species,motu76,motu76,ASV114,parent,74,Artedius lateralis,Smoothhead sculpin,species,100,1.3500000000000001e-86,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
Artedius lateralis,Smoothhead sculpin,species,motu76,motu76,ASV251,parent,74,Artedius lateralis,Smoothhead sculpin,species,99.415,6.28e-85,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
Artedius lateralis,Smoothhead sculpin,species,motu192,motu192,ASV370,parent,208,Artedius lateralis,Smoothhead sculpin,species,99.415,6.32e-85,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
Artedius lateralis,Smoothhead sculpin,species,motu723,motu723,ASV1169,parent,738,Artedius lateralis,Smoothhead sculpin,species,100,6.28e-85,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Artedius,0
Ascelichthys rhodorus,Rosylip sculpin,species,motu117,motu117,ASV195,parent,92,Ascelichthys rhodorus,Rosylip sculpin,species,100,1.72e-85,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Ascelichthys,0
Ascelichthys rhodorus,Rosylip sculpin,species,motu117,motu117,ASV216,parent,92,Ascelichthys rhodorus,Rosylip sculpin,species,100,1.73e-85,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Ascelichthys,0
Ascelichthys rhodorus,Rosylip sculpin,species,motu117,motu117,ASV492,parent,92,Ascelichthys rhodorus,Rosylip sculpin,species,99.408,8.07e-84,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Ascelichthys,0
Atherinops affinis,Topsmelt silverside,species,motu3,motu3,ASV3,parent,3,Atherinops affinis,Topsmelt silverside,species,100,6.150000000000001e-85,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Atherinops,0
Atherinops affinis,Topsmelt silverside,species,motu3,motu3,ASV180,parent,3,Atherinops affinis,Topsmelt silverside,species,99.405,2.86e-83,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Atherinops,0
Atherinops affinis,Topsmelt silverside,species,motu3,motu3,ASV212,parent,3,Atherinops affinis,Topsmelt silverside,species,99.405,2.86e-83,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Atherinops,0
Atherinops affinis,Topsmelt silverside,species,motu3,motu3,ASV272,parent,3,Atherinops affinis,Topsmelt silverside,species,99.405,2.86e-83,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Atherinops,0
Atherinops affinis,Topsmelt silverside,species,motu3,motu3,ASV371,parent,3,Atherinops affinis,Topsmelt silverside,species,99.405,2.86e-83,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Atherinops,0
Atherinops affinis,Topsmelt silverside,species,motu3,motu3,ASV604,parent,3,Atherinops affinis,Topsmelt silverside,species,99.405,2.86e-83,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Atherinops,0
Atherinops affinis,Topsmelt silverside,species,motu3,motu3,ASV925,parent,3,Atherinops affinis,Topsmelt silverside,species,99.405,2.86e-83,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Atherinops,0
Atherinops affinis,Topsmelt silverside,species,motu3,motu3,ASV969,parent,3,Atherinops affinis,Topsmelt silverside,species,99.405,2.86e-83,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Atherinops,0
Atherinops affinis,Topsmelt silverside,species,motu1314,motu1314,ASV1947,parent,1311,Atherinops affinis,Topsmelt silverside,species,100,8.12e-85,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Atherinops,0
Atherinopsis californiensis,Jack silverside,species,motu50,motu50,ASV63,parent,67,Atherinopsis californiensis,Jack silverside,species,100,6.150000000000001e-85,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Atherinopsis,0
Aulorhynchus flavidus,Tube-snout,species,motu93,motu93,ASV142,parent,86,Aulorhynchus flavidus,Tube-snout,species,99.408,8.07e-84,Eukaryota,Chordata,Teleostei,Perciformes,Aulorhynchidae,Aulorhynchus,0
Aulorhynchus flavidus,Tube-snout,species,motu93,motu93,ASV494,parent,86,Aulorhynchus flavidus,Tube-snout,species,100,1.73e-85,Eukaryota,Chordata,Teleostei,Perciformes,Aulorhynchidae,Aulorhynchus,0
Aulorhynchus flavidus,Tube-snout,species,motu119,motu119,ASV198,parent,127,Aulorhynchus flavidus,Tube-snout,species,100,1.72e-85,Eukaryota,Chordata,Teleostei,Perciformes,Aulorhynchidae,Aulorhynchus,0
Bacteria,Bacteria,outgroup,motu100,motu100,ASV156,parent,112,Bacteria,Bacteria,outgroup,95.956,3.66e-124,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu111,motu111,ASV182,parent,99,Bacteria,Bacteria,outgroup,87.747,2.71e-80,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu111,motu111,ASV933,parent,99,Bacteria,Bacteria,outgroup,87.747,2.71e-80,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu111,motu111,ASV1928,parent,99,Bacteria,Bacteria,outgroup,87.747,2.71e-80,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu153,motu153,ASV300,parent,166,Bacteria,Bacteria,outgroup,94.094,1.5699999999999998e-107,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu162,motu162,ASV319,parent,179,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu177,motu177,ASV345,parent,193,Bacteria,Bacteria,outgroup,94.922,5.649999999999999e-112,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu178,motu178,ASV346,parent,155,Bacteria,Bacteria,outgroup,100,1.9499999999999998e-131,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu182,motu182,ASV353,parent,197,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu184,motu184,ASV356,parent,198,Bacteria,Bacteria,outgroup,85.771,2.75e-70,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu194,motu194,ASV373,parent,210,Bacteria,Bacteria,outgroup,91.829,1.24e-98,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu198,motu198,ASV381,parent,213,Bacteria,Bacteria,outgroup,93.22,7.369999999999999e-96,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu200,motu200,ASV384,parent,216,Bacteria,Bacteria,outgroup,93.307,3.3999999999999995e-104,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu201,motu201,ASV386,parent,217,Bacteria,Bacteria,outgroup,88.889,1.25e-83,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu202,motu202,ASV387,parent,218,Bacteria,Bacteria,outgroup,100,4.599999999999999e-143,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu213,motu213,ASV409,parent,230,Bacteria,Bacteria,outgroup,100,1.28e-143,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu219,motu219,ASV418,parent,235,Bacteria,Bacteria,outgroup,92.829,7.319999999999999e-101,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu221,motu221,ASV425,parent,241,Bacteria,Bacteria,outgroup,91.304,2.65e-95,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu223,motu223,ASV428,parent,243,Bacteria,Bacteria,outgroup,100,4.599999999999999e-143,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu224,motu224,ASV430,parent,244,Bacteria,Bacteria,outgroup,92.885,5.66e-102,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu227,motu227,ASV436,parent,178,Bacteria,Bacteria,outgroup,90.4,2.67e-90,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu227,motu227,ASV1154,parent,178,Bacteria,Bacteria,outgroup,90.8,5.74e-92,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu227,motu227,ASV1306,parent,178,Bacteria,Bacteria,outgroup,90,1.2399999999999998e-88,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu231,motu231,ASV444,parent,249,Bacteria,Bacteria,outgroup,95.238,2.5999999999999996e-110,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu234,motu234,ASV449,parent,254,Bacteria,Bacteria,outgroup,94.093,9.470000000000001e-100,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu235,motu235,ASV450,parent,180,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu235,motu235,ASV814,parent,180,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,Pseudomonadota,Alphaproteobacteria,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu238,motu238,ASV454,parent,258,Bacteria,Bacteria,outgroup,98.814,5.46e-127,Bacteria,Verrucomicrobiota,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu246,motu246,ASV471,parent,267,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,NA,NA
Bacteria,Bacteria,outgroup,motu248,motu248,ASV474,parent,269,Bacteria,Bacteria,outgroup,95.331,1.21e-113,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu251,motu251,ASV483,parent,270,Bacteria,Bacteria,outgroup,86.561,4.56e-73,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu252,motu252,ASV484,parent,205,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu252,motu252,ASV2024,parent,205,Bacteria,Bacteria,outgroup,99.605,2.5199999999999995e-130,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu255,motu255,ASV489,parent,277,Bacteria,Bacteria,outgroup,94,2.6100000000000002e-105,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu257,motu257,ASV491,parent,281,Bacteria,Bacteria,outgroup,95.257,5.579999999999999e-112,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu259,motu259,ASV501,parent,286,Bacteria,Bacteria,outgroup,91.765,5.7e-97,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu268,motu268,ASV520,parent,295,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,NA
Unknown organism,Unknown organism,outgroup,motu270,motu270,ASV1693,parent,222,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu273,motu273,ASV525,parent,298,Bacteria,Bacteria,outgroup,90.079,1.2399999999999998e-88,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu276,motu276,ASV530,parent,221,Bacteria,Bacteria,outgroup,94.444,4.34e-108,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu276,motu276,ASV876,parent,221,Bacteria,Bacteria,outgroup,94.048,2.0199999999999996e-106,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu277,motu277,ASV1486,parent,236,Bacteria,Bacteria,outgroup,93.725,2.6100000000000002e-105,Bacteria,Cyanobacteriota,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu278,motu278,ASV534,parent,231,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,NA
Bacteria,Bacteria,outgroup,motu278,motu278,ASV1106,parent,231,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,NA
Bacteria,Bacteria,outgroup,motu283,motu283,ASV541,parent,206,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu283,motu283,ASV736,parent,206,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,NA
Bacteria,Bacteria,outgroup,motu288,motu288,ASV549,parent,312,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA
Bacteria,Bacteria,outgroup,motu304,motu304,ASV572,parent,253,Bacteria,Bacteria,outgroup,93.281,1.22e-103,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu304,motu304,ASV1913,parent,253,Bacteria,Bacteria,outgroup,92.885,5.66e-102,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu307,motu307,ASV576,parent,330,Bacteria,Bacteria,outgroup,93.359,2.65e-105,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu312,motu312,ASV585,parent,335,Bacteria,Bacteria,outgroup,92.095,1.2199999999999999e-98,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu315,motu315,ASV588,parent,338,Bacteria,Bacteria,outgroup,95.257,5.579999999999999e-112,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu320,motu320,ASV596,parent,262,Bacteria,Bacteria,outgroup,95.652,1.1999999999999999e-113,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu324,motu324,ASV601,parent,346,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,NA
Bacteria,Bacteria,outgroup,motu328,motu328,ASV611,parent,350,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu335,motu335,ASV624,parent,271,Bacteria,Bacteria,outgroup,93.333,1.22e-103,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu335,motu335,ASV1404,parent,271,Bacteria,Bacteria,outgroup,92.941,5.66e-102,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu337,motu337,ASV630,parent,359,Bacteria,Bacteria,outgroup,99.605,2.5199999999999995e-130,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu338,motu338,ASV631,parent,272,Bacteria,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,NA
Bacteria,Bacteria,outgroup,motu338,motu338,ASV1291,parent,272,Bacteria,Bacteria,outgroup,99.605,2.5199999999999995e-130,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,NA
Bacteria,Bacteria,outgroup,motu340,motu340,ASV1184,parent,268,Bacteria,Bacteria,outgroup,95.703,2.61e-115,Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Bacteria,outgroup,motu340,motu340,ASV1322,parent,268,Bacteria,Bacteria,outgroup,95.703,2.61e-115,Bacteria,NA,NA,NA,NA,NA,NA
