decimal_latitude,decimal_longitude
43.266667,-68.95
43.7783250161949,-69.0609351888299
41.475972,-68.557007
42.03,-65.9
43.283333,-67.066667
41.458167,-66.068667
43.9,-67.23
42.033333,-67.816667
43.5509352052467,-69.0439644439436
43.7558250736629,-68.6745502504347
43.7879352445645,-68.6993755014941
41.325,-68.5345
43.5716651292708,-69.0304145291179
40.28,-70.47
40.466667,-71.166667
40.183333,-70.15
43.6093001000974,-68.9417004905611
40.566667,-69.4
40.270412,-70.686515
41.45,-68.48
50.05,-127.8929
41.88,-65.88
42.683333,-68.616667
43.810333,-67.117
40.25,-70.35
40.57,-67.83
40.55,-68.75
41.433333,-68.466667
43.1532,-67.4127
43.05,-67.1
42.57,-67.45
40.28,-71.02
40.43,-68.2
43.7553100740995,-69.4372395632831
40.194517,-70.612033
43.233333,-68.866667
42.207667,-66.602333
40.983333,-68.3
42.195167,-66.599167
40.05,-70.983333
40.077918,-71.22982
40.516667,-70.316667
43.85,-68.47
43.2025,-66.8672
43.6122500679426,-68.9403354079435
40.33,-69.85
42.233167,-66.866667
46.98998441,-70.60780262
43.5844901287442,-69.1431605270212
43.9238101590022,-68.5591755644949
43.9702502581683,-68.3160003757752
40.38,-68.3
39.7,-72.483333
43.666667,-67.016667
43.633333,-60.122667
43.9575751888712,-68.3428855233303
43.6820000683878,-69.373800297978
40.231732,-70.890457
40.896667,-71.350333
40.359,-69.278
42.2485,-67.107667
42.9133,-66.9898
43.9452501545526,-68.4109154045612
43.8395250247838,-69.0582652155706
42.055333,-67.622
42.085833,-67.678333
43.9752603181543,-68.2301605412462
43.25,-66.83
42.219167,-68.961667
41.655732,-65.90252
41.679,-69.478
41.452667,-68.554167
43.173667,-66.831833
43.25,-67.55
42.131,-66.152333
40.303333,-71.1415
43.7741652705409,-68.6453405663307
43.1145,-66.8718
41.2,-68.08
41.890333,-65.895833
41.301833,-69.077833
41.946,-68.574167
42.55,-66.2833
43.8716300039428,-69.2361649667129
43.1737,-66.8318
43.655162,-68.377747
43.707167,-62.1195
43.9873450472547,-68.4439253550774
40.805833,-69.033333
43.9928500775011,-68.3225254710189
40.366667,-69.916667
42.8833,-66.9
43.342833,-67.061333
42.083333,-65.983333
42.930833,-67.534333
40.413167,-68.529333
42.021133,-68.883017
41.342333000000004,-68.482667
40.18,-69.37
43.0945,-69.3785
42.049,-67.6455
42.864,-65.578333
42.113667,-68.7895
41.777182,-68.382007
41.45,-68.58
43.7985300038367,-69.4947549863451
43.162667,-62.718333
40.2295,-69.942833
40.266667,-71.383333
43.8320000299656,-69.4868002443144
36.95,-74.633333
40.75,-68.933333
41.561833,-68.592
43.881200008712,-69.0343584524964
43.8226800096594,-69.488920129445
40.438138,-67.978255
40.3,-71.32
43.8310699957412,-69.4875035419201
43.229667,-63.424833
41.403667,-66.670167
42.326667,-66.578333
41.506833,-66.032
43.7451250412811,-69.4077053225779
40.283333,-68.85
40.478167,-68.417833
39.983333,-69.983333
43.3755,-67.1322
40.466667,-67.883333
43.7590909310245,-69.2114460573592
42.1853,-67.0715
43.7235500064642,-69.4521084156508
41.398,-66.084167
43.570833,-62.108167
40.183333,-69.366667
41.533333,-66.483333
43.9137000982062,-68.5325504983357
42.5625,-68.548
41.112333,-68.880167
43.9898200625021,-68.551139591351
41,-71.15
43.9089500092085,-68.7554151222737
43.7408250182092,-69.3422897998153
41.87,-68
40.18,-70.15
43.6494400349008,-69.2187652922568
43.7685450540289,-69.1768796445553
43.8180750823307,-69.0635103254053
42.9192,-66.9193
42.4708,-66.5737
42.352833,-65.498
42.351167,-66.404333
42.816667,-67.183333
41.62,-67.45
40.735367,-71.146217
41.4,-68.83
40.383333,-70.316667
40.216667,-70.85
43.7897750930693,-68.670159565141
42.9223,-65.185
40.366667,-68.116667
42.287,-66.770333
41.616667,-69.033333
43.5598600756544,-68.9189753481118
42.8315,-65.382333
40.216667,-70.9
42.866667,-65.2
42.957667,-69.087833
43.7494901569951,-69.0760605429353
43.6139950567999,-68.9393853739114
40.82,-70.73
41.804167,-68.309833
40.233333,-68.966667
42.6655,-66.4403
40.35,-70.93
41.211167,-68.795333
39.972803,-70.05159
41.964667,-67.940167
41.616667,-69.183333
43.5575001886865,-69.0795644942251
43.604733,-68.950183
