"","raw_f","raw_r"
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1404_S64_R1_001.fastq.gz",277852,277852
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1405_S65_R1_001.fastq.gz",226240,226240
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1406_S66_R1_001.fastq.gz",17,17
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1407_S67_R1_001.fastq.gz",226079,226079
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1408_S68_R1_001.fastq.gz",250766,250766
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1409_S69_R1_001.fastq.gz",253046,253046
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1410_S70_R1_001.fastq.gz",209733,209733
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1411_S71_R1_001.fastq.gz",1586,1586
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1412_S72_R1_001.fastq.gz",145272,145272
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1413_S73_R1_001.fastq.gz",312170,312170
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1414_S74_R1_001.fastq.gz",142890,142890
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1415_S75_R1_001.fastq.gz",537085,537085
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1416_S76_R1_001.fastq.gz",257397,257397
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1417_S77_R1_001.fastq.gz",138197,138197
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1418_S78_R1_001.fastq.gz",190360,190360
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1419_S79_R1_001.fastq.gz",146439,146439
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1422_S82_R1_001.fastq.gz",8190,8190
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1423_S83_R1_001.fastq.gz",171930,171930
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1424_S84_R1_001.fastq.gz",196953,196953
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1425_S85_R1_001.fastq.gz",266807,266807
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1427_S87_R1_001.fastq.gz",842899,842899
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1428_S88_R1_001.fastq.gz",187838,187838
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1429_S89_R1_001.fastq.gz",262279,262279
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1430_S90_R1_001.fastq.gz",242875,242875
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1431_S91_R1_001.fastq.gz",14,14
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1432_S92_R1_001.fastq.gz",167228,167228
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1433_S93_R1_001.fastq.gz",183418,183418
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1434_S94_R1_001.fastq.gz",150226,150226
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1435_S95_R1_001.fastq.gz",137262,137262
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1437_S98_R1_001.fastq.gz",214221,214221
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1438_S99_R1_001.fastq.gz",219998,219998
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1439_S100_R1_001.fastq.gz",231315,231315
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1440_S101_R1_001.fastq.gz",267970,267970
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1446_S102_R1_001.fastq.gz",25482,25482
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1447_S103_R1_001.fastq.gz",233056,233056
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1448_S104_R1_001.fastq.gz",234362,234362
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1449_S105_R1_001.fastq.gz",276253,276253
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1450_S106_R1_001.fastq.gz",294453,294453
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1451_S107_R1_001.fastq.gz",163977,163977
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1452_S108_R1_001.fastq.gz",260422,260422
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1453_S109_R1_001.fastq.gz",204547,204547
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1454_S110_R1_001.fastq.gz",208507,208507
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1455_S111_R1_001.fastq.gz",166811,166811
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1456_S112_R1_001.fastq.gz",10097,10097
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1457_S113_R1_001.fastq.gz",267210,267210
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1458_S114_R1_001.fastq.gz",273794,273794
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1459_S115_R1_001.fastq.gz",309942,309942
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1460_S116_R1_001.fastq.gz",237349,237349
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1461_S117_R1_001.fastq.gz",1140,1140
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1462_S118_R1_001.fastq.gz",297308,297308
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1463_S119_R1_001.fastq.gz",271622,271622
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1464_S120_R1_001.fastq.gz",229273,229273
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1465_S121_R1_001.fastq.gz",353899,353899
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/20250425_PECOe-1466_S122_R1_001.fastq.gz",600,600
