"","cutadapt_f","cutadapt_r"
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1406_S66_R1_001.fastq.gz",13,13
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1407_S67_R1_001.fastq.gz",204971,204971
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1408_S68_R1_001.fastq.gz",227400,227400
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1409_S69_R1_001.fastq.gz",229456,229456
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1410_S70_R1_001.fastq.gz",190293,190293
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1411_S71_R1_001.fastq.gz",3,3
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1412_S72_R1_001.fastq.gz",131927,131927
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1413_S73_R1_001.fastq.gz",282539,282539
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1414_S74_R1_001.fastq.gz",129554,129554
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1415_S75_R1_001.fastq.gz",487064,487064
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1416_S76_R1_001.fastq.gz",233271,233271
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1417_S77_R1_001.fastq.gz",124623,124623
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1418_S78_R1_001.fastq.gz",172650,172650
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1419_S79_R1_001.fastq.gz",132571,132571
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1422_S82_R1_001.fastq.gz",5643,5643
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1423_S83_R1_001.fastq.gz",155716,155716
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1424_S84_R1_001.fastq.gz",178740,178740
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1425_S85_R1_001.fastq.gz",241376,241376
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1427_S87_R1_001.fastq.gz",764399,764399
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1428_S88_R1_001.fastq.gz",170194,170194
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1429_S89_R1_001.fastq.gz",238013,238013
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1430_S90_R1_001.fastq.gz",219864,219864
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1431_S91_R1_001.fastq.gz",1,1
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1432_S92_R1_001.fastq.gz",151516,151516
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1433_S93_R1_001.fastq.gz",165977,165977
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1434_S94_R1_001.fastq.gz",136014,136014
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1435_S95_R1_001.fastq.gz",124815,124815
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1437_S98_R1_001.fastq.gz",194479,194479
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1438_S99_R1_001.fastq.gz",199473,199473
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1439_S100_R1_001.fastq.gz",209776,209776
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1440_S101_R1_001.fastq.gz",243233,243233
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1446_S102_R1_001.fastq.gz",23126,23126
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1447_S103_R1_001.fastq.gz",211194,211194
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1448_S104_R1_001.fastq.gz",212193,212193
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1449_S105_R1_001.fastq.gz",250260,250260
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1450_S106_R1_001.fastq.gz",267168,267168
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1451_S107_R1_001.fastq.gz",148824,148824
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1452_S108_R1_001.fastq.gz",236113,236113
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1453_S109_R1_001.fastq.gz",185556,185556
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1454_S110_R1_001.fastq.gz",189291,189291
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1455_S111_R1_001.fastq.gz",151345,151345
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1456_S112_R1_001.fastq.gz",9183,9183
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1457_S113_R1_001.fastq.gz",242068,242068
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1458_S114_R1_001.fastq.gz",248490,248490
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1459_S115_R1_001.fastq.gz",280721,280721
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1460_S116_R1_001.fastq.gz",215038,215038
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1461_S117_R1_001.fastq.gz",1026,1026
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1462_S118_R1_001.fastq.gz",269844,269844
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1463_S119_R1_001.fastq.gz",246328,246328
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1464_S120_R1_001.fastq.gz",207784,207784
