Lane,SampleID,Index,# Reads,# Perfect Index Reads,# One Mismatch Index Reads,# Two Mismatch Index Reads,% Reads,% Perfect Index Reads,% One Mismatch Index Reads,% Two Mismatch Index Reads
1,0178,ELIDED,226292,218128,8164,0,0.0016,0.9639,0.0361,0.0000
1,0179,ELIDED,306857,289020,17837,0,0.0021,0.9419,0.0581,0.0000
1,0180,ELIDED,212379,178644,33735,0,0.0015,0.8412,0.1588,0.0000
1,0181,ELIDED,217203,203432,13771,0,0.0015,0.9366,0.0634,0.0000
1,0182,ELIDED,87,83,4,0,0.0000,0.9540,0.0460,0.0000
1,0183,ELIDED,61,53,8,0,0.0000,0.8689,0.1311,0.0000
1,0184,ELIDED,134501,129604,4897,0,0.0009,0.9636,0.0364,0.0000
1,0185,ELIDED,152951,145322,7629,0,0.0011,0.9501,0.0499,0.0000
1,0186,ELIDED,163604,155650,7954,0,0.0011,0.9514,0.0486,0.0000
1,0187,ELIDED,196220,185257,10963,0,0.0014,0.9441,0.0559,0.0000
1,0188,ELIDED,972,908,64,0,0.0000,0.9342,0.0658,0.0000
1,0189,ELIDED,107893,89926,17967,0,0.0008,0.8335,0.1665,0.0000
1,0190,ELIDED,214474,207548,6926,0,0.0015,0.9677,0.0323,0.0000
1,0191,ELIDED,125525,121884,3641,0,0.0009,0.9710,0.0290,0.0000
1,0192,ELIDED,2,2,0,0,0.0000,1.0000,0.0000,0.0000
1,0193,ELIDED,179881,161206,18675,0,0.0013,0.8962,0.1038,0.0000
1,0194,ELIDED,300296,279051,21245,0,0.0021,0.9293,0.0707,0.0000
1,0195,ELIDED,88,67,21,0,0.0000,0.7614,0.2386,0.0000
1,0196,ELIDED,346303,333852,12451,0,0.0024,0.9640,0.0360,0.0000
1,0197,ELIDED,265843,210074,55769,0,0.0019,0.7902,0.2098,0.0000
1,0198,ELIDED,316961,307789,9172,0,0.0022,0.9711,0.0289,0.0000
1,0199,ELIDED,241266,231476,9790,0,0.0017,0.9594,0.0406,0.0000
1,0200,ELIDED,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1,0201,ELIDED,250536,240016,10520,0,0.0018,0.9580,0.0420,0.0000
1,0202,ELIDED,289016,274175,14841,0,0.0020,0.9486,0.0514,0.0000
1,0203,ELIDED,270570,223917,46653,0,0.0019,0.8276,0.1724,0.0000
1,0204,ELIDED,249524,237700,11824,0,0.0017,0.9526,0.0474,0.0000
1,0205,ELIDED,129317,100655,28662,0,0.0009,0.7784,0.2216,0.0000
1,0206,ELIDED,291984,281730,10254,0,0.0020,0.9649,0.0351,0.0000
1,0207,ELIDED,241751,229902,11849,0,0.0017,0.9510,0.0490,0.0000
1,0208,ELIDED,197421,189403,8018,0,0.0014,0.9594,0.0406,0.0000
1,0209,ELIDED,49,31,18,0,0.0000,0.6327,0.3673,0.0000
1,0210,ELIDED,320117,272447,47670,0,0.0022,0.8511,0.1489,0.0000
1,0211,ELIDED,166,157,9,0,0.0000,0.9458,0.0542,0.0000
1,0212,ELIDED,166050,159939,6111,0,0.0012,0.9632,0.0368,0.0000
1,0213,ELIDED,272639,264102,8537,0,0.0019,0.9687,0.0313,0.0000
1,0214,ELIDED,212088,205412,6676,0,0.0015,0.9685,0.0315,0.0000
1,0215,ELIDED,153706,77359,76347,0,0.0011,0.5033,0.4967,0.0000
1,0216,ELIDED,234405,225693,8712,0,0.0016,0.9628,0.0372,0.0000
1,0217,ELIDED,346987,336539,10448,0,0.0024,0.9699,0.0301,0.0000
1,0218,ELIDED,417579,388087,29492,0,0.0029,0.9294,0.0706,0.0000
1,0219,ELIDED,24,16,8,0,0.0000,0.6667,0.3333,0.0000
1,0220,ELIDED,304432,295386,9046,0,0.0021,0.9703,0.0297,0.0000
1,0221,ELIDED,32556,31399,1157,0,0.0002,0.9645,0.0355,0.0000
1,0222,ELIDED,295545,285523,10022,0,0.0021,0.9661,0.0339,0.0000
1,0223,ELIDED,319099,298056,21043,0,0.0022,0.9341,0.0659,0.0000
1,0224,ELIDED,244600,236863,7737,0,0.0017,0.9684,0.0316,0.0000
1,0225,ELIDED,273240,264702,8538,0,0.0019,0.9688,0.0312,0.0000
1,0226,ELIDED,320046,276388,43658,0,0.0022,0.8636,0.1364,0.0000
1,0227,ELIDED,371259,341025,30234,0,0.0026,0.9186,0.0814,0.0000
1,0228,ELIDED,392485,378615,13870,0,0.0027,0.9647,0.0353,0.0000
1,0229,ELIDED,2587,2454,133,0,0.0000,0.9486,0.0514,0.0000
1,0230,ELIDED,411582,398372,13210,0,0.0029,0.9679,0.0321,0.0000
1,0231,ELIDED,375199,359564,15635,0,0.0026,0.9583,0.0417,0.0000
1,0232,ELIDED,171053,85802,85251,0,0.0012,0.5016,0.4984,0.0000
1,0233,ELIDED,341248,330092,11156,0,0.0024,0.9673,0.0327,0.0000
1,0234,ELIDED,206700,198626,8074,0,0.0014,0.9609,0.0391,0.0000
1,0235,ELIDED,321664,292407,29257,0,0.0023,0.9090,0.0910,0.0000
1,0236,ELIDED,285292,260377,24915,0,0.0020,0.9127,0.0873,0.0000
1,0237,ELIDED,262331,250905,11426,0,0.0018,0.9564,0.0436,0.0000
1,0238,ELIDED,3,3,0,0,0.0000,1.0000,0.0000,0.0000
1,0239,ELIDED,267833,242855,24978,0,0.0019,0.9067,0.0933,0.0000
1,0240,ELIDED,228216,218075,10141,0,0.0016,0.9556,0.0444,0.0000
1,0241,ELIDED,264703,205503,59200,0,0.0019,0.7764,0.2236,0.0000
