"","input_dada2","after_filter_and_trim","raw_f","raw_r","cutadapt_f","cutadapt_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percenttrimmed_into_dada2","percentinput_retainedby_dada2_filterandtrim","percent_retainedby_dada2_denoising","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"edna0022-Rep1_S16_L001_R1_001.fastq.gz",19339,11936,19541,19541,19339,19339,11919,11904,11268,11268,10884,98.9662760350033,98.9662760350033,61.7198407363359,99.8575737265416,94.5381323936572,100,96.5921192758254,55.6982754209099
"edna0022-Rep2_S172_L001_R1_001.fastq.gz",47903,27815,47906,47906,47903,47903,27798,27747,25843,25843,23832,99.9937377364004,99.9937377364004,58.0652568732647,99.9388818982563,92.9671199366861,100,92.218395697094,49.7474220348182
"edna0022-Rep3_S328_L001_R1_001.fastq.gz",31386,19084,31387,31387,31386,31386,19034,18962,17453,17453,16651,99.9968139675662,99.9968139675662,60.8041802077359,99.7380004191993,91.6938110749186,100,95.4048014667965,53.0506260553732
"edna0023-Rep1_S17_L001_R1_001.fastq.gz",47609,29957,47852,47852,47609,47609,29877,29911,28513,28513,26843,99.4921842347237,99.4921842347237,62.9229767480939,99.7329505624729,95.4346152558824,100,94.1430224809736,56.095878960127
"edna0023-Rep2_S173_L001_R1_001.fastq.gz",71434,41210,71446,71446,71434,71434,41077,41153,36262,36262,34616,99.9832040982,99.9832040982,57.6896155892152,99.6772628002912,88.2781118387419,100,95.4608129722575,48.4505780589536
"edna0023-Rep3_S329_L001_R1_001.fastq.gz",42884,24963,42892,42892,42884,42884,24855,24921,22783,22783,22783,99.9813485032174,99.9813485032174,58.2105214065852,99.5673596923447,91.6636491651579,100,100,53.1171313997948
"edna0024-Rep1_S18_L001_R1_001.fastq.gz",53314,32620,53385,53385,53314,53314,32556,32580,30809,30806,28902,99.86700384003,99.86700384003,61.1846794462993,99.8038013488657,94.6338616537658,99.9902625856081,93.8193858339285,54.1388030345603
"edna0024-Rep2_S174_L001_R1_001.fastq.gz",42395,24441,42501,42501,42395,42395,24425,24400,23231,23231,20486,99.7505941036681,99.7505941036681,57.6506663521642,99.9345362301052,95.1115660184237,100,88.1838922129913,48.2012187948519
"edna0024-Rep3_S330_L001_R1_001.fastq.gz",16721,9758,16724,16724,16721,16721,9749,9654,8031,8031,8031,99.9820617077254,99.9820617077254,58.3577537228635,99.9077679852429,82.3776797620269,100,100,48.0208084190385
"edna0025-Rep1_S19_L001_R1_001.fastq.gz",28475,17689,28570,28570,28475,28475,17522,17655,16182,16166,13876,99.6674833741687,99.6674833741687,62.1211589113257,99.0559104528238,92.3524711790892,99.901124706464,85.8344674007176,48.5684284214211
"edna0025-Rep2_S175_L001_R1_001.fastq.gz",35855,20553,35868,35868,35855,35855,20533,20524,18428,18428,15408,99.963755994201,99.963755994201,57.3225491563241,99.9026906047779,89.7482101982175,100,83.6118949424788,42.9575108732017
"edna0025-Rep3_S331_L001_R1_001.fastq.gz",37132,21279,37133,37133,37132,37132,21246,21242,19036,19036,16780,99.997306977621,99.997306977621,57.3063664763546,99.8449175243198,89.5980419843735,100,88.1487707501576,45.188915519888
"edna0026-Rep1_S20_L001_R1_001.fastq.gz",24974,14714,25024,25024,24974,24974,14597,14689,13747,13747,13523,99.8001918158568,99.8001918158568,58.9172739649235,99.2048389289112,94.1768856614373,100,98.3705535753255,54.040121483376
"edna0026-Rep2_S176_L001_R1_001.fastq.gz",27265,15726,27273,27273,27265,27265,15690,15669,13893,13893,11497,99.9706669599971,99.9706669599971,57.6783421969558,99.771079740557,88.546845124283,100,82.7539048441661,42.1552451142155
"edna0026-Rep3_S332_L001_R1_001.fastq.gz",30516,16380,30517,30517,30516,30516,16363,16352,14524,14524,14524,99.9967231379231,99.9967231379231,53.6767597325993,99.8962148962149,88.7612296033735,100,100,47.5931448045352
