"","input_dada2","after_filter_and_trim","raw_f","raw_r","cutadapt_f","cutadapt_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percenttrimmed_into_dada2","percentinput_retainedby_dada2_filterandtrim","percent_retainedby_dada2_denoising","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"edna0080-Rep2_S230_L001_R1_001.fastq.gz",42292,24421,42296,42296,42292,42292,24397,24389,21122,21122,19428,99.9905428409306,99.9905428409306,57.7437813298023,99.9017239261292,86.5762183875067,100,91.9799261433576,45.9334216001513
"edna0080-Rep3_S386_L001_R1_001.fastq.gz",30007,17127,30009,30009,30007,30007,17104,16946,14998,14998,14089,99.9933353327335,99.9933353327335,57.0766821075082,99.865709114264,87.6870907390084,100,93.9391918922523,46.9492485587657
"edna0081-Rep1_S75_L001_R1_001.fastq.gz",31399,17674,31432,31432,31399,31399,17506,17611,15485,15485,15237,99.895011453296,99.895011453296,56.2884168285614,99.049451171212,88.4553867245516,100,98.3984501130126,48.4760753372359
"edna0081-Rep2_S231_L001_R1_001.fastq.gz",48210,27614,48220,48220,48210,48210,27436,27436,23754,23754,23476,99.9792617171298,99.9792617171298,57.2785729101846,99.3553994350692,86.5796763376586,100,98.8296707922876,48.6851928660307
"edna0081-Rep3_S387_L001_R1_001.fastq.gz",34389,19766,34391,34391,34389,34389,19714,19734,17912,17912,16521,99.9941845250211,99.9941845250211,57.47768181686,99.7369219872508,90.8592878157654,100,92.2342563644484,48.0387310633596
"edna0082-Rep1_S76_L001_R1_001.fastq.gz",26637,16006,26668,26668,26637,26637,15959,15962,14736,14736,14464,99.8837558122094,99.8837558122094,60.0893494012088,99.7063601149569,92.3366125697099,100,98.1541802388708,54.2372881355932
"edna0082-Rep2_S232_L001_R1_001.fastq.gz",64228,36944,64229,64229,64228,64228,36872,36850,33669,33667,32372,99.998443070887,99.998443070887,57.5200846982624,99.8051104374188,91.313191581688,99.9940598176364,96.1535034306591,50.400909246602
"edna0082-Rep3_S388_L001_R1_001.fastq.gz",36204,20590,36204,36204,36204,36204,20569,20556,18700,18700,18487,100,100,56.8721688211247,99.8980087421078,90.9135106227819,100,98.8609625668449,51.0634184068059
"edna0083-Rep1_S77_L001_R1_001.fastq.gz",13768,8618,13770,13770,13768,13768,8510,8575,7882,7882,7746,99.9854756717502,99.9854756717502,62.5944218477629,98.7468090044094,92.62044653349,100,98.2745496066988,56.2527233115468
"edna0083-Rep2_S233_L001_R1_001.fastq.gz",6660,3997,6660,6660,6660,6660,3989,3974,3821,3821,3821,100,100,60.015015015015,99.7998498874156,95.7884181499123,100,100,57.3723723723724
"edna0083-Rep3_S389_L001_R1_001.fastq.gz",47533,28750,47538,47538,47533,47533,28703,28699,26577,26577,26436,99.9894820985317,99.9894820985317,60.4842951212842,99.8365217391304,92.5931087342786,100,99.469466079693,55.6102486431907
"edna0084-Rep1_S78_L001_R1_001.fastq.gz",41589,25253,41619,41619,41589,41589,25242,25209,22303,22285,22214,99.9279175376631,99.9279175376631,60.7203827935271,99.9564408189126,88.3567070755091,99.9192933686051,99.6814000448732,53.3746606117398
"edna0084-Rep2_S234_L001_R1_001.fastq.gz",74864,42906,74869,74869,74864,74864,42665,42830,39947,39914,38159,99.9933216685143,99.9933216685143,57.3119256251336,99.4383069966904,93.6294386499473,99.9173905424688,95.6030465500827,50.9676902322724
"edna0084-Rep3_S390_L001_R1_001.fastq.gz",38896,22231,38899,38899,38896,38896,22191,22170,19996,19996,19921,99.9922877194786,99.9922877194786,57.1549773755656,99.8200710719266,90.1086025866342,100,99.624924984997,51.2121134219389
"edna0085-Rep1_S79_L001_R1_001.fastq.gz",21398,10539,21449,21449,21398,21398,10530,10490,8218,8218,7883,99.7622266772344,99.7622266772344,49.2522665669689,99.9146029035013,78.0436847103514,100,95.9235823801411,36.7522961443424
"edna0085-Rep2_S235_L001_R1_001.fastq.gz",41731,24200,41731,41731,41731,41731,24051,24169,21688,21688,20583,100,100,57.9904627255518,99.3842975206612,90.1750446966862,100,94.905016599041,49.3230452181831
"edna0085-Rep3_S391_L001_R1_001.fastq.gz",28270,16497,28272,28272,28270,28270,16468,16381,14562,14562,14562,99.9929258630447,99.9929258630447,58.3551467987266,99.8242104625083,88.4260383774593,100,100,51.5067911714771
"edna0086-Rep1_S80_L001_R1_001.fastq.gz",21634,12434,21654,21654,21634,21634,12415,12386,11529,11529,11446,99.9076383116283,99.9076383116283,57.4743459369511,99.8471931799903,92.8634716069271,100,99.2800763292567,52.858594255103
"edna0086-Rep2_S236_L001_R1_001.fastq.gz",34594,20624,34614,34614,34594,34594,20588,20579,18958,18958,18958,99.9422199110187,99.9422199110187,59.6172746719084,99.8254460822343,92.0827666601904,100,100,54.7697463454094
"edna0086-Rep3_S392_L001_R1_001.fastq.gz",38230,22771,38231,38231,38230,38230,22719,22740,21084,21082,20869,99.9973843216238,99.9973843216238,59.5631702851164,99.7716393658601,92.8033804304767,99.9905141339404,98.989659425102,54.5865920326437
"edna0087-Rep1_S81_L001_R1_001.fastq.gz",22292,13920,22340,22340,22292,22292,13901,13814,12434,12434,12163,99.7851387645479,99.7851387645479,62.4439260721335,99.8635057471264,89.4468023883174,100,97.8204921988097,54.4449418084154
"edna0087-Rep2_S237_L001_R1_001.fastq.gz",27436,16282,27480,27480,27436,27436,16227,16194,14832,14832,14712,99.839883551674,99.839883551674,59.3453856247266,99.662203660484,91.4032168607876,100,99.1909385113269,53.5371179039301
"edna0087-Rep3_S393_L001_R1_001.fastq.gz",35374,21201,35385,35385,35374,35374,21094,21156,19265,19265,19265,99.9689133813763,99.9689133813763,59.9338497201334,99.4953068251498,91.3292879491799,100,100,54.4439734350714
"edna0088-Rep1_S82_L001_R1_001.fastq.gz",8791,5070,8806,8806,8791,8791,4991,5051,4659,4659,4244,99.8296615943675,99.8296615943675,57.6726197247185,98.4418145956607,93.3480264476057,100,91.0925091221292,48.1944129002953
"edna0088-Rep2_S238_L001_R1_001.fastq.gz",36523,21313,36527,36527,36523,36523,21281,21287,20305,20305,18560,99.9890491964848,99.9890491964848,58.3550091723024,99.8498568948529,95.4137493538837,100,91.4060576212756,50.8117283105648
"edna0088-Rep3_S394_L001_R1_001.fastq.gz",45063,26916,45069,45069,45063,45063,26897,26877,24331,24331,22889,99.986687079811,99.986687079811,59.7297117369017,99.9294100163471,90.4599025913671,100,94.0734042990424,50.7865717011693
"edna0089-Rep1_S83_L001_R1_001.fastq.gz",34840,21847,34908,34908,34840,34840,21816,21809,20145,20145,19175,99.8052022459035,99.8052022459035,62.7066590126292,99.8581040875177,92.3404840484048,100,95.1849094068007,54.9301019823536
"edna0089-Rep2_S239_L001_R1_001.fastq.gz",38554,22388,38584,38584,38554,38554,22302,22359,20753,20753,19630,99.922247563757,99.922247563757,58.0692016392592,99.6158656423084,93.0544345798583,100,94.5887341589168,50.8760107816712
"edna0089-Rep3_S395_L001_R1_001.fastq.gz",46719,27418,46720,46720,46719,46719,27321,27366,25203,25203,24529,99.9978595890411,99.9978595890411,58.6870438151502,99.6462178131155,92.2477215328868,100,97.3257151926358,52.5021404109589
"edna0090-Rep1_S84_L001_R1_001.fastq.gz",29482,17766,29540,29540,29482,29482,17723,17638,15908,15908,15382,99.8036560595802,99.8036560595802,60.2604979309409,99.7579646515817,89.759070134853,100,96.6934875534322,52.0717670954638
"edna0090-Rep2_S240_L001_R1_001.fastq.gz",37734,22088,37754,37754,37734,37734,21971,22047,20335,20335,17416,99.9470254807438,99.9470254807438,58.5360682673451,99.4703006157189,92.5538209457922,100,85.645438898451,46.1302113683318
"edna0090-Rep3_S396_L001_R1_001.fastq.gz",39452,23289,39495,39495,39452,39452,23273,23216,21864,21864,19363,99.8911254589189,99.8911254589189,59.0312278211498,99.9312980377002,93.9457740729601,100,88.5611050128064,49.0264590454488
"edna0091-Rep1_S85_L001_R1_001.fastq.gz",39665,24288,39845,39845,39665,39665,24204,24242,22416,22416,20535,99.5482494666834,99.5482494666834,61.2328249086096,99.6541501976285,92.6127912741696,100,91.6086723768737,51.537206675869
"edna0091-Rep2_S241_L001_R1_001.fastq.gz",32633,19472,32663,32663,32633,32633,19454,19449,17913,17913,15579,99.908152955944,99.908152955944,59.6696595470842,99.9075595727198,92.0787498714917,100,86.9703567241668,47.6961699782629
"edna0091-Rep3_S397_L001_R1_001.fastq.gz",44997,26959,45000,45000,44997,44997,26937,26924,24032,24032,22864,99.9933333333333,99.9933333333333,59.9128830810943,99.9183945992062,89.2155770872777,100,95.1398135818908,50.8088888888889
"edna0092-Rep1_S86_L001_R1_001.fastq.gz",45861,28540,45901,45901,45861,45861,28491,28437,26523,26521,25094,99.9128559290647,99.9128559290647,62.2315256972155,99.8283111422565,93.092555543856,99.9924593748822,94.6193582444101,54.669832901244
"edna0092-Rep2_S242_L001_R1_001.fastq.gz",37425,22597,37429,37429,37425,37425,22568,22565,21543,21543,19967,99.9893130994683,99.9893130994683,60.3794255177021,99.8716643802275,95.4581708613967,100,92.6843986445713,53.3463357289802
"edna0092-Rep3_S398_L001_R1_001.fastq.gz",42848,26119,42852,42852,42848,42848,26085,26067,24023,24023,23443,99.9906655465323,99.9906655465323,60.9573375653473,99.8698265630384,92.0950737972015,100,97.5856470882071,54.7068981611127
"edna0093-Rep1_S87_L001_R1_001.fastq.gz",25797,15658,25797,25797,25797,25797,15646,15633,13631,13624,12976,100,100,60.6969802690235,99.9233618597522,87.1213089607567,99.9486464676106,95.2436876100998,50.3004225297515
"edna0093-Rep2_S243_L001_R1_001.fastq.gz",48582,28650,48584,48584,48582,48582,28627,28556,25447,25445,22986,99.9958834184093,99.9958834184093,58.9724589354082,99.9197207678883,88.8916058266671,99.9921405273706,90.3360188642169,47.3118722213074
"edna0093-Rep3_S399_L001_R1_001.fastq.gz",22747,13797,22747,22747,22747,22747,13784,13783,13097,13097,11007,100,100,60.654152195894,99.9057766181054,95.0159605339524,100,84.0421470565778,48.3887985228821
"edna0094-Rep1_S88_L001_R1_001.fastq.gz",46306,27218,46383,46383,46306,46306,27185,27160,24468,24468,23168,99.833990901839,99.833990901839,58.7785600138211,99.8787567051216,90.0055177487585,100,94.6869380415236,49.9493348856262
"edna0094-Rep2_S244_L001_R1_001.fastq.gz",42211,23883,42355,42355,42211,42211,23856,23852,22301,22301,19173,99.6600165269744,99.6600165269744,56.5800383786217,99.8869488757694,93.4817236753856,100,85.9737231514282,45.2673828355566
"edna0094-Rep3_S400_L001_R1_001.fastq.gz",37922,22376,37953,37953,37922,37922,22352,22341,19915,19915,19127,99.9183200274023,99.9183200274023,59.0053267232741,99.8927422238112,89.0971725125268,100,96.0431835300025,50.3965430927726
"edna0095-Rep1_S89_L001_R1_001.fastq.gz",25147,14098,25280,25280,25147,25147,14086,14086,12531,12531,12348,99.4738924050633,99.4738924050633,56.0623533622301,99.9148815434813,88.9606701689621,100,98.5396217380895,48.8449367088608
"edna0095-Rep2_S245_L001_R1_001.fastq.gz",24618,14398,24621,24621,24618,24618,14378,14375,13458,13446,12698,99.9878152796393,99.9878152796393,58.4856608985295,99.8610918183081,93.6013353734873,99.9108337048596,94.4370072884129,51.5738597132529
"edna0095-Rep3_S401_L001_R1_001.fastq.gz",54892,32596,54892,54892,54892,54892,32132,32533,30882,30882,28726,100,100,59.382059316476,98.576512455516,96.1097970870161,100,93.0185868790881,52.3318516359397
"edna0096-Rep1_S90_L001_R1_001.fastq.gz",32596,19558,32625,32625,32596,32596,19482,19508,18108,18108,17232,99.9111111111111,99.9111111111111,60.0012271444349,99.6114122098374,92.9473360024638,100,95.1623591782638,52.8183908045977
"edna0096-Rep2_S246_L001_R1_001.fastq.gz",28306,16548,28331,28331,28306,28306,16430,16522,15055,15055,14321,99.9117574388479,99.9117574388479,58.4611036529358,99.2869228909838,91.631162507608,100,95.1245433410827,50.548868730366
"edna0096-Rep3_S402_L001_R1_001.fastq.gz",54252,31835,54252,54252,54252,54252,31787,31725,29546,29546,27032,100,100,58.6798643367987,99.849222553793,92.9499480919873,100,91.4912340079875,49.8267344982673
"edna0097-Rep1_S91_L001_R1_001.fastq.gz",34994,21619,34994,34994,34994,34994,21557,21538,19938,19938,16986,100,100,61.7791621420815,99.7132152273463,92.4896785266967,100,85.1941017153175,48.5397496713722
"edna0097-Rep2_S247_L001_R1_001.fastq.gz",35401,20604,35420,35420,35401,35401,20598,20576,19742,19742,18879,99.9463579898363,99.9463579898363,58.2017457133979,99.9708794408853,95.8442567239538,100,95.6286090568331,53.300395256917
"edna0097-Rep3_S403_L001_R1_001.fastq.gz",29277,16831,29279,29279,29277,29277,16826,16810,15959,15959,13096,99.9931691656136,99.9931691656136,57.4888137445777,99.9702929118888,94.8472601925591,100,82.060279466132,44.7283035622801
"edna0098-Rep1_S92_L001_R1_001.fastq.gz",42056,26968,42149,42149,42056,42056,26958,26864,25591,25591,23818,99.7793541958291,99.7793541958291,64.124025109378,99.962919015129,94.9291490466652,100,93.0717830487281,56.5090512230421
"edna0098-Rep2_S248_L001_R1_001.fastq.gz",21,3,21,21,21,21,3,3,0,0,0,100,100,14.2857142857143,100,0,NA,NA,0
"edna0098-Rep3_S404_L001_R1_001.fastq.gz",20757,13564,20945,20945,20757,20757,13553,13536,12828,12828,12298,99.1024110766293,99.1024110766293,65.3466300525124,99.9189029784724,94.6506308566369,100,95.8684128468974,58.7156839341132
"edna0099-Rep1_S93_L001_R1_001.fastq.gz",35557,22204,35650,35650,35557,35557,22181,22054,20795,20793,20793,99.7391304347826,99.7391304347826,62.4462131225919,99.8964150603495,93.7514088634417,99.9903823034383,100,58.3253856942497
"edna0099-Rep2_S249_L001_R1_001.fastq.gz",18503,11831,18526,18526,18503,18503,11823,11761,11067,11067,10495,99.8758501565368,99.8758501565368,63.9409825433713,99.9323810328797,93.6056838365897,100,94.8314809794886,56.6501133542049
"edna0099-Rep3_S405_L001_R1_001.fastq.gz",30867,20020,30876,30876,30867,30867,19929,19979,19256,19256,18599,99.9708511465216,99.9708511465216,64.8589108108984,99.5454545454545,96.6230116915048,100,96.5880764437059,60.2377250939241
"edna0100-Rep1_S94_L001_R1_001.fastq.gz",31723,21015,31744,31744,31723,31723,20982,20961,19940,19940,19550,99.933845766129,99.933845766129,66.245310973111,99.8429693076374,95.0338385282623,100,98.0441323971916,61.5864415322581
"edna0100-Rep2_S250_L001_R1_001.fastq.gz",28471,18146,28480,28480,28471,28471,18118,18120,17241,17241,16711,99.9683988764045,99.9683988764045,63.735028625619,99.8456960211617,95.1595098796777,100,96.9259323705121,58.6762640449438
"edna0100-Rep3_S406_L001_R1_001.fastq.gz",57292,37732,57293,57293,57292,57292,37659,37669,36598,36574,35678,99.9982545860751,99.9982545860751,65.8591077288278,99.8065302660872,97.1826123901325,99.9344226460462,97.5501722535134,62.2728780130208
"edna0101-Rep1_S97_L001_R1_001.fastq.gz",25908,16452,26038,26038,25908,25908,16420,16401,15366,15366,15336,99.5007297027421,99.5007297027421,63.5016211208893,99.805494772672,93.5809987819732,100,99.8047637641546,58.8985329134342
"edna0101-Rep2_S253_L001_R1_001.fastq.gz",26906,16591,26910,26910,26906,26906,16522,16552,16062,16062,15896,99.9851356373096,99.9851356373096,61.6628261354345,99.5841118678802,97.2158334342089,100,98.9665047939235,59.0709773318469
"edna0101-Rep3_S409_L001_R1_001.fastq.gz",45777,28994,45779,45779,45777,45777,28889,28945,28343,28308,26618,99.9956311846043,99.9956311846043,63.3374838892894,99.6378561081603,98.1100072692028,99.8765127191899,94.0299561961283,58.1445641014439
"edna0102-Rep1_S98_L001_R1_001.fastq.gz",21860,13783,21946,21946,21860,21860,13769,13661,12803,12803,12621,99.6081290440171,99.6081290440171,63.0512351326624,99.8984255967496,92.9842399593289,100,98.5784581738655,57.5093411099973
"edna0102-Rep2_S254_L001_R1_001.fastq.gz",27202,16844,27203,27203,27202,27202,16778,16798,15961,15961,14969,99.9963239348601,99.9963239348601,61.9219175060657,99.6081690809784,95.1305280724759,100,93.7848505732724,55.0270190787781
"edna0102-Rep3_S410_L001_R1_001.fastq.gz",11591,7410,11602,11602,11591,11591,7374,7398,6947,6947,6666,99.9051887605585,99.9051887605585,63.9289103614874,99.5141700404858,94.2093843232981,100,95.9550885274219,57.4556111015342
"edna0103-Rep1_S99_L001_R1_001.fastq.gz",23194,14830,23243,23243,23194,23194,14722,14741,13879,13879,13654,99.789183840296,99.789183840296,63.938949728378,99.2717464598786,94.273875832088,100,98.3788457381656,58.7445682571097
"edna0103-Rep2_S255_L001_R1_001.fastq.gz",24376,15711,24376,24376,24376,24376,15645,15680,14616,14616,13826,100,100,64.4527404003938,99.5799121634523,93.4228187919463,100,94.5949644225506,56.7197243190023
"edna0103-Rep3_S411_L001_R1_001.fastq.gz",40771,26488,40772,40772,40771,40771,26291,26304,24635,24635,23640,99.9975473364073,99.9975473364073,64.9677466826911,99.2562669888251,93.7012665931307,100,95.9610310533793,57.980967330521
"edna0104-Rep1_S100_L001_R1_001.fastq.gz",11465,7284,11518,11518,11465,11465,7244,7261,6944,6944,6756,99.5398506685188,99.5398506685188,63.5324901875273,99.45085118067,95.8586416344561,100,97.2926267281106,58.6560166695607
"edna0104-Rep2_S256_L001_R1_001.fastq.gz",27280,17310,27285,27285,27280,27280,17253,17218,16126,16126,15568,99.9816749129558,99.9816749129558,63.4530791788856,99.6707105719237,93.4678027009795,100,96.5397494729009,57.0569910207074
"edna0104-Rep3_S412_L001_R1_001.fastq.gz",43912,28011,43912,43912,43912,43912,27877,27943,26971,26969,26507,100,100,63.7889415194024,99.5216165078005,96.7500089679664,99.9925846279337,98.2869220215803,60.3639096374567
"edna0105-Rep1_S101_L001_R1_001.fastq.gz",22605,14133,22655,22655,22605,22605,14106,14092,13440,13440,13304,99.7792981681748,99.7792981681748,62.5215660252157,99.8089577584377,95.2786048490004,100,98.9880952380952,58.7243434120503
"edna0105-Rep2_S257_L001_R1_001.fastq.gz",25863,16364,25870,25870,25863,25863,16334,16331,15752,15752,15614,99.9729416312331,99.9729416312331,63.2718555465337,99.8166707406502,96.4368801273417,100,99.1239207719655,60.3556242752223
"edna0105-Rep3_S413_L001_R1_001.fastq.gz",43350,27945,43351,43351,43350,43350,27861,27901,27342,27342,25997,99.9976932481373,99.9976932481373,64.4636678200692,99.699409554482,98.1371810057069,100,95.0808280301368,59.9686281746673
"edna0106-Rep1_S102_L001_R1_001.fastq.gz",20797,11277,20922,20922,20797,20797,11246,11268,9989,9989,9989,99.4025427779371,99.4025427779371,54.2241669471558,99.7251041943779,88.8226925128935,100,100,47.7440015294905
"edna0106-Rep2_S258_L001_R1_001.fastq.gz",23933,13846,23977,23977,23933,23933,13783,13812,12955,12955,11925,99.8164908036869,99.8164908036869,57.853173442527,99.5449949443883,93.9925995791918,100,92.0494017753763,49.7351628644117
"edna0106-Rep3_S414_L001_R1_001.fastq.gz",22466,12729,22546,22546,22466,22466,12717,12709,10867,10867,10867,99.6451698749224,99.6451698749224,56.658951304193,99.9057270798963,85.4525438389557,100,100,48.1992371152311
"edna0107-Rep1_S103_L001_R1_001.fastq.gz",22988,13969,23084,23084,22988,22988,13953,13931,11764,11764,11415,99.5841275342228,99.5841275342228,60.766486862711,99.8854606628964,84.3116175732817,100,97.03332199932,49.4498353838156
"edna0107-Rep2_S259_L001_R1_001.fastq.gz",26924,16543,26956,26956,26924,26924,16537,16513,15333,15333,15013,99.8812880249295,99.8812880249295,61.4433219432477,99.963730883153,92.7193565943037,100,97.9129981086545,55.6944650541623
"edna0107-Rep3_S415_L001_R1_001.fastq.gz",15488,9029,15489,15489,15488,15488,9024,9020,7397,7397,7397,99.9935438052812,99.9935438052812,58.2967458677686,99.9446228818252,81.9703014184397,100,100,47.7564723352056
"edna0108-Rep1_S104_L001_R1_001.fastq.gz",19304,12375,19435,19435,19304,19304,12355,12338,11470,11470,11135,99.3259583226138,99.3259583226138,64.1058847907169,99.8383838383838,92.8369081343586,100,97.079337401918,57.2935425778235
"edna0108-Rep2_S260_L001_R1_001.fastq.gz",29472,19454,29475,29475,29472,29472,19361,19420,18630,18630,17764,99.9898218829517,99.9898218829517,66.0084147665581,99.5219492135294,96.2243685760033,100,95.3515834675255,60.2680237489398
"edna0108-Rep3_S416_L001_R1_001.fastq.gz",22146,13990,22148,22148,22146,22146,13881,13958,12900,12900,12624,99.9909698392631,99.9909698392631,63.1716788584846,99.2208720514653,92.9327858223471,100,97.8604651162791,56.9983745710674
"edna0109-Rep1_S105_L001_R1_001.fastq.gz",34677,19558,34833,34833,34677,34677,19548,19344,16852,16852,15933,99.5521488243907,99.5521488243907,56.4004960059982,99.9488700276102,86.2083077552691,100,94.5466413482079,45.7411075704074
"edna0109-Rep2_S261_L001_R1_001.fastq.gz",26071,14428,26071,26071,26071,26071,14406,14418,12441,12441,11682,100,100,55.3411836906908,99.8475187136124,86.359850062474,100,93.8992042440318,44.8084078094434
"edna0109-Rep3_S417_L001_R1_001.fastq.gz",36750,21455,36754,36754,36750,36750,21440,21416,19016,19016,17567,99.9891168308211,99.9891168308211,58.3809523809524,99.9300862269867,88.6940298507463,100,92.3801009676062,47.7961582412799
"edna0110-Rep1_S106_L001_R1_001.fastq.gz",26525,15206,26569,26569,26525,26525,15194,15172,12910,12910,12173,99.8343934660695,99.8343934660695,57.3270499528746,99.9210837827173,84.9677504278005,100,94.291247095275,45.8165531258233
"edna0110-Rep2_S262_L001_R1_001.fastq.gz",26981,13632,27023,27023,26981,26981,13540,13626,11575,11575,10566,99.8445768419494,99.8445768419494,50.5244431266447,99.325117370892,85.4874446085672,100,91.2829373650108,39.1000259038597
"edna0110-Rep3_S418_L001_R1_001.fastq.gz",39583,23437,39587,39587,39583,39583,23291,23419,21562,21562,18605,99.9898956728219,99.9898956728219,59.2097617664149,99.3770533771387,92.5765317075265,100,86.2860588071607,46.9977517872029
"edna0111-Rep1_S107_L001_R1_001.fastq.gz",25433,14022,25443,25443,25433,25433,13968,14012,12068,12068,11286,99.9606964587509,99.9606964587509,55.133094798097,99.614890885751,86.397479954181,100,93.520053032814,44.3579766536965
"edna0111-Rep2_S263_L001_R1_001.fastq.gz",24710,13883,24760,24760,24710,24710,13880,13865,12581,12575,11702,99.7980613893376,99.7980613893376,56.1837312828814,99.9783908377152,90.6412103746398,99.9523090374374,93.0576540755467,47.2617124394184
"edna0111-Rep3_S419_L001_R1_001.fastq.gz",39,6,39,39,39,39,3,2,0,0,0,100,100,15.3846153846154,50,0,NA,NA,0
"edna0112-Rep1_S108_L001_R1_001.fastq.gz",34409,20463,34420,34420,34409,34409,20447,20368,19701,19701,17885,99.9680418361418,99.9680418361418,59.4699061292104,99.9218100962713,96.351543013645,100,90.7821937972692,51.9610691458454
"edna0112-Rep2_S264_L001_R1_001.fastq.gz",31340,19132,31359,31359,31340,31340,19097,19050,18745,18745,16372,99.9394113332696,99.9394113332696,61.0465858328015,99.8170604223291,98.156778551605,100,87.3406241664444,52.2082974584649
"edna0112-Rep3_S420_L001_R1_001.fastq.gz",40429,24400,40462,40462,40429,40429,24372,24283,23100,23100,20512,99.9184419949582,99.9184419949582,60.3527171090059,99.8852459016393,94.7808961102905,100,88.7965367965368,50.6944787702041
"edna0113-Rep1_S109_L001_R1_001.fastq.gz",36376,21781,36408,36408,36376,36376,21711,21680,20995,20995,20322,99.9121072291804,99.9121072291804,59.8773916868265,99.6786189798448,96.702132559532,100,96.7944748749702,55.8174027686223
"edna0113-Rep2_S265_L001_R1_001.fastq.gz",30506,18493,30547,30547,30506,30506,18483,18478,17665,17657,15694,99.8657806003863,99.8657806003863,60.6208614698748,99.9459254853188,95.5743115295136,99.9547127087461,88.8825961375092,51.3765672570138
"edna0113-Rep3_S421_L001_R1_001.fastq.gz",43754,26343,43755,43755,43754,43754,26302,26291,25959,25945,22543,99.9977145469089,99.9977145469089,60.2070667824656,99.8443609307976,98.69591666033,99.9460688008013,86.8876469454616,51.5209690321106
"edna0114-Rep1_S110_L001_R1_001.fastq.gz",3761,2320,3818,3818,3761,3761,2312,2305,2305,2305,2305,98.5070717653222,98.5070717653222,61.6857218824781,99.6551724137931,99.69723183391,100,100,60.3719224724987
"edna0114-Rep2_S266_L001_R1_001.fastq.gz",25524,15772,26121,26121,25524,25524,15752,15739,15607,15607,14900,97.7144826002067,97.7144826002067,61.7928224416236,99.8731930002536,99.0794819705434,100,95.4699814185942,57.0422265610046
"edna0114-Rep3_S422_L001_R1_001.fastq.gz",38049,23351,38054,38054,38049,38049,23335,23318,22215,22215,20246,99.9868607767909,99.9868607767909,61.3708638860417,99.931480450516,95.2003428326548,100,91.1366194013054,53.2033426183844
"edna0115-Rep1_S111_L001_R1_001.fastq.gz",27576,16592,27622,27622,27576,27576,16585,16551,15132,15132,14217,99.8334660777641,99.8334660777641,60.1682622570351,99.9578109932498,91.2390714501055,100,93.9532117367169,51.4698428788647
"edna0115-Rep2_S267_L001_R1_001.fastq.gz",29358,17055,29371,29371,29358,29358,17045,17011,14940,14940,14818,99.9557386537741,99.9557386537741,58.0931943592888,99.9413661682791,87.6503373423291,100,99.1834002677376,50.4511252596098
"edna0115-Rep3_S423_L001_R1_001.fastq.gz",39359,23160,39623,39623,39359,39359,23072,23124,22201,22201,20597,99.3337203139591,99.3337203139591,58.8429584084962,99.6200345423143,96.2248613037448,100,92.7751002207108,51.9824344446407
"edna0116-Rep1_S112_L001_R1_001.fastq.gz",23419,13763,23419,23419,23419,23419,13748,13713,12421,12421,11411,100,100,58.7685212861352,99.8910121339824,90.3476869362816,100,91.8686096127526,48.725393910927
"edna0116-Rep2_S268_L001_R1_001.fastq.gz",20282,10965,20284,20284,20282,20282,10954,10941,9762,9762,9762,99.990140011832,99.990140011832,54.06271570851,99.8996808025536,89.1181303633376,100,100,48.1266022480773
"edna0116-Rep3_S424_L001_R1_001.fastq.gz",33835,20582,34006,34006,33835,33835,20447,20528,19441,19441,17613,99.4971475621949,99.4971475621949,60.8305009605438,99.3440870663687,95.0799628307331,100,90.5971915024947,51.7938010939246
"edna0117-Rep1_S113_L001_R1_001.fastq.gz",24197,13891,24228,24228,24197,24197,13870,13846,12506,12506,12506,99.8720488690771,99.8720488690771,57.4079431334463,99.8488229789072,90.1658255227109,100,100,51.6179626877992
"edna0117-Rep2_S269_L001_R1_001.fastq.gz",26214,15710,26232,26232,26214,26214,15685,15675,14776,14776,13768,99.9313815187557,99.9313815187557,59.9298084992752,99.8408656906429,94.2046541281479,100,93.1781266919329,52.4855138761818
"edna0117-Rep3_S425_L001_R1_001.fastq.gz",48144,27385,48151,48151,48144,48144,27242,27313,25735,25735,23610,99.9854623995348,99.9854623995348,56.8814390162845,99.4778163228045,94.4681007268189,100,91.7427627744317,49.033249569064
"edna0118-Rep1_S114_L001_R1_001.fastq.gz",27696,17449,27772,27772,27696,27696,17432,17334,16856,16856,16856,99.7263430793605,99.7263430793605,63.0018775274408,99.9025732133647,96.6957319871501,100,100,60.6942243986749
"edna0118-Rep2_S270_L001_R1_001.fastq.gz",28660,18868,28668,28668,28660,28660,18846,18832,18272,18272,17681,99.9720943211944,99.9720943211944,65.8339148639218,99.8834004663981,96.954260851109,100,96.7655429071804,61.6750383703084
"edna0118-Rep3_S426_L001_R1_001.fastq.gz",33386,21281,33388,33388,33386,33386,21270,21248,19821,19821,18866,99.9940098238888,99.9940098238888,63.7422871862457,99.9483106996852,93.1875881523272,100,95.181877806367,56.5053312567389
"edna0119-Rep1_S115_L001_R1_001.fastq.gz",26963,17804,26984,26984,26963,26963,17798,17724,17258,17258,17202,99.9221761043581,99.9221761043581,66.0312279790824,99.9662997079308,96.9659512304753,100,99.6755128056554,63.7488882300623
