"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"55","pecoe-0719_S55_R1_001",865750,865750,865750,865750,865325,864666,860576,859602,816037,99.451188859677,99.8868199903321,94.9319568823712
"56","pecoe-0721_S56_R1_001",909706,909706,909706,909706,909257,908499,904577,903498,854936,99.4852940367795,99.8807177277335,94.6251126178475
"57","pecoe-0744_S57_R1_001",974418,974418,974418,974418,973537,972596,966283,949143,834219,99.2548819407994,98.2261925336573,87.8918139837727
"58","pecoe-0747_S58_R1_001",775821,775821,775821,775821,775564,775021,772010,771384,743115,99.5417528405135,99.9189129674486,96.3352882610995
"59","pecoe-0748_S59_R1_001",606972,606972,606972,606972,606777,606493,602815,601855,600427,99.3470418292058,99.8407471612352,99.7627335487784
"60","pecoe-0749_S60_R1_001",802192,802192,802192,802192,801825,801302,797788,794728,786902,99.4965235556387,99.6164394550933,99.0152605671374
"61","pecoe-0750_S61_R1_001",721515,721515,721515,721515,721247,720815,718021,716429,701245,99.5527191100968,99.7782794653638,97.8805994732207
"62","pecoe-0759_S62_R1_001",1062226,1062226,1062226,1062226,1061770,1060767,1056313,1047933,1008443,99.4860468839768,99.2066745368087,96.2316293121793
"63","pecoe-0760_S63_R1_001",835909,835909,835909,835909,835550,834603,830237,822619,803469,99.3641314104482,99.0824306794325,97.6720693297869
"64","pecoe-0762_S64_R1_001",1292215,1292215,1292215,1292215,1291742,1290293,1283394,1280339,1240670,99.3537409173039,99.7619593047809,96.9016799457019
"65","pecoe-0763_S65_R1_001",14764,14764,14764,14764,14689,14630,13620,13599,12400,92.7224453672816,99.8458149779736,91.183175233473
"66","pecoe-0769_S66_R1_001",1218200,1218200,1218200,1218200,1217925,1217454,1211272,1211244,1211131,99.4537430465751,99.9976883804794,99.9906707484206
"67","pecoe-0814_S67_R1_001",1149310,1149310,1149310,1149310,1148753,1147987,1142888,1137176,1109987,99.4894463822945,99.5002134942357,97.6090772228749
"68","pecoe-0824_S68_R1_001",1029633,1029633,1029633,1029633,1029306,1028357,1023358,1020013,980071,99.4221349142043,99.6731349146633,96.0841675547272
"69","pecoe-0831_S69_R1_001",682759,682759,682759,682759,682174,681397,677615,669101,625136,99.3316954325436,98.7435343078297,93.4292431187519
"70","pecoe-0857_S70_R1_001",1362218,1362218,1362218,1362218,1361798,1361227,1356047,1355824,1354220,99.5776906707162,99.9835551422628,99.8816955593056
"71","pecoe-0858_S71_R1_001",1115113,1115113,1115113,1115113,1114856,1114364,1110492,1109257,1107679,99.6085593116959,99.8887880326918,99.8577426151018
"72","pecoe-0862_S72_R1_001",1220396,1220396,1220396,1220396,1219888,1218820,1214645,1207769,1193420,99.5702064451819,99.4339086729044,98.8119416875247
"73","pecoe-0863_S73_R1_001",1068180,1068180,1068180,1068180,1067563,1066308,1057170,1041959,993536,99.0264743158015,98.5611585648477,95.352696219333
"74","pecoe-0864_S74_R1_001",1112172,1112172,1112172,1112172,1111801,1111131,1106396,1101284,1093875,99.5138518493867,99.5379592840176,99.3272398400413
"75","pecoe-0866_S75_R1_001",1172349,1172349,1172349,1172349,1171893,1170949,1166467,1166215,1134783,99.5369884451908,99.9783963026815,97.3047851382464
"76","pecoe-0868_S76_R1_001",1197431,1197431,1197431,1197431,1197047,1196522,1191958,1190671,1173317,99.5748704938068,99.8920263969032,98.5425025048901
"77","pecoe-0901_S77_R1_001",30482,30482,30482,30482,30365,30314,29807,29594,29239,98.1623579779351,99.2854027577415,98.8004325201054
"78","pecoe-0907_S78_R1_001",563046,563046,563046,563046,562856,562519,560352,558851,554746,99.5551260002558,99.7321326594712,99.2654571612111
"79","pecoe-0951_S79_R1_001",537765,537765,537765,537765,537582,537213,534821,532645,525152,99.4864039346556,99.5931348993402,98.5932469092923
"80","pecoe-0952_S80_R1_001",1091739,1091739,1091739,1091739,1091367,1090589,1083341,1079829,1028272,99.2645920208326,99.6758176788287,95.2254477329281
"81","pecoe-0953_S81_R1_001",1288180,1288180,1288180,1288180,1287884,1287524,1281508,1281495,1281495,99.5049243565414,99.9989855701252,100
"82","pecoe-0954_S82_R1_001",1225433,1225433,1225433,1225433,1224771,1223888,1211742,1202080,1124482,98.9362092995344,99.2026355445301,93.5446892053773
"83","pecoe-0960_S83_R1_001",1244263,1244263,1244263,1244263,1243964,1243617,1237650,1237170,1237084,99.4924290413549,99.9612168222034,99.9930486513575
"84","pecoe-0966_S84_R1_001",1070224,1070224,1070224,1070224,1069780,1069354,1065409,1059272,1037329,99.591411318215,99.4239770829794,97.9284829581071
"85","pecoe-0975_S86_R1_001",882023,882023,882023,882023,881784,881580,877755,877335,877335,99.543085381454,99.952150657074,100
"86","pecoe-0979_S87_R1_001",1115146,1115146,1115146,1115146,1114371,1113334,1105989,1098332,997533,99.2478268009487,99.3076784669649,90.8225381760706
"87","pecoe-0984_S88_R1_001",807362,807362,807362,807362,807042,806039,803290,800118,768606,99.5350923495927,99.6051239278467,96.0615809168148
"88","pecoe-0985_S89_R1_001",1099564,1099564,1099564,1099564,1099286,1098970,1094346,1093466,1093315,99.5506174007492,99.9195866755121,99.9861907000309
"89","pecoe-0994_S90_R1_001",811753,811753,811753,811753,811527,811141,807968,806478,803134,99.5614440431434,99.8155867559111,99.5853575671004
"90","pecoe-1002_S91_R1_001",1256105,1256105,1256105,1256105,1255332,1255004,1249011,1248811,1236193,99.4964678666679,99.9839873307761,98.9895989064798
"91","pecoe-1012_S92_R1_001",988947,988947,988947,988947,988649,988106,984693,982231,965795,99.599857988022,99.7499728341727,98.3266665377085
"92","pecoe-1023_S94_R1_001",883238,883238,883238,883238,882963,882546,878500,877197,861617,99.494542806437,99.8516789982925,98.2238881345923
"93","pecoe-1037_S95_R1_001",15626,15626,15626,15626,15581,15531,15418,15395,15142,98.9538540530133,99.8508237125438,98.3566092887301
"94","pecoe-1056_S97_R1_001",7076,7076,7076,7076,7061,7035,7002,7002,7002,99.1644243025067,100,100
"95","pecoe-1060_S98_R1_001",838349,838349,838349,838349,838015,837518,817303,809386,755110,97.5284451948951,99.0313262033787,93.2941760791514
"96","pecoe-1101_S99_R1_001",13147,13147,13147,13147,13120,13088,12824,12814,12488,97.7439024390244,99.9220212102308,97.4559076010613
"97","pecoe-1102_S100_R1_001",393519,393519,393519,393519,393411,393278,392080,390861,389839,99.6616769739534,99.6890940624362,99.7385259721487
"98","pecoe-1103_S101_R1_001",14414,14414,14414,14414,14405,14388,14344,14344,14185,99.576535925026,100,98.8915225878416
"99","pecoe-1104_S102_R1_001",16292,16292,16292,16292,16256,16230,15803,15794,14704,97.2133366141732,99.9430487882048,93.0986450550842
"100","pecoe-1113_S103_R1_001",646150,646150,646150,646150,645861,645477,642333,641813,629680,99.453752432799,99.9190451058874,98.1095739724811
