SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
123	1103	4538	4353
124	1103	4629	4468
125	1103	6794	6118
126	1103	5004	4796
127	1103	70	57
128	1103	439	344
129	1103	43	34
130	1103	5	5
131	1103	104	62
132	1103	116	71
133	1103	11	7
134	1103	31	24
0	1104	87965	61009
1	1104	4646	4419
2	1104	2625	2466
3	1104	4059	3863
4	1104	6369	6047
5	1104	4401	4183
6	1104	3759	3564
7	1104	6524	6164
8	1104	2693	2552
9	1104	6548	6189
10	1104	6147	5822
11	1104	3637	3468
12	1104	5312	5026
13	1104	4706	4471
14	1104	6330	6034
15	1104	5716	5444
16	1104	5099	4865
17	1104	7446	7102
18	1104	5460	5184
19	1104	5584	5345
20	1104	5406	5192
21	1104	5066	4850
22	1104	5272	5012
23	1104	4344	4140
24	1104	4873	4673
25	1104	4677	4458
26	1104	5167	4868
27	1104	5118	4861
28	1104	7242	6885
29	1104	5745	5365
30	1104	5993	5702
31	1104	4933	4662
32	1104	5379	5125
33	1104	5409	5159
34	1104	5365	5100
35	1104	5612	5366
36	1104	6239	5959
37	1104	5671	5429
38	1104	4562	4330
39	1104	5692	5409
40	1104	5232	4693
41	1104	5387	5135
42	1104	4131	3926
43	1104	4223	4055
44	1104	66	51
45	1104	6163	5856
46	1104	4923	4691
47	1104	5162	4884
48	1104	4621	4435
49	1104	5062	4818
50	1104	4160	3956
51	1104	5499	5272
52	1104	4741	4483
53	1104	5370	5085
54	1104	4052	3820
55	1104	5609	5304
56	1104	4844	4585
57	1104	4669	4419
58	1104	4343	4102
59	1104	12235	11656
60	1104	5284	5033
61	1104	4552	4355
62	1104	4379	4160
63	1104	5027	4778
64	1104	3872	3681
65	1104	4894	4615
66	1104	4781	4512
67	1104	4471	4263
68	1104	6011	5694
69	1104	5186	4950
70	1104	6516	6171
71	1104	5501	5234
72	1104	5204	4927
73	1104	4501	4274
74	1104	6157	5838
75	1104	5407	5140
76	1104	2119	2014
77	1104	6587	6288
78	1104	7768	7381
79	1104	6018	5750
80	1104	3791	3602
81	1104	4932	4686
82	1104	7033	6700
83	1104	5912	5622
84	1104	4813	4568
85	1104	6319	6012
86	1104	5787	5458
87	1104	5812	5505
88	1104	5090	4833
89	1104	4737	4532
90	1104	5637	5350
91	1104	4485	4300
92	1104	5354	5106
93	1104	5338	5093
94	1104	5243	4983
95	1104	6287	6006
96	1104	4827	4595
97	1104	8455	8074
98	1104	6113	5807
99	1104	6671	6349
100	1104	6248	5942
101	1104	5239	4962
102	1104	4863	4602
103	1104	5247	5030
104	1104	4296	4071
105	1104	4655	4482
106	1104	6500	6158
107	1104	6289	5948
108	1104	9433	9002
109	1104	151	100
110	1104	9666	9169
111	1104	6598	6330
112	1104	4755	4514
113	1104	6359	6053
114	1104	6708	6329
115	1104	5760	5488
116	1104	4989	4771
117	1104	7163	6857
118	1104	5738	5383
119	1104	3434	3285
120	1104	3868	3675
121	1104	5040	4826
122	1104	3675	3492
123	1104	4426	4231
124	1104	4498	4314
125	1104	6789	6091
126	1104	5234	5010
127	1104	75	64
128	1104	429	333
129	1104	34	31
130	1104	14	8
131	1104	94	60
132	1104	117	61
133	1104	8	7
134	1104	28	26
0	1105	88568	61476
1	1105	4543	4306
2	1105	2693	2524
3	1105	4219	4034
4	1105	6412	6096
5	1105	4285	4088
6	1105	3702	3501
7	1105	6222	5909
8	1105	2881	2737
9	1105	6568	6283
10	1105	5997	5725
11	1105	3504	3352
12	1105	5281	5025
13	1105	4703	4489
14	1105	6257	5968
15	1105	5803	5539
16	1105	5049	4818
17	1105	7565	7228
18	1105	5336	5092
19	1105	5622	5404
20	1105	5620	5372
21	1105	5132	4884
22	1105	5096	4858
23	1105	4430	4226
24	1105	4821	4621
25	1105	4836	4582
26	1105	5098	4855
27	1105	5474	5212
28	1105	7232	6877
29	1105	5859	5541
30	1105	6306	5990
31	1105	5134	4874
32	1105	5468	5195
33	1105	5332	5108
34	1105	5156	4949
35	1105	5731	5500
36	1105	6481	6172
37	1105	5894	5645
38	1105	4558	4342
39	1105	5583	5292
40	1105	5399	4785
41	1105	5445	5181
42	1105	3940	3764
43	1105	4268	4092
44	1105	61	49
45	1105	6322	6027
46	1105	5144	4902
47	1105	4980	4744
48	1105	4623	4425
49	1105	4867	4647
