SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
39	1107	4630	4536
40	1107	3959	3838
41	1107	3407	3315
42	1107	3898	3820
43	1107	4211	4149
44	1107	4339	4222
45	1107	4826	4726
46	1107	4354	4243
47	1107	4138	4046
48	1107	3578	3462
49	1107	4307	4199
50	1107	5077	4884
51	1107	4536	4435
52	1107	5464	5323
53	1107	4253	4177
54	1107	4927	4793
55	1107	4535	4438
56	1107	3986	3861
57	1107	3257	3173
58	1107	3482	3384
59	1107	3377	3305
60	1107	2995	2913
61	1107	3979	3894
62	1107	3706	3619
63	1107	3426	3347
64	1107	3592	3490
65	1107	3702	3590
66	1107	4905	4811
67	1107	2156	1979
68	1107	4657	4545
69	1107	4955	4852
70	1107	3749	3604
71	1107	4198	4110
72	1107	3823	3681
73	1107	3474	3362
74	1107	3915	3836
75	1107	4291	4188
76	1107	4026	3950
77	1107	4201	4112
78	1107	3976	3890
79	1107	3631	3557
80	1107	2743	2660
81	1107	3718	3577
82	1107	3637	3539
83	1107	3919	3821
84	1107	2845	2723
85	1107	4698	4607
86	1107	4816	4715
87	1107	4795	4689
88	1107	4025	3870
89	1107	3820	3722
90	1107	3869	3788
91	1107	4327	4239
92	1107	3161	3073
93	1107	3326	3240
94	1107	2864	2775
95	1107	3894	3802
96	1107	914	869
0	1108	127976	110070
1	1108	4637	4519
2	1108	5091	4966
3	1108	5214	5120
4	1108	4156	4062
5	1108	4391	4303
6	1108	3037	2936
7	1108	3967	3866
8	1108	1939	1756
9	1108	4869	4752
10	1108	5015	4920
11	1108	4481	4395
12	1108	4074	3971
13	1108	4088	3988
14	1108	4221	4142
15	1108	4344	4246
16	1108	3880	3775
17	1108	4801	4714
18	1108	6465	6341
19	1108	3998	3918
20	1108	6250	6131
21	1108	5755	5639
22	1108	5594	5465
23	1108	4148	4074
24	1108	3378	3298
25	1108	4997	4873
26	1108	4671	4569
27	1108	4249	4151
28	1108	5178	5041
29	1108	4069	3935
30	1108	6254	6116
31	1108	5308	5189
32	1108	4849	4740
33	1108	5289	5165
34	1108	6464	6318
35	1108	4792	4665
36	1108	5176	5050
37	1108	6199	6085
38	1108	5072	4964
39	1108	4617	4522
40	1108	3974	3858
41	1108	3552	3456
42	1108	4058	3970
43	1108	4209	4133
44	1108	4319	4219
45	1108	4732	4633
46	1108	4215	4099
47	1108	4229	4127
48	1108	3604	3494
49	1108	4338	4228
50	1108	5164	4972
51	1108	4473	4386
52	1108	5281	5157
53	1108	4368	4267
54	1108	4970	4859
55	1108	4553	4462
56	1108	3816	3702
57	1108	3166	3084
58	1108	3587	3494
59	1108	3455	3378
60	1108	3095	2981
61	1108	3661	3589
62	1108	3753	3672
63	1108	3542	3478
64	1108	3716	3630
65	1108	3754	3637
66	1108	4879	4770
67	1108	2110	1917
68	1108	4786	4669
69	1108	4853	4753
70	1108	3787	3659
71	1108	4274	4199
72	1108	3916	3785
73	1108	3410	3299
74	1108	3987	3907
75	1108	4271	4211
76	1108	4000	3912
77	1108	4079	4004
78	1108	3976	3885
79	1108	3602	3526
80	1108	2674	2600
81	1108	3817	3711
82	1108	3820	3708
83	1108	3843	3766
84	1108	2871	2736
85	1108	4488	4399
86	1108	4748	4653
87	1108	4923	4820
88	1108	4049	3911
89	1108	3920	3833
90	1108	3898	3808
91	1108	4073	3981
92	1108	3246	3172
93	1108	3246	3177
94	1108	2763	2702
95	1108	3881	3796
96	1108	957	908
0	1109	130332	112178
1	1109	4651	4552
2	1109	5186	5066
3	1109	5264	5162
4	1109	4094	3991
5	1109	4553	4477
6	1109	3071	2999
7	1109	4039	3955
8	1109	1836	1674
9	1109	4818	4698
10	1109	5032	4938
11	1109	4542	4450
12	1109	4195	4112
13	1109	4108	4040
14	1109	4209	4128
15	1109	4320	4220
16	1109	3964	3867
17	1109	4574	4492
18	1109	6527	6411
19	1109	4127	4053
20	1109	6327	6193
21	1109	5721	5617
22	1109	5852	5715
23	1109	4342	4254
24	1109	3267	3196
25	1109	4956	4855
26	1109	4873	4768
27	1109	4363	4280
28	1109	5317	5192
29	1109	3753	3632
30	1109	6295	6154
31	1109	5521	5401
32	1109	4854	4733
33	1109	5394	5296
34	1109	6489	6349
35	1109	4962	4868
36	1109	5271	5171
37	1109	6118	5999
38	1109	4996	4895
39	1109	4474	4390
40	1109	3889	3768
41	1109	3459	3361
42	1109	4161	4074
43	1109	4303	4228
44	1109	4612	4515
45	1109	4823	4727
46	1109	4182	4078
47	1109	4237	4144
48	1109	3571	3477
49	1109	4236	4131
50	1109	5168	4975
51	1109	4631	4538
52	1109	5596	5474
53	1109	4678	4592
54	1109	4903	4813
55	1109	4648	4541
56	1109	3760	3657
57	1109	3399	3329
58	1109	3522	3433
59	1109	3456	3381
60	1109	3126	3043
61	1109	3889	3817
62	1109	3658	3585
63	1109	3585	3508
64	1109	3726	3595
65	1109	3825	3718
66	1109	4850	4746
67	1109	2288	2082
68	1109	4918	4789
69	1109	5017	4898
70	1109	3783	3662
71	1109	4392	4289
72	1109	4028	3906
73	1109	3551	3447
74	1109	4131	4047
75	1109	4381	4299
76	1109	4067	3978
77	1109	4086	4003
78	1109	4023	3935
79	1109	3687	3606
80	1109	2686	2606
81	1109	3630	3532
82	1109	3737	3659
83	1109	3899	3821
84	1109	2934	2804
85	1109	4729	4641
86	1109	4882	4791
87	1109	4834	4730
88	1109	4018	3883
89	1109	3663	3582
90	1109	3826	3724
91	1109	4187	4092
92	1109	3181	3111
93	1109	3399	3335
94	1109	2797	2737
95	1109	4101	4005
