SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
1	1106	11975	11838
2	1106	353	332
3	1106	890	848
4	1106	2193	2161
5	1106	2577	2549
6	1106	1961	1939
7	1106	17	17
8	1106	7589	7514
9	1106	6500	6448
10	1106	4170	4110
11	1106	3061	3016
12	1106	605	594
13	1106	4444	4402
14	1106	3381	3361
15	1106	4135	4096
16	1106	6889	6805
17	1106	21	19
18	1106	4529	4467
19	1106	3970	3942
20	1106	4261	4211
21	1106	4334	4299
22	1106	16	16
23	1106	3203	3169
24	1106	4970	4918
25	1106	422	417
26	1106	13	13
27	1106	3	3
28	1106	4	4
29	1106	36	36
30	1106	3504	3464
31	1106	1	1
32	1106	8558	8477
33	1106	2249	2231
34	1106	3001	2968
35	1106	74	72
36	1106	5100	5060
37	1106	3	3
38	1106	23	23
39	1106	4027	3986
40	1106	8290	8198
41	1106	915	907
42	1106	8313	8218
43	1106	1579	1562
44	1106	9	9
46	1106	4264	4220
47	1106	6	6
48	1106	53	51
49	1106	2379	2353
50	1106	6647	6583
51	1106	6	6
52	1106	2888	2854
53	1106	4	4
54	1106	3202	3164
55	1106	2639	2612
56	1106	36	33
57	1106	2070	2047
58	1106	19	15
59	1106	1149	1136
60	1106	3564	3531
61	1106	3331	3289
62	1106	1844	1823
63	1106	2239	2223
64	1106	31	28
65	1106	2154	2132
66	1106	3205	3156
67	1106	2722	2677
68	1106	3104	3070
69	1106	8	8
70	1106	4775	4722
71	1106	4026	3994
72	1106	3668	3630
73	1106	21	21
74	1106	7	7
75	1106	9025	8948
76	1106	3	3
77	1106	4	3
78	1106	6464	6398
79	1106	10	10
80	1106	662	648
81	1106	9454	9361
82	1106	6923	6848
83	1106	7030	6963
84	1106	31	28
85	1106	11602	11505
86	1106	8361	8285
87	1106	2	2
88	1106	2848	2813
89	1106	9	8
90	1106	1	1
92	1106	2	2
93	1106	2	2
94	1106	1	1
95	1106	7	7
96	1106	2389	2362
97	1106	122	117
98	1106	5	5
100	1106	2470	2448
101	1106	3	3
102	1106	2627	2609
103	1106	1176	1164
104	1106	1482	1469
105	1106	2458	2439
