Species,common_name,Mean_prevalence,Northern_offset,Southern_offset,Extends_past_domain
Oxylebius pictus,Painted greenling,0.25,7.3689,-17.3771,Both
Paraclinus integripinnis,Reef finspot,0.35,3.1923,-2.1022,South
Paralabrax clathratus,Kelp bass,0.4583,12.0803,-1.2142,South
Paralabrax maculatofasciatus,Spotted sand bass,0.8325,-21.5776,-1.2005,South
Paralabrax nebulifer,Barred sand bass,0.4902,3.1979,-1.2005,South
Paralichthys californicus,California flounder,0.5947,-2.2247,-1.2142,South
Peprilus simillimus,Pacific pompano,0.25,17.7287,-3.8722,South
Phanerodon vacca,Pile perch,0.25,-0.2544,-17.6213,South
Pholis laeta,Crescent gunnel,0.6803,-1.7186,5.2373,No
Pholis ornata,Saddleback gunnel,0.7167,-9.4555,-5.4908,No
Phytichthys chirus,Ribbon prickleback,0.25,2.0413,-18.6575,No
Pleuronichthys coenosus,C-O sole,0.4678,5.9903,-3.8604,Both
Pleuronichthys decurrens,Curlfin sole,0.25,7.4265,-21.0735,Both
Pleuronichthys guttulatus,Diamond turbot,0.45,6.672,-1.4708,South
Pleuronichthys ritteri,Spotted turbot,0.75,1.7621,-2.1022,South
Psychrolutes paradoxus,Tadpole sculpin,0.25,11.0486,-3.1087,North
Quietula y-cauda,American shadow goby,0.7256,-20.3759,-1.2005,South
Rhinogobiops nicholsii,Blackeye goby,0.4874,6.9274,-3.8722,South
Rimicola muscarum,Kelp clingfish,0.6131,6.4196,-17.3883,South
Roncador stearnsii,Spotfin croaker,0.3056,-19.5697,-2.1022,South
Ronquilus jordani,Northern ronquil,0.2708,-0.0186,-15.6072,No
Salmo salar,Atlantic salmon,0.3333,1.6189,14.8529,North
Sardinops sagax,South American pilchard,0.5516,9.1604,-1.2005,South
Scomber japonicus,Chub mackerel,0.25,26.3978,-1.2142,Both
Scorpaenichthys marmoratus,Cabezon,0.5924,4.7039,-3.8604,South
Sebastes entomelas,Widow rockfish,0.25,3.7957,-1.2142,South
Sebastes nebulosus,China rockfish,0.25,5.8382,-18.3642,No
Sebastes paucispinis,Bocaccio rockfish,0.25,14.294,-3.8722,South
Seriola lalandi,Yellowtail amberjack,0.7,20.6029,-1.2142,South
Seriphus politus,Queenfish,0.25,15.5381,-2.2562,South
Sphyraena argentea,Pacific barracuda,0.625,23.6906,-2.2136,South
Spirinchus starksi,Night smelt,0.25,12.5172,-10.0428,No
Strongylura exilis,Californian needlefish,0.4167,4.1402,-1.2142,South
Synchirus gilli,Manacled sculpin,0.5357,1.4466,-14.8529,No
Syngnathus auliscus,Barred pipefish,0.25,0.7627,-1.2142,South
Syngnathus californiensis,Bay pipefish,0.5952,4.2598,-1.2142,Both
Thaleichthys pacificus,Eulachon,0.1875,7.6306,-10.6238,No
Thunnus alalunga,Albacore,0.5741,4.2598,-1.2142,Both
Trachurus symmetricus,Pacific jack mackerel,0.25,5.3238,-1.2142,South
Tridentiger trigonocephalus,Chameleon goby invasive,0.4167,-0.1846,-1.1419,No
Typhlogobius californiensis,Blind goby,0.375,0.2696,-1.2142,South
Umbrina roncador,Yellowfin drum,0.5292,0.672,-1.2005,South
