accepted_name,verbatim_name,taxonomic_status,species,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,taxon_id,ncbi_id
Leuroglossus schmidti,Leuroglossus schmidti,accepted,Leuroglossus schmidti,species,Teleostei,Argentiniformes,Bathylagidae,Leuroglossus,TRUE,FALSE,FALSE,254551,557346
Bothrocara brunneum,Bothrocara brunneum,accepted,Bothrocara brunneum,species,Teleostei,Perciformes,Zoarcidae,Bothrocara,TRUE,FALSE,FALSE,279397,557338
Arctoraja parmifera,Arctoraja parmifera,accepted,Arctoraja parmifera,species,Elasmobranchii,Rajiformes,Rajidae,Arctoraja,TRUE,NA,NA,1577324,NA
Lycodapus mandibularis,Lycodapus mandibularis,accepted,Lycodapus mandibularis,species,Teleostei,Perciformes,Zoarcidae,Lycodapus,TRUE,FALSE,FALSE,279391,557350
Trichodon trichodon,Trichodon trichodon,accepted,Trichodon trichodon,species,Teleostei,Perciformes,Trichodontidae,Trichodon,TRUE,FALSE,FALSE,283043,209541
Leptoclinus maculatus,Leptoclinus maculatus,accepted,Leptoclinus maculatus,species,Teleostei,Perciformes,Lumpenidae,Leptoclinus,TRUE,FALSE,FALSE,127072,980417
Pholis laeta,Pholis laeta,accepted,Pholis laeta,species,Teleostei,Perciformes,Pholidae,Pholis,TRUE,FALSE,FALSE,273689,283367
Careproctus melanurus,Careproctus melanurus,accepted,Careproctus melanurus,species,Teleostei,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,254549,274785
Gasterosteus aculeatus,Gasterosteus aculeatus,accepted,Gasterosteus aculeatus,species,Teleostei,Perciformes,Gasterosteidae,Gasterosteus,TRUE,TRUE,TRUE,126505,69293
Oligocottus maculosus,Oligocottus maculosus,accepted,Oligocottus maculosus,species,Teleostei,Perciformes,Cottidae,Oligocottus,TRUE,TRUE,FALSE,281872,328410
Triglops macellus,Triglops macellus,accepted,Triglops macellus,species,Teleostei,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,274399,433386
Tactostoma macropus,Tactostoma macropus,accepted,Tactostoma macropus,species,Teleostei,Stomiiformes,Stomiidae,Tactostoma,TRUE,FALSE,FALSE,282922,319451
Agonopsis vulsa,Agonopsis vulsa,accepted,Agonopsis vulsa,species,Teleostei,Perciformes,Agonidae,Agonopsis,TRUE,FALSE,FALSE,279522,428027
Spirinchus thaleichthys,Spirinchus thaleichthys,accepted,Spirinchus thaleichthys,species,Teleostei,Osmeriformes,Osmeridae,Spirinchus,TRUE,TRUE,TRUE,282844,260508
Squalus acanthias,Squalus acanthias,accepted,Squalus acanthias,species,Elasmobranchii,Squaliformes,Squalidae,Squalus,TRUE,TRUE,FALSE,105923,7797
Lampanyctus regalis,Lampanyctus regalis,accepted,Lampanyctus regalis,species,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,TRUE,FALSE,FALSE,301545,91654
Hemilepidotus spinosus,Hemilepidotus spinosus,accepted,Hemilepidotus spinosus,species,Teleostei,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,279413,271501
Lepidopsetta polyxystra,Lepidopsetta polyxystra,accepted,Lepidopsetta polyxystra,species,Teleostei,Pleuronectiformes,Pleuronectidae,Lepidopsetta,TRUE,FALSE,FALSE,281307,433389
Triglops pingelii,Triglops pingelii,accepted,Triglops pingelii,species,Teleostei,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,127207,433391
Aulorhynchus flavidus,Aulorhynchus flavidus,accepted,Aulorhynchus flavidus,species,Teleostei,Perciformes,Aulorhynchidae,Aulorhynchus,TRUE,FALSE,FALSE,279839,240152
Poromitra crassiceps,Poromitra crassiceps,accepted,Poromitra crassiceps,species,Teleostei,Beryciformes,Melamphaidae,Poromitra,TRUE,FALSE,FALSE,127273,88708
Pleuronichthys coenosus,Pleuronichthys coenosus,accepted,Pleuronichthys coenosus,species,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronichthys,TRUE,FALSE,FALSE,282290,269452
Protomyctophum thompsoni,Protomyctophum thompsoni,accepted,Protomyctophum thompsoni,species,Teleostei,Myctophiformes,Myctophidae,Protomyctophum,TRUE,FALSE,FALSE,272732,123331
Anoplarchus purpurescens,Anoplarchus purpurescens,accepted,Anoplarchus purpurescens,species,Teleostei,Perciformes,Stichaeidae,Anoplarchus,TRUE,FALSE,FALSE,279633,320623
Psychrolutes sigalutes,Psychrolutes sigalutes,accepted,Psychrolutes sigalutes,species,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,TRUE,FALSE,FALSE,274679,557364
Sebastes goodei,Sebastes goodei,accepted,Sebastes goodei,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,TRUE,FALSE,274798,72078
Bryozoichthys marjorius,Bryozoichthys marjorius,accepted,Bryozoichthys marjorius,species,Teleostei,Perciformes,Stichaeidae,Bryozoichthys,TRUE,FALSE,FALSE,254575,1311538
Nectoliparis pelagicus,Nectoliparis pelagicus,accepted,Nectoliparis pelagicus,species,Teleostei,Perciformes,Liparidae,Nectoliparis,TRUE,FALSE,FALSE,281641,446815
Icosteus aenigmaticus,Icosteus aenigmaticus,accepted,Icosteus aenigmaticus,species,Teleostei,Scombriformes,Icosteidae,Icosteus,TRUE,FALSE,FALSE,281153,215386
Eptatretus deani,Eptatretus deani,accepted,Eptatretus deani,species,Myxini,Myxiniformes,Myxinidae,Eptatretus,TRUE,FALSE,FALSE,279277,418109
Elassodiscus caudatus,Elassodiscus caudatus,accepted,Elassodiscus caudatus,species,Teleostei,Perciformes,Liparidae,Elassodiscus,TRUE,FALSE,FALSE,280629,446812
Icelinus borealis,Icelinus borealis,accepted,Icelinus borealis,species,Teleostei,Perciformes,Cottidae,Icelinus,TRUE,FALSE,FALSE,281133,433388
Stenobrachius nannochir,Stenobrachius nannochir,accepted,Stenobrachius nannochir,species,Teleostei,Myctophiformes,Myctophidae,Stenobrachius,TRUE,FALSE,FALSE,254364,123240
Coregonus clupeaformis,Coregonus clupeaformis,accepted,Coregonus clupeaformis,species,Teleostei,Salmoniformes,Salmonidae,Coregonus,FALSE,TRUE,TRUE,158726,59861
Hexagrammos stelleri,Hexagrammos stelleri,accepted,Hexagrammos stelleri,species,Teleostei,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,254545,192378
Nautichthys oculofasciatus,Nautichthys oculofasciatus,accepted,Nautichthys oculofasciatus,species,Teleostei,Perciformes,Hemitripteridae,Nautichthys,TRUE,FALSE,FALSE,254542,428032
Gobiesox maeandricus,Gobiesox maeandricus,accepted,Gobiesox maeandricus,species,Teleostei,Gobiesociformes,Gobiesocidae,Gobiesox,TRUE,FALSE,FALSE,275671,63828
Sebastes melanostictus,Sebastes melanostictus,accepted,Sebastes melanostictus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,1015496,394695
Alosa sapidissima,Alosa sapidissima,accepted,Alosa sapidissima,species,Teleostei,Clupeiformes,Alosidae,Alosa,TRUE,TRUE,TRUE,158670,34773
Nansenia candida,Nansenia candida,accepted,Nansenia candida,species,Teleostei,Argentiniformes,Microstomatidae,Nansenia,TRUE,FALSE,FALSE,272926,557352
Apodichthys flavidus,Apodichthys flavidus,accepted,Apodichthys flavidus,species,Teleostei,Perciformes,Pholidae,Apodichthys,TRUE,FALSE,FALSE,279664,57779
Bathylagus pacificus,Bathylagus pacificus,accepted,Bathylagus pacificus,species,Teleostei,Argentiniformes,Bathylagidae,Bathylagus,TRUE,FALSE,FALSE,272919,557336
Scomber japonicus,Scomber japonicus,accepted,Scomber japonicus,species,Teleostei,Scombriformes,Scombridae,Scomber,TRUE,FALSE,FALSE,127022,13676
Syngnathus californiensis,Syngnathus californiensis,accepted,Syngnathus californiensis,species,Teleostei,Syngnathiformes,Syngnathidae,Syngnathus,TRUE,FALSE,FALSE,275218,320413
Blepsias cirrhosus,Blepsias cirrhosus,accepted,Blepsias cirrhosus,species,Teleostei,Perciformes,Hemitripteridae,Blepsias,TRUE,FALSE,FALSE,279417,573213
Pseudobathylagus milleri,Pseudobathylagus milleri,accepted,Pseudobathylagus milleri,species,Teleostei,Argentiniformes,Bathylagidae,Pseudobathylagus,TRUE,FALSE,FALSE,282406,301820
Bathyagonus infraspinatus,Bathyagonus infraspinatus,accepted,Bathyagonus infraspinatus,species,Teleostei,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254504,557335
Bathymaster signatus,Bathymaster signatus,accepted,Bathymaster signatus,species,Teleostei,Perciformes,Bathymasteridae,Bathymaster,TRUE,FALSE,FALSE,254513,274808
Benthalbella dentata,Benthalbella dentata,accepted,Benthalbella dentata,species,Teleostei,Aulopiformes,Scopelarchidae,Benthalbella,TRUE,FALSE,FALSE,254572,433385
Malacocottus aleuticus,Malacocottus aleuticus,accepted,Malacocottus aleuticus,species,Teleostei,Perciformes,Psychrolutidae,Malacocottus,TRUE,FALSE,FALSE,279440,NA
Artedius fenestralis,Artedius fenestralis,accepted,Artedius fenestralis,species,Teleostei,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279700,274758
Liparis pulchellus,Liparis pulchellus,accepted,Liparis pulchellus,species,Teleostei,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274533,433402
Artedius lateralis,Artedius lateralis,accepted,Artedius lateralis,species,Teleostei,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279702,322683
Coregonus sardinella,Coregonus sardinella,accepted,Coregonus sardinella,species,Teleostei,Salmoniformes,Salmonidae,Coregonus,TRUE,TRUE,TRUE,127181,241494
Eumicrotremus orbis,Eumicrotremus orbis,accepted,Eumicrotremus orbis,species,Teleostei,Perciformes,Cyclopteridae,Eumicrotremus,TRUE,FALSE,FALSE,254535,433392
Cottus asper,Cottus asper,accepted,Cottus asper,species,Teleostei,Perciformes,Cottidae,Cottus,TRUE,TRUE,TRUE,274368,214916
Lycodapus fierasfer,Lycodapus fierasfer,accepted,Lycodapus fierasfer,species,Teleostei,Perciformes,Zoarcidae,Lycodapus,TRUE,FALSE,FALSE,279389,433411
Xiphister atropurpureus,Xiphister atropurpureus,accepted,Xiphister atropurpureus,species,Teleostei,Perciformes,Stichaeidae,Xiphister,TRUE,FALSE,FALSE,283194,283024
Prosopium cylindraceum,Prosopium cylindraceum,accepted,Prosopium cylindraceum,species,Teleostei,Salmoniformes,Salmonidae,Prosopium,FALSE,TRUE,TRUE,282373,348696
Coryphaenoides filifer,Coryphaenoides filifer,accepted,Coryphaenoides filifer,species,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272331,216980
Sagamichthys abei,Sagamichthys abei,accepted,Sagamichthys abei,species,Teleostei,Alepocephaliformes,Platytroctidae,Sagamichthys,TRUE,FALSE,FALSE,234630,319782
Xeneretmus triacanthus,Xeneretmus triacanthus,accepted,Xeneretmus triacanthus,species,Teleostei,Perciformes,Agonidae,Xeneretmus,TRUE,FALSE,FALSE,283174,NA
Odontopyxis trispinosa,Odontopyxis trispinosa,accepted,Odontopyxis trispinosa,species,Teleostei,Perciformes,Agonidae,Odontopyxis,TRUE,FALSE,FALSE,281836,320620
Liparis callyodon,Liparis callyodon,accepted,Liparis callyodon,species,Teleostei,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274505,980332
