"","accession","found_taxa","rank","common_name","taxa_verbatim","ncbi_sp","worms_match","worms_aphiaid","status","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid","ncbi_taxonomy_2"
"40","PP492947","Abudefduf bengalensis","species",NA,"Abudefduf bengalensis","Abudefduf bengalensis","Abudefduf bengalensis",212885,"accepted","(Bloch, 1787)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"41","PP492948","Abudefduf bengalensis","species",NA,"Abudefduf bengalensis","Abudefduf bengalensis","Abudefduf bengalensis",212885,"accepted","(Bloch, 1787)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"42","PP492946","Abudefduf bengalensis","species",NA,"Abudefduf bengalensis","Abudefduf bengalensis","Abudefduf bengalensis",212885,"accepted","(Bloch, 1787)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"43","MW630421","Abudefduf bengalensis","species",NA,"Abudefduf bengalensis","Abudefduf bengalensis","Abudefduf bengalensis",212885,"accepted","(Bloch, 1787)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"44","LC814858","Abudefduf vaigiensis","species",NA,"Abudefduf caudobimaculatus","Abudefduf caudobimaculatus","Abudefduf caudobimaculatus",212879,"unaccepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"45","MZ567018","Abudefduf hoefleri","species",NA,"Abudefduf hoefleri","Abudefduf hoefleri","Abudefduf hoefleri",273699,"accepted","(Steindachner, 1881)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"46","MW630232","Abudefduf natalensis","species",NA,"Abudefduf natalensis","Abudefduf natalensis","Abudefduf natalensis",212871,"accepted","Hensley & Randall, 1983","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"47","MW630422","Abudefduf natalensis","species",NA,"Abudefduf natalensis","Abudefduf natalensis","Abudefduf natalensis",212871,"accepted","Hensley & Randall, 1983","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"48","LC814859","Abudefduf notatus","species",NA,"Abudefduf notatus","Abudefduf notatus","Abudefduf notatus",212870,"accepted","(Day, 1870)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"49","MZ567025","Abudefduf saxatilis","species",NA,"Abudefduf saxatilis","Abudefduf saxatilis","Abudefduf saxatilis",159288,"accepted","(Linnaeus, 1758)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"50","MZ567019","Abudefduf saxatilis","species",NA,"Abudefduf saxatilis","Abudefduf saxatilis","Abudefduf saxatilis",159288,"accepted","(Linnaeus, 1758)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"51","MZ618237","Abudefduf saxatilis","species",NA,"Abudefduf saxatilis","Abudefduf saxatilis","Abudefduf saxatilis",159288,"accepted","(Linnaeus, 1758)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"52","LC589608","Abudefduf septemfasciatus","species",NA,"Abudefduf septemfasciatus","Abudefduf septemfasciatus","Abudefduf septemfasciatus",212878,"accepted","(Cuvier, 1830)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"53","MW630423","Abudefduf septemfasciatus","species",NA,"Abudefduf septemfasciatus","Abudefduf septemfasciatus","Abudefduf septemfasciatus",212878,"accepted","(Cuvier, 1830)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"54","LC814864","Abudefduf sexfasciatus","species",NA,"Abudefduf sexfasciatus","Abudefduf sexfasciatus","Abudefduf sexfasciatus",159289,"accepted","(Lacepède, 1801)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"55","LC814862","Abudefduf sexfasciatus","species",NA,"Abudefduf sexfasciatus","Abudefduf sexfasciatus","Abudefduf sexfasciatus",159289,"accepted","(Lacepède, 1801)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"56","AF081216","Abudefduf sexfasciatus","species",NA,"Abudefduf sexfasciatus","Abudefduf sexfasciatus","Abudefduf sexfasciatus",159289,"accepted","(Lacepède, 1801)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"57","LC557080","Abudefduf sexfasciatus","species",NA,"Abudefduf sexfasciatus","Abudefduf sexfasciatus","Abudefduf sexfasciatus",159289,"accepted","(Lacepède, 1801)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"58","OP035089","Abudefduf sordidus","species",NA,"Abudefduf sordidus","Abudefduf sordidus","Abudefduf sordidus",212888,"accepted","(Forsskål, 1775)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"59","LC589571","Abudefduf sordidus","species",NA,"Abudefduf sordidus","Abudefduf sordidus","Abudefduf sordidus",212888,"accepted","(Forsskål, 1775)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"60","LC604990","Abudefduf sordidus","species",NA,"Abudefduf sordidus","Abudefduf sordidus","Abudefduf sordidus",212888,"accepted","(Forsskål, 1775)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"61","AF436879","Abudefduf sordidus","species",NA,"Abudefduf sordidus","Abudefduf sordidus","Abudefduf sordidus",212888,"accepted","(Forsskål, 1775)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
