"","accepted_name","verbatim_name","taxonomic_status","species","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","ncbi_id","fishbase_name"
"21","Sebastes brevispinis","Sebastes brevispinis","accepted","Sebastes brevispinis","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274778,72060,"Sebastes brevispinis"
"22","Oncorhynchus keta","Oncorhynchus keta","accepted","Oncorhynchus keta","species","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,127183,8018,"Oncorhynchus keta"
"23","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","accepted","Oncorhynchus gorbuscha","species","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,127182,8017,"Oncorhynchus gorbuscha"
"24","Sebastes babcocki","Sebastes babcocki","accepted","Sebastes babcocki","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274775,72059,"Sebastes babcocki"
"25","Merluccius productus","Merluccius productus","accepted","Merluccius productus","species","Teleostei","Gadiformes","Merlucciidae","Merluccius",TRUE,TRUE,FALSE,272458,89952,"Merluccius productus"
"26","Sebastes zacentrus","Sebastes zacentrus","accepted","Sebastes zacentrus","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274869,72108,"Sebastes zacentrus"
"27","Sebastes proriger","Sebastes proriger","accepted","Sebastes proriger","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274838,394703,"Sebastes proriger"
"28","Lyopsetta exilis","Lyopsetta exilis","accepted","Lyopsetta exilis","species","Teleostei","Pleuronectiformes","Pleuronectidae","Lyopsetta",TRUE,FALSE,FALSE,281452,195626,"Lyopsetta exilis"
"29","Hippoglossus stenolepis","Hippoglossus stenolepis","accepted","Hippoglossus stenolepis","species","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossus",TRUE,FALSE,FALSE,274290,195615,"Hippoglossus stenolepis"
"30","Eopsetta jordani","Eopsetta jordani","accepted","Eopsetta jordani","species","Teleostei","Pleuronectiformes","Pleuronectidae","Eopsetta",TRUE,FALSE,FALSE,280690,195609,"Eopsetta jordani"
"31","Sebastes helvomaculatus","Sebastes helvomaculatus","accepted","Sebastes helvomaculatus","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274799,72079,"Sebastes helvomaculatus"
"32","Microgadus proximus","Microgadus proximus","accepted","Microgadus proximus","species","Teleostei","Gadiformes","Gadidae","Microgadus",TRUE,TRUE,FALSE,275873,80721,"Microgadus proximus"
"33","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","accepted","Oncorhynchus tshawytscha","species","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,158075,74940,"Oncorhynchus tshawytscha"
"34","Sebastes flavidus","Sebastes flavidus","accepted","Sebastes flavidus","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274795,72076,"Sebastes flavidus"
"35","Ophiodon elongatus","Ophiodon elongatus","accepted","Ophiodon elongatus","species","Teleostei","Perciformes","Hexagrammidae","Ophiodon",TRUE,FALSE,FALSE,240745,225387,"Ophiodon elongatus"
"36","Sebastes reedi","Sebastes reedi","accepted","Sebastes reedi","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274840,394704,"Sebastes reedi"
"37","Psettichthys melanostictus","Psettichthys melanostictus","accepted","Psettichthys melanostictus","species","Teleostei","Pleuronectiformes","Pleuronectidae","Psettichthys",TRUE,FALSE,FALSE,282396,195639,"Psettichthys melanostictus"
"38","Sebastes pinniger","Sebastes pinniger","accepted","Sebastes pinniger","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274836,72094,"Sebastes pinniger"
"39","Sebastes elongatus","Sebastes elongatus","accepted","Sebastes elongatus","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274788,72070,"Sebastes elongatus"
"40","Isopsetta isolepis","Isopsetta isolepis","accepted","Isopsetta isolepis","species","Teleostei","Pleuronectiformes","Pleuronectidae","Isopsetta",TRUE,FALSE,FALSE,281189,195617,"Isopsetta isolepis"
"41","Oncorhynchus mykiss","Oncorhynchus mykiss","accepted","Oncorhynchus mykiss","species","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,127185,8022,"Oncorhynchus mykiss"
"42","Sebastes diploproa","Sebastes diploproa","accepted","Sebastes diploproa","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274787,72069,"Sebastes diploproa"
"43","Lycodes pacificus","Lycodes pacificus","accepted","Lycodes pacificus","species","Teleostei","Perciformes","Zoarcidae","Lycodes",TRUE,FALSE,FALSE,274116,1772091,"Lycodes pacificus"
"44","Ammodytes personatus","Ammodytes personatus","accepted","Ammodytes personatus","species","Teleostei","Perciformes","Ammodytidae","Ammodytes",TRUE,FALSE,FALSE,272967,215382,"Ammodytes personatus"
"45","Beringraja rhina","Beringraja rhina","accepted","Beringraja rhina","species","Elasmobranchii","Rajiformes","Rajidae","Beringraja",TRUE,FALSE,FALSE,1461133,2838338,"Caliraja rhina"
"46","Sebastes caurinus","Sebastes caurinus","accepted","Sebastes caurinus","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274780,72063,"Sebastes caurinus"
"47","Beringraja binoculata","Beringraja binoculata","accepted","Beringraja binoculata","species","Elasmobranchii","Rajiformes","Rajidae","Beringraja",TRUE,FALSE,FALSE,1021330,2838337,"Beringraja binoculata"
"48","Sebastes paucispinis","Sebastes paucispinis","accepted","Sebastes paucispinis","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274833,72093,"Sebastes paucispinis"
"49","Pleuronichthys decurrens","Pleuronichthys decurrens","accepted","Pleuronichthys decurrens","species","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronichthys",TRUE,FALSE,FALSE,282292,320379,"Pleuronichthys decurrens"
"50","Sebastes entomelas","Sebastes entomelas","accepted","Sebastes entomelas","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274791,72073,"Sebastes entomelas"
