accepted_name,verbatim_name,taxonomic_status,species,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,taxon_id,ncbi_id,region
Careproctus melanurus,Careproctus melanurus,accepted,Careproctus melanurus,species,Teleostei,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,254549,274785,Gulf of Alaska
Sebastes reedi,Sebastes reedi,accepted,Sebastes reedi,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274840,394704,Gulf of Alaska
Salvelinus malma,Salvelinus malma,accepted,Salvelinus malma,species,Teleostei,Salmoniformes,Salmonidae,Salvelinus,TRUE,TRUE,TRUE,254570,8039,Gulf of Alaska
Sebastes helvomaculatus,Sebastes helvomaculatus,accepted,Sebastes helvomaculatus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274799,72079,Gulf of Alaska
Bathyagonus nigripinnis,Bathyagonus nigripinnis,accepted,Bathyagonus nigripinnis,species,Teleostei,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254505,433409,Gulf of Alaska
Bathyraja trachura,Bathyraja trachura,accepted,Bathyraja trachura,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271538,341251,Gulf of Alaska
Gymnocanthus galeatus,Gymnocanthus galeatus,accepted,Gymnocanthus galeatus,species,Teleostei,Perciformes,Cottidae,Gymnocanthus,TRUE,FALSE,FALSE,254514,980328,Gulf of Alaska
Paraliparis holomelas,Paraliparis holomelas,accepted,Paraliparis holomelas,species,Teleostei,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274583,NA,Gulf of Alaska
Eumicrotremus phrynoides,Eumicrotremus phrynoides,accepted,Eumicrotremus phrynoides,species,Teleostei,Perciformes,Cyclopteridae,Eumicrotremus,TRUE,FALSE,FALSE,254536,1482665,Gulf of Alaska
Cottus cognatus,Cottus cognatus,accepted,Cottus cognatus,species,Teleostei,Perciformes,Cottidae,Cottus,FALSE,TRUE,TRUE,159512,147210,Gulf of Alaska
Anarrhichthys ocellatus,Anarrhichthys ocellatus,accepted,Anarrhichthys ocellatus,species,Teleostei,Perciformes,Anarhichadidae,Anarrhichthys,TRUE,FALSE,FALSE,279605,433405,Gulf of Alaska
Prosopium cylindraceum,Prosopium cylindraceum,accepted,Prosopium cylindraceum,species,Teleostei,Salmoniformes,Salmonidae,Prosopium,FALSE,TRUE,TRUE,282373,348696,Gulf of Alaska
Triglops forficatus,Triglops forficatus,accepted,Triglops forficatus,species,Teleostei,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,254530,1573627,Gulf of Alaska
Pholis laeta,Pholis laeta,accepted,Pholis laeta,species,Teleostei,Perciformes,Pholidae,Pholis,TRUE,FALSE,FALSE,273689,283367,Gulf of Alaska
Liparis gibbus,Liparis gibbus,accepted,Liparis gibbus,species,Teleostei,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,159526,255718,Gulf of Alaska
Sebastes nigrocinctus,Sebastes nigrocinctus,accepted,Sebastes nigrocinctus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274825,72089,Gulf of Alaska
Anarhichas orientalis,Anarhichas orientalis,accepted,Anarhichas orientalis,species,Teleostei,Perciformes,Anarhichadidae,Anarhichas,TRUE,FALSE,FALSE,254511,479980,Gulf of Alaska
Icosteus aenigmaticus,Icosteus aenigmaticus,accepted,Icosteus aenigmaticus,species,Teleostei,Scombriformes,Icosteidae,Icosteus,TRUE,FALSE,FALSE,281153,215386,Gulf of Alaska
Chirolophis decoratus,Chirolophis decoratus,accepted,Chirolophis decoratus,species,Teleostei,Perciformes,Stichaeidae,Chirolophis,TRUE,FALSE,FALSE,254576,320615,Gulf of Alaska
