timestamps,latitude,beuti,year,month
2021-07-02,36,9.326,2021,7
2021-07-02,37,5.06,2021,7
2021-07-02,38,11.467,2021,7
2021-07-02,39,39.673,2021,7
2021-07-02,40,30.916,2021,7
2021-07-02,41,39.256,2021,7
2021-07-02,42,38.92,2021,7
2021-07-02,43,26.368,2021,7
2021-07-02,44,4.045,2021,7
2021-07-02,45,1.332,2021,7
2021-07-02,46,3.492,2021,7
2021-07-02,47,6.519,2021,7
2021-07-03,31,4.37,2021,7
2021-07-03,32,1.741,2021,7
2021-07-03,33,3.021,2021,7
2021-07-03,34,6.631,2021,7
2021-07-03,35,3.754,2021,7
2021-07-03,36,7.575,2021,7
2021-07-03,37,5.158,2021,7
2021-07-03,38,11.417,2021,7
2021-07-03,39,24.479,2021,7
2021-07-03,40,29.13,2021,7
2021-07-03,41,46.997,2021,7
2021-07-03,42,59.023,2021,7
2021-07-03,43,30.068,2021,7
2021-07-03,44,5.852,2021,7
2021-07-03,45,3.775,2021,7
2021-07-03,46,4.568,2021,7
2021-07-03,47,5.783,2021,7
2021-07-04,31,6.691,2021,7
2021-07-04,32,0.563,2021,7
2021-07-04,33,1.845,2021,7
2021-07-04,34,3.077,2021,7
2021-07-04,35,4.613,2021,7
2021-07-04,36,1.707,2021,7
2021-07-04,37,-20.32,2021,7
2021-07-04,38,1.231,2021,7
2021-07-04,39,19.978,2021,7
2021-07-04,40,31.587,2021,7
2021-07-04,41,36.179,2021,7
2021-07-04,42,40.272,2021,7
2021-07-04,43,19.674,2021,7
2021-07-04,44,9.835,2021,7
2021-07-04,45,2.083,2021,7
2021-07-04,46,0.644,2021,7
2021-07-04,47,1.704,2021,7
2021-07-05,31,6.988,2021,7
2021-07-05,32,0.949,2021,7
2021-07-05,33,1.986,2021,7
2021-07-05,34,3.319,2021,7
2021-07-05,35,4.19,2021,7
2021-07-05,36,1.071,2021,7
2021-07-05,37,-1.729,2021,7
2021-07-05,38,-36.197,2021,7
2021-07-05,39,5.479,2021,7
2021-07-05,40,21.211,2021,7
2021-07-05,41,29.319,2021,7
2021-07-05,42,42.41,2021,7
2021-07-05,43,16.179,2021,7
2021-07-05,44,8.059,2021,7
2021-07-05,45,2.258,2021,7
2021-07-05,46,1.095,2021,7
2021-07-05,47,1.221,2021,7
2021-07-06,31,6.919,2021,7
2021-07-06,32,1.135,2021,7
2021-07-06,33,2.594,2021,7
2021-07-06,34,3.892,2021,7
2021-07-06,35,4.604,2021,7
2021-07-06,36,9.796,2021,7
2021-07-06,37,7.419,2021,7
2021-07-06,38,-37.476,2021,7
2021-07-06,39,19.784,2021,7
2021-07-06,40,23.355,2021,7
2021-07-06,41,14.155,2021,7
2021-07-06,42,34.643,2021,7
2021-07-06,43,17.828,2021,7
2021-07-06,44,10.493,2021,7
2021-07-06,45,3.146,2021,7
2021-07-06,46,1.475,2021,7
2021-07-06,47,1.263,2021,7
2021-07-07,31,5.416,2021,7
2021-07-07,32,0.95,2021,7
2021-07-07,33,1.788,2021,7
2021-07-07,34,4.343,2021,7
2021-07-07,35,6.091,2021,7
2021-07-07,36,22.006,2021,7
2021-07-07,37,15.362,2021,7
2021-07-07,38,17.952,2021,7
2021-07-07,39,50.057,2021,7
2021-07-07,40,24.138,2021,7
2021-07-07,41,22.94,2021,7
2021-07-07,42,22.044,2021,7
2021-07-07,43,13.588,2021,7
2021-07-07,44,5.952,2021,7
2021-07-07,45,1.997,2021,7
2021-07-07,46,1.236,2021,7
2021-07-07,47,0.901,2021,7
2021-07-08,31,2.112,2021,7
2021-07-08,32,0.334,2021,7
2021-07-08,33,1.264,2021,7
2021-07-08,34,3.314,2021,7
2021-07-08,35,10.296,2021,7
2021-07-08,36,21.973,2021,7
2021-07-08,37,20.544,2021,7
2021-07-08,38,12.745,2021,7
2021-07-08,39,79.07,2021,7
2021-07-08,40,48.924,2021,7
2021-07-08,41,44.871,2021,7
2021-07-08,42,19.502,2021,7
2021-07-08,43,9.71,2021,7
2021-07-08,44,13.779,2021,7
2021-07-08,45,0.672,2021,7
2021-07-08,46,0.044,2021,7
2021-07-08,47,0.295,2021,7
2021-07-09,31,1.316,2021,7
2021-07-09,32,0.159,2021,7
2021-07-09,33,0.198,2021,7
2021-07-09,34,1.002,2021,7
2021-07-09,35,4.211,2021,7
2021-07-09,36,4.891,2021,7
2021-07-09,37,8.059,2021,7
2021-07-09,38,31.399,2021,7
2021-07-09,39,57.893,2021,7
2021-07-09,40,61.971,2021,7
2021-07-09,41,42.726,2021,7
2021-07-09,42,40.681,2021,7
2021-07-09,43,25.809,2021,7
2021-07-09,44,14.356,2021,7
2021-07-09,45,2.402,2021,7
2021-07-09,46,0.251,2021,7
2021-07-09,47,0.291,2021,7
2021-07-10,31,1.086,2021,7
2021-07-10,32,0.296,2021,7
2021-07-10,33,0.232,2021,7
2021-07-10,34,0.417,2021,7
2021-07-10,35,1.234,2021,7
2021-07-10,36,3.399,2021,7
2021-07-10,37,8.334,2021,7
2021-07-10,38,8.782,2021,7
2021-07-10,39,56.519,2021,7
2021-07-10,40,73.708,2021,7
2021-07-10,41,34.346,2021,7
2021-07-10,42,47.259,2021,7
2021-07-10,43,29.504,2021,7
2021-07-10,44,6.643,2021,7
2021-07-10,45,6.832,2021,7
2021-07-10,46,0.96,2021,7
2021-07-10,47,0.403,2021,7
2021-07-11,31,1.339,2021,7
2021-07-11,32,0.338,2021,7
2021-07-11,33,0.686,2021,7
2021-07-11,34,1.062,2021,7
2021-07-11,35,2.318,2021,7
2021-07-11,36,5.136,2021,7
2021-07-11,37,8.04,2021,7
2021-07-11,38,18.265,2021,7
2021-07-11,39,47.311,2021,7
2021-07-11,40,61.882,2021,7
2021-07-11,41,35.957,2021,7
2021-07-11,42,84.493,2021,7
2021-07-11,43,37.459,2021,7
2021-07-11,44,7.565,2021,7
2021-07-11,45,8.291,2021,7
2021-07-11,46,0.758,2021,7
2021-07-11,47,1.303,2021,7
2021-07-12,31,0.7,2021,7
2021-07-12,32,0.242,2021,7
2021-07-12,33,1.397,2021,7
2021-07-12,34,3.986,2021,7
2021-07-12,35,5.093,2021,7
2021-07-12,36,15.862,2021,7
2021-07-12,37,19.247,2021,7
2021-07-12,38,36.914,2021,7
2021-07-12,39,47.618,2021,7
2021-07-12,40,61.669,2021,7
2021-07-12,41,77.291,2021,7
2021-07-12,42,74.125,2021,7
2021-07-12,43,43.799,2021,7
2021-07-12,44,12.443,2021,7
2021-07-12,45,11.118,2021,7
2021-07-12,46,2.729,2021,7
2021-07-12,47,4.183,2021,7
2021-07-13,31,0.154,2021,7
2021-07-13,32,-0.016,2021,7
2021-07-13,33,0.058,2021,7
2021-07-13,34,4.389,2021,7
2021-07-13,35,4.963,2021,7
2021-07-13,36,17.402,2021,7
2021-07-13,37,25.704,2021,7
2021-07-13,38,32.626,2021,7
2021-07-13,39,52.978,2021,7
2021-07-13,40,76.506,2021,7
2021-07-13,41,76.301,2021,7
2021-07-13,42,69.697,2021,7
2021-07-13,43,56.761,2021,7
2021-07-13,44,19.196,2021,7
2021-07-13,45,11.868,2021,7
2021-07-13,46,1.531,2021,7
2021-07-13,47,3.508,2021,7
2021-07-14,31,0.374,2021,7
2021-07-14,32,0.208,2021,7
2021-07-14,33,0.06,2021,7
2021-07-14,34,2.177,2021,7
2021-07-14,35,3.159,2021,7
2021-07-14,36,5.7,2021,7
2021-07-14,37,3.688,2021,7
2021-07-14,38,33.966,2021,7
2021-07-14,39,56.346,2021,7
2021-07-14,40,78.507,2021,7
2021-07-14,41,78.505,2021,7
2021-07-14,42,86.009,2021,7
2021-07-14,43,34.82,2021,7
2021-07-14,44,14.903,2021,7
2021-07-14,45,9.726,2021,7
2021-07-14,46,0.498,2021,7
2021-07-14,47,7.088,2021,7
2021-07-15,31,0.571,2021,7
2021-07-15,32,0.126,2021,7
2021-07-15,33,0.909,2021,7
2021-07-15,34,1.393,2021,7
2021-07-15,35,3.721,2021,7
2021-07-15,36,2.467,2021,7
2021-07-15,37,-1.188,2021,7
2021-07-15,38,19.405,2021,7
2021-07-15,39,56,2021,7
2021-07-15,40,75.107,2021,7
2021-07-15,41,57.577,2021,7
2021-07-15,42,62.717,2021,7
2021-07-15,43,24.194,2021,7
2021-07-15,44,12.574,2021,7
2021-07-15,45,6.614,2021,7
2021-07-15,46,0.256,2021,7
2021-07-15,47,3.895,2021,7
2021-07-16,31,1.132,2021,7
2021-07-16,32,0.551,2021,7
2021-07-16,33,0.724,2021,7
