newfoundland_1,2003-04-16,NA,02e83d0fe42cd1c219de71ca28a5977d.nc
puget_sound,2002-04-16,2002-05-17,02e8593af3522daf8f69c8f9112b8a64.nc
florida_e,2012-12-17,2013-01-17,02ee75cd3b9e1d954d94fa96da0314f8.nc
nor_5,1992-06-16,NA,02fd159bfdfd132af7d82cb6b1e9f6e2.nc
saf_2,1997-11-16,NA,030028c6e447d797415ef7eb94bae00d.nc
saf_3,1992-02-16,NA,0303e1d319f387c903d1096d58e69c6d.nc
ca1,2016-11-16,NA,030761e05486ed8595f2beeefda1cfac.nc
ca3,2007-02-15,2007-03-17,0315bce9bce6e9a8fbc412916888c64f.nc
newfoundland_2,1993-04-16,1993-05-17,0316c3d821442586f531c2c6d2a76007.nc
namibia,1992-11-16,1992-12-17,031850063b6b1e6fd7b7d92c5ef44601.nc
nova_scotia,2012-06-16,NA,031dcb1b6c0056a80a57118cd1419b98.nc
tx_2,1985-04-16,1985-05-17,03207043d898cf36ab48be96373f09b0.nc
newfoundland_1,1996-04-16,1996-05-17,0325c87099c42d126b7a7e2705710f30.nc
ca3,2000-04-16,2000-05-17,032a6fbea98833ca01a9c52afc02ec73.nc
aus_12,2019-06-16,2019-07-17,032dfa8ed6d13e0d56fa4e8f5556c675.nc
nor_2,2001-04-16,2001-05-17,03382f817cca607201834373fe1400fe.nc
newfoundland_2,1991-12-17,1992-01-17,03503759ae6502f7f634c79c4c9719c5.nc
nz_1,2002-12-17,2003-01-17,03519d2ece649b4761c440a5154a73ec.nc
carib_2,1994-09-16,NA,035790f0fc5e57fde2c3ad5d593eee70.nc
wa_seattle,1986-07-17,1986-08-17,035803cab1cc8ff3bb1564962464a38f.nc
columbia_1,2018-09-16,2018-10-17,03588153935a5e0ca04ab29bd2823ee5.nc
Delaware,1998-02-15,NA,036020f838a34ba6e113127f63888b21.nc
ca3,2008-07-17,2008-08-17,0362e8327ac6d121c39f3c9b62920cae.nc
saf_2,1995-06-16,NA,0366bf0b4f5208616ccc9d72deba2b95.nc
tasmania,2021-06-16,NA,03694c7fa8a6de12f3e182bc26ce7253.nc
haiti,1996-02-16,NA,037432b051bba0415cb90c3e18acade8.nc
tx_1,2006-11-16,NA,0374daad33290cc689a81a55bf07e1ab.nc
aus_12,1989-12-17,1990-01-17,0382d1b5bcaab7bcabdd205d9eaf3b9d.nc
bc_haidagwaii,1993-12-17,1994-01-17,0388bb1acdab8a3cab9bbab15ad7804e.nc
ca3,1993-06-16,1993-07-17,03890143285c87c9ef13135de94dcc22.nc
haiti,1993-04-16,1993-05-17,03913aa5187d822a6c0f9b215954e967.nc
uk_1,1992-06-16,1992-07-17,03a4e18d79527ad9c8f2a19287747d4e.nc
puget_sound,2010-12-17,2011-01-17,03b070e2095d30f06ceecf240848ae55.nc
aus_2,1982-04-16,NA,03bd89b10e6fd648391ba75b82dd3cfe.nc
saf_5,2005-11-16,NA,03c13d62113d8e311443d72c57169137.nc
ca1,1986-09-16,1986-10-17,03c9e30be30a39e9f93892f5dc27e45a.nc
namibia,2005-02-15,NA,03cb2fd3cc2b94f6a4ab3dc16ac6765a.nc
newfoundland_1,2005-04-16,2005-05-17,03cda5da7249314be432dc5ca3effaa5.nc
nz_1,1985-12-17,1986-01-17,03d3c50a3a582296cf5929bbef741cd2.nc
namibia,1994-02-15,1994-03-17,03ec2515169a1d63f74a1a6336876342.nc
maine,2017-11-16,NA,03ff9de04280c9dd5c2e9325e1ca4c40.nc
ak2,2008-06-16,2008-07-17,03ffcd6d3dc13487c8fc1b325bae9af8.nc
ca3,2004-04-16,2004-05-17,040a33fc8ca6dc6852810e1bac3dfb0a.nc
germany_w,2022-02-15,2022-03-17,0416eab102aad6b13989aca9769de9a0.nc
baltic_1,2017-02-15,NA,042eaaf3dda2c18ed3bef6336b4b4406.nc
or,2003-09-16,NA,0437dca172726b977a95a48cdc81ca67.nc
saf_4,1988-06-16,1988-07-17,043bb14e6cb6789ca815191f758033b6.nc
