year,region_name,region_label,region_lat_name,sst_max,sst_min,sst_median,sst_mean,sst_sd,region_temp95,region_temp90,region_temp75,region_temp25,region_temp10,region_temp05,avg_region_lat
2021,BC_CC,Central Coast British Columbia,4,17.246388888888887,10.309333333333331,14.577875,14.227705623613632,1.6160503909369117,16.456105555555553,16.156333333333333,15.261433333333333,13.562111111111111,11.383666666666668,11.023621527777777,51.678228045582756
2020,BC_NV,"North Vancouver Island, British Columbia",5,16.360500000000002,10.2782,14.109333333333332,13.790157101449275,1.4923987954068725,15.94487,15.549813333333333,14.9503,12.48,11.729579999999999,11.188563333333336,50.49402588328496
2024,BC_NV,"North Vancouver Island, British Columbia",5,15.252166666666666,9.766266666666668,12.3682,12.52591735657226,1.26803006731012,14.750649999999998,14.468879999999999,13.321083333333334,11.744233333333334,10.72712,10.43022,50.49402588328496
2019,BC_NV,"North Vancouver Island, British Columbia",5,17.0658,10.44,13.704,13.624183695652174,1.7279140967182736,16.2489,15.993613333333334,14.968025,12.044274999999999,11.21258,11.005436666666665,50.49402588328496
2023,BC_NV,"North Vancouver Island, British Columbia",5,17.205333333333336,9.571466666666666,12.549666666666669,12.790839288307916,1.6314394903156102,15.716940000000001,15.32408,13.9435,11.5198,10.748053333333335,10.54337,50.49402588328496
2022,BC_NV,"North Vancouver Island, British Columbia",5,15.751833333333334,10.0802,13.2554,12.948967392883079,1.3722934397032405,15.074839999999998,14.572473333333333,13.95475,12.071449999999999,10.806799999999999,10.521753333333335,50.49402588328496
2021,BC_NV,"North Vancouver Island, British Columbia",5,16.076999999999998,10.263,13.602,13.629150762527233,1.6651034251495342,15.707350000000002,15.591146666666667,15.212150000000001,12.457,11.12138,10.791606666666667,50.49402588328496
2024,BC_IC,"Inner Coast, British Columbia",6,19.726944444444445,11.9856,16.200440476190476,16.07714384037673,1.9676981575957997,18.949799999999996,18.620876666666668,17.48637156862745,14.7161,13.052378431372551,12.52566911764706,50.092424875
2021,BC_IC,"Inner Coast, British Columbia",6,19.868944444444445,13.531,17.487394444444448,16.959819540453864,1.7033070986345011,19.19327222222222,18.988311111111113,18.39318823529412,15.416267857142856,14.43669476190476,14.145135952380953,50.092424875
2019,BC_IC,"Inner Coast, British Columbia",6,20.02766666666667,12.809285714285714,16.83475,16.9812293035765,1.4353745008975287,19.582919841269838,19.19686848739496,17.906439285714285,15.988213888888888,15.375862857142858,14.751001890756301,50.092424875
