scientific_name,JN_EC,JN_SB,JN_BC,JN_AN,JN_FC,SE_GK,SE_NS,SE_SH,SE_NF,SE_RF,SE_NZ,HG_DSD,HG_MDD,HG_TK,HG_DN,HG_SB,HG_RI,HG_BH,HG_LIE,HG_ROI,CC_FAN3,CC_GOG1,CC_KIS2,CC_PBA,CC_CHP,CC_KIS1,NV_KC,NV_PC,NV_KB,NV_BI,NV_JL,IC_OPB,IC_MAB,IC_SHS,IC_GOW,IC_SMB,PP_EB,PP_S,PP_M,PP_O,PP_MI,PP_K,PP_SI,PP_MB,PP_HI,PP_JJ,PP_G,PP_C,PP_E,PS_BB,PS_BP,PS_NC,PS_BH,PS_IC,PS_YB,PS_SP,PS_SH,PS_BV,PS_FB,PS_FJ,WB_DP,WB_WP,WB_SB,WB_WR,WB_SP,WB_CO,WB_BC,WB_ST,WB_PA,YB_F,YB_SBN,YB_IF,YB_SBS,CB_BV,CB_FP,HB_EB,HB_SR,HB_KS,NC_B,NC_WP,NC_D,NC_NC,NC_BL,NC_E,NC_DE,NC_PS,NC_PM,NC_RB,MB_CB,MB_TP,LA_MS,LA_JD,LA_AB,LA_SP,LA_UN,LA_LN,SD_SDL,SD_CV,SD_KF,SD_FI,SD_SI,SD_CI
Centropomus poeyi,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Pseudotolithus epipercus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Citharichthys stampflii,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Haemulon sexfasciatum,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Mycteroperca rosacea,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Gymnura altavela,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Stegastes rectifraenum,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Xenomedea rhodopyga,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Rhinobatos rhinobatos,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Malacoctenus hubbsi,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Mycteroperca jordani,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Squatina squatina,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Azurina atrilobata,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Arothron hispidus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Serranus aequidens,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Scarus perrico,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Muraena lentiginosa,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Rypticus nigripinnis,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Holacanthus passer,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Glaucostegus typus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Taeniurops grabatus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Gymnothorax funebris,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Raja miraletus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Citharichthys platophrys,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Acanthemblemaria crockeri,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range
Vieja fenestrata,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Argentina silus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Labrisomus multiporosus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Scopelarchus guentheri,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
Prionotus ruscarius,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range
