region_label,grp,condval,condsd,model
"Pacific Rim Park, British Columbia",PP_SI,-0.03,0.304,Mean SST
"Puget Sound & Padilla Bay, Washington",PS_BB,0.035,0.167,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_BH,0.255,0.154,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_BP,-0.092,0.184,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_BV,-0.145,0.143,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_FB,-0.11,0.143,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_FJ,0.162,0.143,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_IC,0.126,0.143,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_NC,-0.087,0.143,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_SH,0,0.143,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_SP,-0.135,0.184,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_YB,-0.01,0.184,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_BB,0.036,0.166,75th
"Puget Sound & Padilla Bay, Washington",PS_BH,0.253,0.153,75th
"Puget Sound & Padilla Bay, Washington",PS_BP,-0.083,0.182,75th
"Puget Sound & Padilla Bay, Washington",PS_BV,-0.144,0.142,75th
"Puget Sound & Padilla Bay, Washington",PS_FB,-0.114,0.142,75th
"Puget Sound & Padilla Bay, Washington",PS_FJ,0.153,0.142,75th
"Puget Sound & Padilla Bay, Washington",PS_IC,0.12,0.142,75th
"Puget Sound & Padilla Bay, Washington",PS_NC,-0.083,0.142,75th
"Puget Sound & Padilla Bay, Washington",PS_SH,-0.003,0.142,75th
"Puget Sound & Padilla Bay, Washington",PS_SP,-0.128,0.182,75th
"Puget Sound & Padilla Bay, Washington",PS_YB,-0.007,0.182,75th
"Puget Sound & Padilla Bay, Washington",PS_BB,0.035,0.168,Mean SST
"Puget Sound & Padilla Bay, Washington",PS_BH,0.26,0.154,Mean SST
"Puget Sound & Padilla Bay, Washington",PS_BP,-0.086,0.185,Mean SST
"Puget Sound & Padilla Bay, Washington",PS_BV,-0.147,0.144,Mean SST
"Puget Sound & Padilla Bay, Washington",PS_FB,-0.116,0.144,Mean SST
"Puget Sound & Padilla Bay, Washington",PS_FJ,0.158,0.144,Mean SST
"Puget Sound & Padilla Bay, Washington",PS_IC,0.123,0.144,Mean SST
"Puget Sound & Padilla Bay, Washington",PS_NC,-0.086,0.144,Mean SST
"Puget Sound & Padilla Bay, Washington",PS_SH,-0.003,0.144,Mean SST
"Puget Sound & Padilla Bay, Washington",PS_SP,-0.133,0.185,Mean SST
"Puget Sound & Padilla Bay, Washington",PS_YB,-0.006,0.185,Mean SST
"Willapa Bay, Washington",WB_BC,0.261,0.246,95th percentile SST
"Willapa Bay, Washington",WB_CO,-0.087,0.33,95th percentile SST
"Willapa Bay, Washington",WB_DP,-0.143,0.223,95th percentile SST
"Willapa Bay, Washington",WB_PA,-0.467,0.223,95th percentile SST
"Willapa Bay, Washington",WB_SB,0.049,0.279,95th percentile SST
"Willapa Bay, Washington",WB_SP,0.333,0.33,95th percentile SST
"Willapa Bay, Washington",WB_ST,0.171,0.33,95th percentile SST
"Willapa Bay, Washington",WB_WP,0.316,0.33,95th percentile SST
"Willapa Bay, Washington",WB_WR,-0.433,0.246,95th percentile SST
"Willapa Bay, Washington",WB_BC,0.272,0.246,75th
"Willapa Bay, Washington",WB_CO,-0.079,0.324,75th
"Willapa Bay, Washington",WB_DP,-0.141,0.223,75th
"Willapa Bay, Washington",WB_PA,-0.443,0.223,75th
"Willapa Bay, Washington",WB_SB,0.056,0.277,75th
"Willapa Bay, Washington",WB_SP,0.298,0.324,75th
"Willapa Bay, Washington",WB_ST,0.15,0.324,75th
"Willapa Bay, Washington",WB_WP,0.283,0.324,75th
"Willapa Bay, Washington",WB_WR,-0.398,0.246,75th
"Willapa Bay, Washington",WB_BC,0.296,0.242,Mean SST
"Willapa Bay, Washington",WB_CO,-0.038,0.312,Mean SST
"Willapa Bay, Washington",WB_DP,-0.193,0.221,Mean SST
"Willapa Bay, Washington",WB_PA,-0.371,0.221,Mean SST
"Willapa Bay, Washington",WB_SB,0.033,0.271,Mean SST
"Willapa Bay, Washington",WB_SP,0.258,0.312,Mean SST
"Willapa Bay, Washington",WB_ST,0.13,0.312,Mean SST
"Willapa Bay, Washington",WB_WP,0.225,0.312,Mean SST
"Willapa Bay, Washington",WB_WR,-0.342,0.242,Mean SST
"Willapa Bay, Washington",WB_BC,0.305,0.226,Upwelling
"Willapa Bay, Washington",WB_CO,-0.002,0.279,Upwelling
"Willapa Bay, Washington",WB_DP,-0.137,0.209,Upwelling
"Willapa Bay, Washington",WB_PA,-0.323,0.209,Upwelling
"Willapa Bay, Washington",WB_SB,0.073,0.248,Upwelling
"Willapa Bay, Washington",WB_SP,0.152,0.279,Upwelling
"Willapa Bay, Washington",WB_ST,0.048,0.279,Upwelling
"Willapa Bay, Washington",WB_WP,0.13,0.279,Upwelling
"Willapa Bay, Washington",WB_WR,-0.246,0.226,Upwelling
"Yaquina Bay, Oregon",YB_F,0.013,0.171,95th percentile SST
"Yaquina Bay, Oregon",YB_IF,-0.078,0.127,95th percentile SST
"Yaquina Bay, Oregon",YB_SBN,0.191,0.127,95th percentile SST
"Yaquina Bay, Oregon",YB_SBS,-0.126,0.127,95th percentile SST
"Yaquina Bay, Oregon",YB_F,0.026,0.173,75th
"Yaquina Bay, Oregon",YB_IF,-0.088,0.124,75th
"Yaquina Bay, Oregon",YB_SBN,0.206,0.124,75th
"Yaquina Bay, Oregon",YB_SBS,-0.144,0.124,75th
"Yaquina Bay, Oregon",YB_F,0.003,0.17,Mean SST
"Yaquina Bay, Oregon",YB_IF,-0.072,0.129,Mean SST
"Yaquina Bay, Oregon",YB_SBN,0.187,0.129,Mean SST
"Yaquina Bay, Oregon",YB_SBS,-0.118,0.129,Mean SST
"Yaquina Bay, Oregon",YB_F,-0.027,0.168,Upwelling
"Yaquina Bay, Oregon",YB_IF,-0.06,0.129,Upwelling
"Yaquina Bay, Oregon",YB_SBN,0.189,0.129,Upwelling
"Yaquina Bay, Oregon",YB_SBS,-0.103,0.129,Upwelling
"Coos Bay, Oregon",CB_BV,0.47,0.279,95th percentile SST
"Coos Bay, Oregon",CB_FP,-0.47,0.331,95th percentile SST
"Coos Bay, Oregon",CB_BV,0.515,0.4,75th
"Coos Bay, Oregon",CB_FP,-0.515,0.465,75th
"Coos Bay, Oregon",CB_BV,0.547,0.362,Mean SST
"Coos Bay, Oregon",CB_FP,-0.547,0.425,Mean SST
"Coos Bay, Oregon",CB_BV,0.448,0.274,Upwelling
"Coos Bay, Oregon",CB_FP,-0.448,0.324,Upwelling
"Humboldt Bay, California",HB_EB,-0.295,0.254,95th percentile SST
"Humboldt Bay, California",HB_KS,0.269,0.254,95th percentile SST
"Humboldt Bay, California",HB_SR,0.026,0.203,95th percentile SST
"Humboldt Bay, California",HB_EB,-0.322,0.002,75th
"Humboldt Bay, California",HB_KS,0.262,0.002,75th
"Humboldt Bay, California",HB_SR,0.059,0.002,75th
"Humboldt Bay, California",HB_EB,-0.525,0.004,Mean SST
