region_label,grp,condval,condsd,model
"Pacific Rim Park, British Columbia",PP_E,-0.153,0.234,75th
"Pacific Rim Park, British Columbia",PP_EB,0.162,0.278,75th
"Pacific Rim Park, British Columbia",PP_G,0.072,0.278,75th
"Pacific Rim Park, British Columbia",PP_HI,0.057,0.218,75th
"Pacific Rim Park, British Columbia",PP_JJ,0.209,0.218,75th
"Pacific Rim Park, British Columbia",PP_K,-0.172,0.278,75th
"Pacific Rim Park, British Columbia",PP_M,0.152,0.278,75th
"Pacific Rim Park, British Columbia",PP_MB,0.1,0.234,75th
"Pacific Rim Park, British Columbia",PP_MI,-0.081,0.278,75th
"Pacific Rim Park, British Columbia",PP_O,-0.031,0.278,75th
"Pacific Rim Park, British Columbia",PP_S,-0.081,0.278,75th
"Pacific Rim Park, British Columbia",PP_SI,-0.137,0.278,75th
"Pacific Rim Park, British Columbia",PP_C,-0.097,0.219,mean
"Pacific Rim Park, British Columbia",PP_E,-0.158,0.234,mean
"Pacific Rim Park, British Columbia",PP_EB,0.164,0.279,mean
"Pacific Rim Park, British Columbia",PP_G,0.075,0.279,mean
"Pacific Rim Park, British Columbia",PP_HI,0.055,0.219,mean
"Pacific Rim Park, British Columbia",PP_JJ,0.206,0.219,mean
"Pacific Rim Park, British Columbia",PP_K,-0.173,0.279,mean
"Pacific Rim Park, British Columbia",PP_M,0.155,0.279,mean
"Pacific Rim Park, British Columbia",PP_MB,0.096,0.234,mean
"Pacific Rim Park, British Columbia",PP_MI,-0.081,0.279,mean
"Pacific Rim Park, British Columbia",PP_O,-0.03,0.279,mean
"Pacific Rim Park, British Columbia",PP_S,-0.079,0.279,mean
"Pacific Rim Park, British Columbia",PP_SI,-0.135,0.279,mean
"Puget Sound & Padilla Bay, Washington",PS_BB,0.122,0.23,95th
"Puget Sound & Padilla Bay, Washington",PS_BH,0.479,0.203,95th
"Puget Sound & Padilla Bay, Washington",PS_BP,-0.205,0.274,95th
"Puget Sound & Padilla Bay, Washington",PS_BV,-0.209,0.183,95th
"Puget Sound & Padilla Bay, Washington",PS_FB,-0.128,0.183,95th
"Puget Sound & Padilla Bay, Washington",PS_FJ,0.472,0.183,95th
"Puget Sound & Padilla Bay, Washington",PS_IC,0.154,0.183,95th
"Puget Sound & Padilla Bay, Washington",PS_NC,-0.144,0.183,95th
"Puget Sound & Padilla Bay, Washington",PS_SH,0.003,0.183,95th
"Puget Sound & Padilla Bay, Washington",PS_SP,-0.346,0.274,95th
"Puget Sound & Padilla Bay, Washington",PS_YB,-0.199,0.274,95th
"Puget Sound & Padilla Bay, Washington",PS_BB,0.12,0.23,75th
"Puget Sound & Padilla Bay, Washington",PS_BH,0.477,0.203,75th
"Puget Sound & Padilla Bay, Washington",PS_BP,-0.193,0.272,75th
"Puget Sound & Padilla Bay, Washington",PS_BV,-0.21,0.183,75th
"Puget Sound & Padilla Bay, Washington",PS_FB,-0.133,0.183,75th
"Puget Sound & Padilla Bay, Washington",PS_FJ,0.462,0.183,75th
"Puget Sound & Padilla Bay, Washington",PS_IC,0.148,0.183,75th
"Puget Sound & Padilla Bay, Washington",PS_NC,-0.143,0.183,75th
"Puget Sound & Padilla Bay, Washington",PS_SH,-0.001,0.183,75th
"Puget Sound & Padilla Bay, Washington",PS_SP,-0.336,0.272,75th
"Puget Sound & Padilla Bay, Washington",PS_YB,-0.191,0.272,75th
"Puget Sound & Padilla Bay, Washington",PS_BB,0.111,0.231,mean
"Puget Sound & Padilla Bay, Washington",PS_BH,0.481,0.203,mean
"Puget Sound & Padilla Bay, Washington",PS_BP,-0.201,0.274,mean
"Puget Sound & Padilla Bay, Washington",PS_BV,-0.213,0.183,mean
"Puget Sound & Padilla Bay, Washington",PS_FB,-0.125,0.183,mean
"Puget Sound & Padilla Bay, Washington",PS_FJ,0.475,0.183,mean
"Puget Sound & Padilla Bay, Washington",PS_IC,0.154,0.183,mean
"Puget Sound & Padilla Bay, Washington",PS_NC,-0.15,0.183,mean
"Puget Sound & Padilla Bay, Washington",PS_SH,0.003,0.183,mean
"Puget Sound & Padilla Bay, Washington",PS_SP,-0.341,0.274,mean
"Puget Sound & Padilla Bay, Washington",PS_YB,-0.194,0.274,mean
"Willapa Bay, Washington",WB_BC,0.166,0.287,95th
"Willapa Bay, Washington",WB_CO,0.058,0.396,95th
"Willapa Bay, Washington",WB_DP,-0.208,0.258,95th
"Willapa Bay, Washington",WB_PA,-0.647,0.258,95th
"Willapa Bay, Washington",WB_SB,0.112,0.329,95th
"Willapa Bay, Washington",WB_SP,0.335,0.396,95th
"Willapa Bay, Washington",WB_ST,0.218,0.396,95th
"Willapa Bay, Washington",WB_WP,0.551,0.396,95th
"Willapa Bay, Washington",WB_WR,-0.586,0.287,95th
"Willapa Bay, Washington",WB_BC,0.19,0.287,75th
"Willapa Bay, Washington",WB_CO,0.069,0.39,75th
"Willapa Bay, Washington",WB_DP,-0.223,0.258,75th
"Willapa Bay, Washington",WB_PA,-0.606,0.258,75th
"Willapa Bay, Washington",WB_SB,0.107,0.327,75th
"Willapa Bay, Washington",WB_SP,0.306,0.39,75th
"Willapa Bay, Washington",WB_ST,0.199,0.39,75th
"Willapa Bay, Washington",WB_WP,0.503,0.39,75th
"Willapa Bay, Washington",WB_WR,-0.545,0.287,75th
"Willapa Bay, Washington",WB_BC,0.233,0.283,mean
"Willapa Bay, Washington",WB_CO,0.119,0.379,mean
"Willapa Bay, Washington",WB_DP,-0.295,0.256,mean
"Willapa Bay, Washington",WB_PA,-0.533,0.256,mean
"Willapa Bay, Washington",WB_SB,0.076,0.321,mean
"Willapa Bay, Washington",WB_SP,0.278,0.379,mean
"Willapa Bay, Washington",WB_ST,0.182,0.379,mean
"Willapa Bay, Washington",WB_WP,0.43,0.379,mean
"Willapa Bay, Washington",WB_WR,-0.49,0.283,mean
"Willapa Bay, Washington",WB_BC,0.296,0.257,upwelling
"Willapa Bay, Washington",WB_CO,0.146,0.334,upwelling
"Willapa Bay, Washington",WB_DP,-0.165,0.235,upwelling
"Willapa Bay, Washington",WB_PA,-0.506,0.235,upwelling
"Willapa Bay, Washington",WB_SB,0.183,0.288,upwelling
"Willapa Bay, Washington",WB_SP,0.109,0.334,upwelling
"Willapa Bay, Washington",WB_ST,0.023,0.334,upwelling
"Willapa Bay, Washington",WB_WP,0.266,0.334,upwelling
