scientific_name,CHP_CC,FAN3_CC,GOG1_CC,KIS2_CC,PBA_CC,DSD_HG,LIE_HG,MD_HG,GOW_IC,MAB_IC,OPB_IC,SHS_IC,SMB_IC,AN_JN,BC_JN,EC_JN,FC_JN,SB_JN,JD_LA,LN_LA,MS_LA,UN_LA,CB_MB,TD_MB,A_NC,B_NC,D_NC,DE_NC,E_NC,F_NC,PM_NC,PS_NC,RB_NC,BI_NV,JL_NV,KC_NV,KH_NV,C_PP,E_PP,EB_PP,G_PP,HI_PP,JJ_PP,K_PP,M_PP,O_PP,S_PP,SI_PP,BH_PS,PB_PS,FB_PS,FJ_PS,IC_PS,NC_PS,SH_PS,CV_SD,FI_SD,SDL_SD,SI_SD,GK_SE,NF_SE,NS_SE,NZ_SE,RF_SE,SH_SE,BC_WB,CO_WB,DP_WB,PA_WB,SB_WB,WR_WB,BV_YB,FP_YB,IF_YB,SN_YB,SS_YB,RI_HG,SB_HG,MI_PP,MB_PP,J_PP,PC_NV,KI_NV,ROI_HG,BH_HG,F_YB,NC_NC,WP_NC,AB_LA,TP_MB,NA_WB,CV_CA,KF_CA,SD_CA,FI_CA,SI_CA,BV_PS,SP_PS,YB_PS,BP_PS
Limanda aspera,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range
Rimicola muscarum,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,In range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,In range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,In range,South of range,South of range,In range,In range,In range,In range
Blepsias cirrhosus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,In range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Xiphister atropurpureus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Leuroglossus schmidti,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Pleuronichthys coenosus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Cottus asper,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,In range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Enophrys bison,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,In range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Ascelichthys rhodorus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Hypomesus pretiosus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,In range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,South of range,South of range,In range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Sebastes auriculatus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,North of range,North of range,North of range,In range,In range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,In range,In range,In range,In range,In range
Liparis florae,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Hexagrammos lagocephalus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Phytichthys chirus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Brachyistius frenatus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,North of range,In range,North of range,In range,In range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,In range,In range,In range,In range,In range
Oncorhynchus clarkii clarkii,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Clinocottus acuticeps,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,In range,South of range,South of range,South of range,South of range,South of range,In range,In range,In range,In range
Clevelandia ios,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,In range,In range,In range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,In range,In range,In range,In range,In range
Lepidogobius lepidus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,In range,In range,In range,In range,In range
Phanerodon vacca,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,In range,In range,In range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,In range,In range,In range,In range,In range
Myoxocephalus jaok,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Myoxocephalus stelleri,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Paralabrax clathratus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range
Paralabrax nebulifer,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,North of range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range
Embiotoca jacksoni,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range
Acanthogobius flavimanus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,North of range,In range,In range,North of range,South of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range
Mugil cephalus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,In range,In range,South of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,North of range,North of range,South of range,In range,In range,In range,South of range,North of range,North of range,North of range,North of range
Oxylebius pictus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,North of range,In range,North of range,In range,In range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,In range,In range,In range,In range,In range,In range,In range,In range
Paralichthys californicus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range
Atherinops affinis,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range
Micrometrus minimus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,South of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range
Heterostichus rostratus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range
Gibbonsia montereyensis,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range
Paralabrax maculatofasciatus,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,North of range,North of range,South of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range
Atherinopsis californiensis,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,In range,In range,North of range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,North of range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range
Hypsoblennius gentilis,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,North of range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,South of range,South of range,South of range,South of range,North of range,North of range,North of range,North of range
Hypsopsetta guttulata,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,In range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,South of range,In range,In range,In range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,North of range,In range,In range,North of range,South of range,In range,In range,In range,In range,North of range,North of range,North of range,North of range
