"","sample_id","raw_f","raw_r","cutadapt_f","cutadapt_r","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"164","PECOe689_S164_L001_R1_001",124792,124792,124764,124764,111994,111994,111994,111994,111722,111048,104849,104728,103688,99.9775626642733,93.848123019638,99.8845959427367,99.0069513406157,83.088659529457
"165","PECOe690_S165_L001_R1_001",159832,159832,159801,159801,142149,142149,142149,142149,141625,140805,135086,134951,129388,99.9806046348666,95.3828773168579,99.9000636631479,95.8777630399182,80.9525001251314
"166","PECOe691_S166_L001_R1_001",545,545,499,499,247,247,247,247,200,173,168,168,168,91.5596330275229,84,100,100,30.8256880733945
"167","PECOe692_S167_L001_R1_001",135894,135894,135861,135861,121319,121319,121319,121319,120922,120351,114708,114433,107275,99.9757163671685,94.8611501629149,99.7602608362102,93.7448113743413,78.9402033938216
"168","PECOe693_S168_L001_R1_001",91212,91212,91032,91032,81826,81826,81826,81826,81629,81244,77323,77321,74854,99.8026575450599,94.7249139398988,99.9974134474865,96.809404948203,82.0659562338289
"169","PECOe694_S169_L001_R1_001",125062,125062,125015,125015,111766,111766,111766,111766,111395,110882,103685,103529,97921,99.9624186403544,93.0786839624759,99.84954429281,94.5831602739329,78.297964209752
"170","PECOe695_S170_L001_R1_001",126420,126420,126391,126391,110300,110300,110300,110300,109952,109402,104283,104272,100706,99.9770605916785,94.8441137951106,99.9894517802518,96.5800982046954,79.6598639455782
"171","PECOe696_S171_L001_R1_001",162,162,151,151,56,56,56,56,15,6,0,0,0,93.2098765432099,0,NA,NA,0
"172","PECOe697_S172_L001_R1_001",109717,109717,109694,109694,90371,90371,90371,90371,89958,88301,83912,83774,82502,99.9790369769498,93.2790857955935,99.8355419963772,98.4816291450808,75.1952751168916
"173","PECOe698_S173_L001_R1_001",136356,136356,136315,136315,115237,115237,115237,115237,114962,113355,109088,108556,104635,99.9699316495057,94.8904855517475,99.5123203285421,96.3880393529607,76.7366305846461
"174","PECOe699_S174_L001_R1_001",106258,106258,106241,106241,88936,88936,88936,88936,88585,86753,82426,82241,78590,99.9840012046152,93.0473556471186,99.775556256521,95.5606084556365,73.9614899584031
"175","PECOe700_S175_L001_R1_001",96758,96758,96731,96731,82491,82491,82491,82491,82226,80827,77199,76917,74353,99.9720953306187,93.8863619779632,99.6347102941748,96.6665366563958,76.8442919448521
"176","PECOe701_S176_L001_R1_001",1037,1037,440,440,137,137,137,137,95,73,73,73,73,42.4300867888139,76.8421052631579,100,100,7.03953712632594
"177","PECOe702_S177_L001_R1_001",97579,97579,97534,97534,85270,85270,85270,85270,84767,84305,80054,79327,76761,99.9538835200197,94.4400533226374,99.0918629924801,96.7652879851753,78.6654915504361
"178","PECOe703_S178_L001_R1_001",73498,73498,72779,72779,62697,62697,62697,62697,62308,62133,59657,59255,58209,99.0217420882201,95.7453296526931,99.3261478116566,98.2347481225213,79.1980734169637
"179","Undetermined_S0_L001_R1_001",5744609,5744609,5525212,5525212,1580399,1580399,1580399,1580399,1504155,1375341,945229,945155,931621,96.1808192689877,62.841196552217,99.9921712093048,98.5680655553851,16.2173091327887
"180","XN024_S179_L001_R1_001",4992,4992,4978,4978,3872,3872,3872,3872,3824,3847,3811,3811,3811,99.7195512820513,99.6600418410042,100,100,76.3421474358974
"181","XN025_S180_L001_R1_001",155,155,146,146,63,63,63,63,26,24,23,23,23,94.1935483870968,88.4615384615385,100,100,14.8387096774194
"182","XN026_S181_L001_R1_001",110,110,59,59,28,28,28,28,7,3,3,3,3,53.6363636363636,42.8571428571429,100,100,2.72727272727273
"183","XN027_S182_L001_R1_001",175,175,130,130,31,31,31,31,1,6,0,0,0,74.2857142857143,0,NA,NA,0
"184","XN028_S183_L001_R1_001",88,88,59,59,18,18,18,18,1,1,0,0,0,67.0454545454545,0,NA,NA,0
"185","XN029_S184_L001_R1_001",226,226,112,112,38,38,38,38,13,14,12,12,12,49.5575221238938,92.3076923076923,100,100,5.30973451327434
"186","XN031_S185_L001_R1_001",281,281,222,222,22,22,22,22,2,2,0,0,0,79.0035587188612,0,NA,NA,0
"187","XN032_S186_L001_R1_001",3310,3310,3233,3233,2443,2443,2443,2443,2412,2414,2404,2404,2404,97.6737160120846,99.6683250414594,100,100,72.6283987915408
"188","XN033_S187_L001_R1_001",391,391,167,167,47,47,47,47,1,10,0,0,0,42.7109974424552,0,NA,NA,0
"189","XN034_S188_L001_R1_001",334,334,144,144,67,67,67,67,56,41,41,41,41,43.1137724550898,73.2142857142857,100,100,12.2754491017964
"190","XN035_S189_L001_R1_001",121,121,101,101,33,33,33,33,3,3,0,0,0,83.4710743801653,0,NA,NA,0
"191","XN036_S190_L001_R1_001",106977,106977,106897,106897,84656,84656,84656,84656,84564,84485,80364,80364,80364,99.9252175701319,95.033347523769,100,100,75.1226899240023
"192","XN037_S191_L001_R1_001",217,217,102,102,35,35,35,35,26,26,26,26,26,47.0046082949309,100,100,100,11.9815668202765
"193","XN038_S192_L001_R1_001",517,517,507,507,368,368,368,368,344,323,322,322,322,98.0657640232108,93.6046511627907,100,100,62.2823984526112
