"","cutadapt_f","cutadapt_r"
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-532_S85_R1_001.fastq.gz",410880,410880
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-533_S86_R1_001.fastq.gz",454813,454813
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-534_S87_R1_001.fastq.gz",355357,355357
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-535_S88_R1_001.fastq.gz",343291,343291
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-536_S89_R1_001.fastq.gz",17,17
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-537_S90_R1_001.fastq.gz",540580,540580
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-538_S91_R1_001.fastq.gz",227,227
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-539_S92_R1_001.fastq.gz",142,142
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-540_S93_R1_001.fastq.gz",15,15
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-541_S94_R1_001.fastq.gz",5,5
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-543_S1_R1_001.fastq.gz",298239,298239
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-545_S98_R1_001.fastq.gz",6,6
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-546_S99_R1_001.fastq.gz",86,86
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-547_S100_R1_001.fastq.gz",376923,376923
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-548_S101_R1_001.fastq.gz",450006,450006
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-549_S102_R1_001.fastq.gz",416088,416088
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-550_S103_R1_001.fastq.gz",357333,357333
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-552_S105_R1_001.fastq.gz",474288,474288
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-553_S106_R1_001.fastq.gz",344916,344916
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-554_S107_R1_001.fastq.gz",347347,347347
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-555_S108_R1_001.fastq.gz",276539,276539
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-556_S109_R1_001.fastq.gz",3,3
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-557_S110_R1_001.fastq.gz",492821,492821
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-558_S111_R1_001.fastq.gz",413164,413164
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-559_S112_R1_001.fastq.gz",309156,309156
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-560_S113_R1_001.fastq.gz",419623,419623
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-561_S114_R1_001.fastq.gz",1,1
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-562_S115_R1_001.fastq.gz",508434,508434
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-563_S116_R1_001.fastq.gz",499277,499277
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-564_S117_R1_001.fastq.gz",541090,541090
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-565_S118_R1_001.fastq.gz",472216,472216
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-566_S119_R1_001.fastq.gz",1,1
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-567_S120_R1_001.fastq.gz",467403,467403
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-568_S121_R1_001.fastq.gz",409057,409057
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-569_S122_R1_001.fastq.gz",326301,326301
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-570_S123_R1_001.fastq.gz",483966,483966
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-572_S125_R1_001.fastq.gz",166,166
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-573_S126_R1_001.fastq.gz",342242,342242
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-574_S127_R1_001.fastq.gz",340048,340048
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-575_S128_R1_001.fastq.gz",393,393
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-582_S130_R1_001.fastq.gz",398225,398225
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-583_S131_R1_001.fastq.gz",452682,452682
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-584_S132_R1_001.fastq.gz",597582,597582
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-585_S133_R1_001.fastq.gz",454116,454116
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-586_S134_R1_001.fastq.gz",66,66
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-587_S135_R1_001.fastq.gz",216,216
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-588_S136_R1_001.fastq.gz",419038,419038
