motu_lulu,motu_swarm,asv,curated,lulu_rank
motu196,motu196,ASV415,parent,169
motu197,motu197,ASV420,parent,166
motu197,motu197,ASV915,parent,166
motu197,motu197,ASV2490,parent,166
motu197,motu197,ASV3500,parent,166
motu197,motu197,ASV420,parent,166
motu198,motu198,ASV424,parent,170
motu198,motu198,ASV831,parent,170
motu198,motu198,ASV424,parent,170
motu199,motu199,ASV426,parent,222
motu200,motu200,ASV429,parent,179
motu200,motu200,ASV2388,parent,179
motu200,motu200,ASV429,parent,179
motu201,motu201,ASV431,parent,223
motu202,motu202,ASV432,parent,173
motu202,motu202,ASV883,parent,173
motu202,motu202,ASV4160,parent,173
motu202,motu202,ASV4491,parent,173
motu202,motu202,ASV432,parent,173
motu203,motu203,ASV438,parent,184
motu203,motu203,ASV2991,parent,184
motu203,motu203,ASV438,parent,184
motu204,motu204,ASV440,parent,181
motu204,motu204,ASV1941,parent,181
motu204,motu204,ASV2590,parent,181
motu204,motu204,ASV3396,parent,181
motu204,motu204,ASV440,parent,181
motu205,motu205,ASV441,parent,225
motu206,motu206,ASV442,parent,182
motu206,motu206,ASV1559,parent,182
motu206,motu206,ASV442,parent,182
motu207,motu207,ASV446,parent,228
motu208,motu208,ASV452,parent,229
motu209,motu209,ASV454,parent,231
motu210,motu210,ASV455,parent,232
motu211,motu211,ASV459,parent,234
motu212,motu212,ASV465,parent,237
motu213,motu213,ASV467,parent,187
motu213,motu213,ASV1738,parent,187
motu213,motu213,ASV2596,parent,187
motu213,motu213,ASV4866,parent,187
motu213,motu213,ASV467,parent,187
motu214,motu214,ASV470,parent,239
motu215,motu215,ASV472,parent,186
motu215,motu215,ASV861,parent,186
motu215,motu215,ASV472,parent,186
motu216,motu216,ASV473,parent,241
motu217,motu217,ASV477,parent,242
motu218,motu218,ASV481,parent,244
motu219,motu219,ASV489,parent,247
motu220,motu220,ASV495,parent,185
motu220,motu220,ASV707,parent,185
motu220,motu220,ASV3213,parent,185
motu220,motu220,ASV4436,parent,185
motu220,motu220,ASV495,parent,185
motu221,motu221,ASV496,parent,195
motu221,motu221,ASV2900,parent,195
motu221,motu221,ASV496,parent,195
motu222,motu222,ASV498,parent,177
motu222,motu222,ASV739,parent,177
motu222,motu222,ASV1315,parent,177
motu222,motu222,ASV1362,parent,177
motu222,motu222,ASV1478,parent,177
motu222,motu222,ASV2725,parent,177
motu222,motu222,ASV498,parent,177
motu223,motu223,ASV500,parent,251
motu224,motu224,ASV506,parent,252
motu225,motu225,ASV509,parent,253
motu226,motu226,ASV510,parent,198
motu226,motu226,ASV3845,parent,198
motu226,motu226,ASV510,parent,198
