"","raw_f","raw_r"
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1028_S111_R1_001.fastq.gz",159430,159430
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1029_S112_R1_001.fastq.gz",215472,215472
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1030_S113_R1_001.fastq.gz",138,138
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1031_S114_R1_001.fastq.gz",56750,56750
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1032_S115_R1_001.fastq.gz",185903,185903
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1033_S116_R1_001.fastq.gz",172735,172735
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1034_S117_R1_001.fastq.gz",172408,172408
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1035_S118_R1_001.fastq.gz",99823,99823
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1036_S119_R1_001.fastq.gz",239,239
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1038_S121_R1_001.fastq.gz",88230,88230
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1039_S122_R1_001.fastq.gz",123736,123736
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1040_S123_R1_001.fastq.gz",93440,93440
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1041_S124_R1_001.fastq.gz",203822,203822
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1042_S125_R1_001.fastq.gz",108662,108662
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1043_S126_R1_001.fastq.gz",143487,143487
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1044_S127_R1_001.fastq.gz",124369,124369
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1045_S128_R1_001.fastq.gz",160076,160076
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1046_S129_R1_001.fastq.gz",216325,216325
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1047_S130_R1_001.fastq.gz",105853,105853
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1048_S131_R1_001.fastq.gz",67940,67940
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1049_S132_R1_001.fastq.gz",123358,123358
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1050_S133_R1_001.fastq.gz",128860,128860
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1051_S134_R1_001.fastq.gz",4502,4502
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1052_S135_R1_001.fastq.gz",228855,228855
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1053_S136_R1_001.fastq.gz",245453,245453
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1054_S137_R1_001.fastq.gz",179143,179143
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1055_S138_R1_001.fastq.gz",127992,127992
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1056_S139_R1_001.fastq.gz",4299,4299
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1057_S140_R1_001.fastq.gz",137477,137477
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1058_S141_R1_001.fastq.gz",152070,152070
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1059_S142_R1_001.fastq.gz",192109,192109
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1061_S144_R1_001.fastq.gz",22150,22150
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1062_S145_R1_001.fastq.gz",230309,230309
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1063_S146_R1_001.fastq.gz",129377,129377
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1064_S147_R1_001.fastq.gz",133764,133764
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1065_S148_R1_001.fastq.gz",84900,84900
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1066_S149_R1_001.fastq.gz",4709,4709
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1067_S150_R1_001.fastq.gz",481231,481231
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1068_S151_R1_001.fastq.gz",244485,244485
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1069_S152_R1_001.fastq.gz",256855,256855
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1070_S153_R1_001.fastq.gz",214966,214966
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1071_S154_R1_001.fastq.gz",7596,7596
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1072_S155_R1_001.fastq.gz",209503,209503
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1073_S156_R1_001.fastq.gz",148945,148945
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1074_S157_R1_001.fastq.gz",228043,228043
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1075_S158_R1_001.fastq.gz",243419,243419
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1076_S159_R1_001.fastq.gz",6007,6007
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1077_S160_R1_001.fastq.gz",264995,264995
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1078_S161_R1_001.fastq.gz",196387,196387
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1079_S162_R1_001.fastq.gz",243898,243898
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1080_S163_R1_001.fastq.gz",164309,164309
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1081_S164_R1_001.fastq.gz",243,243
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1082_S165_R1_001.fastq.gz",213793,213793
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1083_S166_R1_001.fastq.gz",220693,220693
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1084_S167_R1_001.fastq.gz",329951,329951
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1085_S168_R1_001.fastq.gz",276882,276882
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1086_S169_R1_001.fastq.gz",614,614
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1087_S170_R1_001.fastq.gz",193064,193064
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1088_S171_R1_001.fastq.gz",86296,86296
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1089_S172_R1_001.fastq.gz",214854,214854
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1090_S173_R1_001.fastq.gz",229417,229417
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1091_S174_R1_001.fastq.gz",1956,1956
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1092_S175_R1_001.fastq.gz",227395,227395
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1093_S176_R1_001.fastq.gz",142613,142613
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1094_S177_R1_001.fastq.gz",273866,273866
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1095_S178_R1_001.fastq.gz",267062,267062
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1101_S179_R1_001.fastq.gz",13711,13711
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1102_S180_R1_001.fastq.gz",14563,14563
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1103_S181_R1_001.fastq.gz",13818,13818
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1104_S182_R1_001.fastq.gz",11766,11766
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1105_S183_R1_001.fastq.gz",2663,2663
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1106_S184_R1_001.fastq.gz",253611,253611
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1107_S185_R1_001.fastq.gz",258556,258556
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1108_S186_R1_001.fastq.gz",232562,232562
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1109_S187_R1_001.fastq.gz",197048,197048
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1110_S188_R1_001.fastq.gz",241816,241816
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1111_S189_R1_001.fastq.gz",228697,228697
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1112_S190_R1_001.fastq.gz",2862538,2862538
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1114_S325_R1_001.fastq.gz",262739,262739
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1115_S193_R1_001.fastq.gz",250,250
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1116_S194_R1_001.fastq.gz",110,110
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1117_S195_R1_001.fastq.gz",300833,300833
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1118_S196_R1_001.fastq.gz",218758,218758
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/20240923_PECOe-1119_S197_R1_001.fastq.gz",271358,271358
