"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"214","filtered20240923_PECOe-1282_S305_R1_001",197519,197519,197519,197519,197356,197268,194969,194894,186111,98.7905105494639,99.9615323461678,95.4934477202992
"215","filtered20240923_PECOe-1283_S306_R1_001",116917,116917,116917,116917,116869,116747,115142,114541,74539,98.522277079465,99.4780358166438,65.0762609022097
"216","filtered20240923_PECOe-1284_S307_R1_001",168484,168484,168484,168484,168292,168138,167095,163667,123299,99.2887362441471,97.9484724258655,75.3352844495225
"217","filtered20240923_PECOe-1286_S309_R1_001",197912,197912,197912,197912,197639,197409,195836,194212,171319,99.0877306604466,99.1707346963786,88.2123658682265
"218","filtered20240923_PECOe-1287_S310_R1_001",219039,219039,219039,219039,218994,218792,217506,217333,204861,99.3205293295707,99.9204619642676,94.2613408916271
"219","filtered20240923_PECOe-1288_S311_R1_001",251667,251667,251667,251667,251644,251473,248166,248021,247970,98.6178887634913,99.9415713675524,99.9794372250737
"220","filtered20240923_PECOe-1290_S313_R1_001",183550,183550,183550,183550,183341,183285,181600,180158,161485,99.0504033467691,99.2059471365639,89.6352090942395
"221","filtered20240923_PECOe-1291_S314_R1_001",226540,226540,226540,226540,226413,226053,224849,223582,204235,99.3092269436826,99.4365107249754,91.3467989373026
"222","filtered20240923_PECOe-1292_S315_R1_001",217549,217549,217549,217549,217515,217347,215828,215775,209864,99.2244213042779,99.9754434086402,97.2605723554629
"223","filtered20240923_PECOe-1293_S316_R1_001",198105,198105,198105,198105,197771,197714,195435,192870,140091,98.8188359263997,98.687543172922,72.6349354487479
"224","filtered20240923_PECOe-1294_S317_R1_001",201789,201789,201789,201789,201746,201558,200791,200589,189511,99.5266324982899,99.8993978813791,94.4772644561766
"225","filtered20240923_PECOe-1295_S318_R1_001",255485,255485,255485,255485,255457,255197,251411,251258,246811,98.416171801908,99.9391434742314,98.2301061060742
"226","filtered20240923_PECOe-1316_S319_R1_001",241275,241275,241275,241275,240520,240322,237891,221866,183410,98.9069516048561,93.263721620406,82.6670152254063
"227","filtered20240923_PECOe-1317_S320_R1_001",243179,243179,243179,243179,242889,242639,241081,234570,207766,99.2556270559803,97.2992479705991,88.573133819329
"228","filtered20240923_PECOe-1318_S321_R1_001",185701,185701,185701,185701,185392,185195,183688,179714,160725,99.0808664883059,97.8365489307957,89.4337669853211
"229","filtered20240923_PECOe-1319_S322_R1_001",174710,174710,174710,174710,174413,174141,172783,169137,147443,99.0654366360306,97.8898386994091,87.1737112518255
"230","filtered20240923_PECOe-877_S329_R1_001",235271,235271,235271,235271,234772,234495,232675,229659,197524,99.1067929736084,98.7037713548942,86.0075154903574
"231","filtered20240923_PECOe-878_S330_R1_001",206454,206454,206454,206454,206110,205947,204425,202636,179570,99.1824753772258,99.1248624189801,88.6170275765412
"232","filtered20240923_PECOe-879_S331_R1_001",239178,239178,239178,239178,238696,238441,236872,234659,195502,99.2358481080538,99.065740146577,83.3132332448361
"233","filtered20240923_PECOe-880_S332_R1_001",208605,208605,208605,208605,208459,208215,207416,207074,187333,99.4996618039998,99.8351139738497,90.4666930662468
"234","filtered20240923_PECOe-881_S333_R1_001",3,3,3,3,3,3,3,3,3,100,100,100
"235","filtered20240923_PECOe-882_S334_R1_001",255056,255056,255056,255056,254781,254533,252543,252027,214546,99.1215985493424,99.7956783597249,85.1281807107969
"236","filtered20240923_PECOe-883_S335_R1_001",181328,181328,181328,181328,180812,180486,178671,175091,144420,98.8158971749663,97.9963172534995,82.4828232176411
"237","filtered20240923_PECOe-884_S336_R1_001",216563,216563,216563,216563,216151,216020,214860,211400,177038,99.4027323491448,98.3896490738155,83.7455061494797
"238","filtered20240923_PECOe-885_S337_R1_001",363902,363902,363902,363902,363721,363161,362137,361028,330919,99.5645013623079,99.6937623054258,91.6602036407148
"239","filtered20240923_PECOe-886_S338_R1_001",12,12,12,12,12,12,12,12,12,100,100,100
"240","filtered20240923_PECOe-887_S339_R1_001",252524,252524,252524,252524,252391,252142,251216,250657,233016,99.5344524963251,99.7774823259665,92.9620956127297
"241","filtered20240923_PECOe-888_S340_R1_001",264527,264527,264527,264527,264510,264285,261961,261896,251169,99.0363313296284,99.9751871461782,95.9040993371415
"242","filtered20240923_PECOe-889_S341_R1_001",279615,279615,279615,279615,279381,279086,276818,271426,248212,99.0826147805327,98.0521497879473,91.4473926595094
"243","filtered20240923_PECOe-890_S342_R1_001",238625,238625,238625,238625,238587,238380,236301,236215,230439,99.041858944536,99.9636057401365,97.5547700188388
"244","filtered20240923_PECOe-892_S344_R1_001",164993,164993,164993,164993,164817,164605,163647,163285,139013,99.2901217714192,99.7787921562876,85.1351930673363
"245","filtered20240923_PECOe-893_S1_R1_001",3601240,3601240,3601240,3601240,3599185,3596514,3556910,3502120,2889996,98.8254285345155,98.4596180392532,82.5213299372951
