motu_lulu,motu_swarm,asv,curated,lulu_rank
motu20,motu20,ASV23,parent,25
motu20,motu20,ASV374,parent,25
motu20,motu20,ASV23,parent,25
motu21,motu21,ASV24,parent,26
motu21,motu21,ASV1313,parent,26
motu21,motu21,ASV24,parent,26
motu22,motu22,ASV25,parent,24
motu22,motu22,ASV112,parent,24
motu22,motu22,ASV517,parent,24
motu22,motu22,ASV401,parent,24
motu22,motu22,ASV25,parent,24
motu23,motu23,ASV26,parent,43
motu24,motu24,ASV27,parent,23
motu24,motu24,ASV76,parent,23
motu24,motu24,ASV770,parent,23
motu24,motu24,ASV27,parent,23
motu25,motu25,ASV28,parent,21
motu25,motu25,ASV38,parent,21
motu25,motu25,ASV362,parent,21
motu25,motu25,ASV481,parent,21
motu25,motu25,ASV28,parent,21
motu26,motu26,ASV29,parent,16
motu26,motu26,ASV45,parent,16
motu26,motu26,ASV53,parent,16
motu26,motu26,ASV763,parent,16
motu26,motu26,ASV838,parent,16
motu26,motu26,ASV1123,parent,16
motu26,motu26,ASV1179,parent,16
motu26,motu26,ASV1252,parent,16
motu26,motu26,ASV51,parent,16
motu26,motu26,ASV146,parent,16
motu26,motu26,ASV493,parent,16
motu26,motu26,ASV506,parent,16
motu26,motu26,ASV29,parent,16
motu27,motu27,ASV30,parent,27
motu27,motu27,ASV104,parent,27
motu27,motu27,ASV165,parent,27
motu27,motu27,ASV178,parent,27
motu27,motu27,ASV407,parent,27
motu27,motu27,ASV30,parent,27
motu28,motu28,ASV32,parent,30
motu28,motu28,ASV169,parent,30
motu28,motu28,ASV32,parent,30
motu29,motu29,ASV33,parent,28
motu29,motu29,ASV92,parent,28
motu29,motu29,ASV245,parent,28
motu29,motu29,ASV1215,parent,28
motu29,motu29,ASV243,parent,28
motu29,motu29,ASV33,parent,28
motu30,motu30,ASV35,parent,29
motu30,motu30,ASV115,parent,29
motu30,motu30,ASV128,parent,29
motu30,motu30,ASV392,parent,29
motu30,motu30,ASV35,parent,29
motu31,motu31,ASV36,parent,31
motu31,motu31,ASV83,parent,31
motu31,motu31,ASV379,parent,31
motu31,motu31,ASV615,parent,31
motu31,motu31,ASV719,parent,31
motu31,motu31,ASV473,parent,31
motu31,motu31,ASV823,parent,31
motu31,motu31,ASV1510,parent,31
motu31,motu31,ASV1977,parent,31
motu31,motu31,ASV36,parent,31
motu32,motu32,ASV37,parent,32
motu32,motu32,ASV80,parent,32
motu32,motu32,ASV453,parent,32
motu32,motu32,ASV37,parent,32
motu33,motu33,ASV39,parent,33
motu33,motu33,ASV106,parent,33
motu33,motu33,ASV352,parent,33
motu33,motu33,ASV355,parent,33
motu33,motu33,ASV468,parent,33
motu33,motu33,ASV479,parent,33
motu33,motu33,ASV575,parent,33
motu33,motu33,ASV404,parent,33
motu33,motu33,ASV698,parent,33
motu33,motu33,ASV39,parent,33
motu34,motu34,ASV41,parent,35
motu34,motu34,ASV207,parent,35
motu34,motu34,ASV797,parent,35
motu34,motu34,ASV41,parent,35
motu35,motu35,ASV43,parent,52
motu36,motu36,ASV44,parent,22
motu36,motu36,ASV47,parent,22
motu36,motu36,ASV81,parent,22
motu36,motu36,ASV100,parent,22
motu36,motu36,ASV107,parent,22
motu36,motu36,ASV318,parent,22
motu36,motu36,ASV44,parent,22
motu37,motu37,ASV46,parent,40
motu37,motu37,ASV238,parent,40
motu37,motu37,ASV264,parent,40
motu37,motu37,ASV46,parent,40
motu38,motu38,ASV48,parent,38
motu38,motu38,ASV101,parent,38
motu38,motu38,ASV578,parent,38
motu38,motu38,ASV1103,parent,38
motu38,motu38,ASV48,parent,38
motu39,motu39,ASV49,parent,54
motu40,motu40,ASV50,parent,36
motu40,motu40,ASV85,parent,36
motu40,motu40,ASV609,parent,36
motu40,motu40,ASV233,parent,36
motu40,motu40,ASV50,parent,36
motu41,motu41,ASV52,parent,45
motu41,motu41,ASV282,parent,45
motu41,motu41,ASV52,parent,45
motu42,motu42,ASV54,parent,41
motu42,motu42,ASV99,parent,41
motu42,motu42,ASV448,parent,41
motu42,motu42,ASV419,parent,41
motu42,motu42,ASV476,parent,41
motu42,motu42,ASV54,parent,41
motu43,motu43,ASV56,parent,39
motu43,motu43,ASV64,parent,39
motu43,motu43,ASV620,parent,39
motu43,motu43,ASV56,parent,39
motu44,motu44,ASV57,parent,44
motu44,motu44,ASV205,parent,44
motu44,motu44,ASV223,parent,44
motu44,motu44,ASV57,parent,44
motu45,motu45,ASV58,parent,46
motu45,motu45,ASV214,parent,46
motu45,motu45,ASV58,parent,46
motu46,motu46,ASV59,parent,34
motu46,motu46,ASV69,parent,34
motu46,motu46,ASV201,parent,34
motu46,motu46,ASV864,parent,34
motu46,motu46,ASV93,parent,34
motu46,motu46,ASV59,parent,34
motu47,motu47,ASV60,parent,42
motu47,motu47,ASV91,parent,42
motu47,motu47,ASV259,parent,42
motu47,motu47,ASV60,parent,42
motu48,motu48,ASV61,parent,37
motu48,motu48,ASV110,parent,37
motu48,motu48,ASV116,parent,37
motu48,motu48,ASV113,parent,37
motu48,motu48,ASV999,parent,37
motu48,motu48,ASV839,parent,37
motu48,motu48,ASV61,parent,37
motu49,motu49,ASV62,parent,66
motu50,motu50,ASV63,parent,67
motu51,motu51,ASV65,parent,70
motu52,motu52,ASV66,parent,47
motu52,motu52,ASV118,parent,47
motu52,motu52,ASV66,parent,47
motu53,motu53,ASV67,parent,48
motu53,motu53,ASV627,parent,48
motu53,motu53,ASV67,parent,48
motu54,motu54,ASV70,parent,49
motu54,motu54,ASV291,parent,49
motu54,motu54,ASV70,parent,49
motu55,motu55,ASV71,parent,71
motu56,motu56,ASV72,parent,51
motu56,motu56,ASV780,parent,51
motu56,motu56,ASV1198,parent,51
motu56,motu56,ASV72,parent,51
motu57,motu57,ASV74,parent,75
motu58,motu58,ASV75,parent,78
motu59,motu59,ASV77,parent,50
motu59,motu59,ASV141,parent,50
motu59,motu59,ASV194,parent,50
motu59,motu59,ASV176,parent,50
motu59,motu59,ASV799,parent,50
motu59,motu59,ASV77,parent,50
motu60,motu60,ASV78,parent,56
motu60,motu60,ASV632,parent,56
motu60,motu60,ASV78,parent,56
motu61,motu61,ASV79,parent,81
motu62,motu62,ASV82,parent,58
motu62,motu62,ASV2093,parent,58
motu62,motu62,ASV82,parent,58
motu63,motu63,ASV84,parent,57
motu63,motu63,ASV280,parent,57
motu63,motu63,ASV84,parent,57
motu64,motu64,ASV87,parent,53
motu64,motu64,ASV127,parent,53
motu64,motu64,ASV1544,parent,53
motu64,motu64,ASV1760,parent,53
motu64,motu64,ASV196,parent,53
motu64,motu64,ASV731,parent,53
motu64,motu64,ASV998,parent,53
motu64,motu64,ASV1318,parent,53
motu64,motu64,ASV1076,parent,53
motu64,motu64,ASV1476,parent,53
motu64,motu64,ASV87,parent,53
motu65,motu65,ASV88,parent,55
motu65,motu65,ASV147,parent,55
motu65,motu65,ASV88,parent,55
motu66,motu66,ASV90,parent,61
motu66,motu66,ASV642,parent,61
motu66,motu66,ASV1298,parent,61
motu66,motu66,ASV90,parent,61
motu67,motu67,ASV94,parent,59
motu67,motu67,ASV190,parent,59
motu67,motu67,ASV359,parent,59
motu67,motu67,ASV94,parent,59
motu68,motu68,ASV95,parent,63
motu68,motu68,ASV322,parent,63
motu68,motu68,ASV95,parent,63
motu69,motu69,ASV97,parent,62
motu69,motu69,ASV226,parent,62
motu69,motu69,ASV97,parent,62
motu70,motu70,ASV98,parent,88
motu71,motu71,ASV102,parent,68
motu71,motu71,ASV279,parent,68
motu71,motu71,ASV102,parent,68
motu72,motu72,ASV103,parent,60
