1	10333	ASV381	10333	0	0	0
1	9986	ASV383	9986	0	0	0
1	9888	ASV384	9888	0	0	0
1	9872	ASV386	9872	0	0	0
1	9557	ASV387	9557	0	0	0
1	9530	ASV388	9530	0	0	0
1	9511	ASV389	9511	0	0	0
2	9506	ASV390	9377	0	1	1
2	13011	ASV397	9115	0	1	1
1	9085	ASV398	9085	0	0	0
1	9054	ASV399	9054	0	0	0
1	8855	ASV403	8855	0	0	0
1	8774	ASV405	8774	0	0	0
1	8772	ASV406	8772	0	0	0
1	8708	ASV408	8708	0	0	0
1	8668	ASV409	8668	0	0	0
3	8809	ASV411	8644	0	1	1
1	8542	ASV413	8542	0	0	0
2	9792	ASV414	8498	0	1	1
1	8469	ASV415	8469	0	0	0
1	8467	ASV416	8467	0	0	0
1	8418	ASV418	8418	0	0	0
1	8187	ASV422	8187	0	0	0
1	8054	ASV425	8054	0	0	0
1	8043	ASV427	8043	0	0	0
1	8007	ASV428	8007	0	0	0
1	7888	ASV430	7888	0	0	0
3	10388	ASV434	7703	0	1	1
1	7659	ASV435	7659	0	0	0
3	8223	ASV436	7596	0	1	1
2	8580	ASV438	7569	0	1	1
1	7546	ASV439	7546	0	0	0
1	7510	ASV441	7510	0	0	0
1	7172	ASV444	7172	0	0	0
1	7110	ASV445	7110	0	0	0
1	7026	ASV447	7026	0	0	0
1	6912	ASV449	6912	0	0	0
2	8072	ASV450	6801	0	1	1
1	6800	ASV451	6800	0	0	0
1	6779	ASV452	6779	0	0	0
1	6670	ASV454	6670	0	0	0
4	16904	ASV455	6651	0	3	3
1	6470	ASV459	6470	0	0	0
1	6422	ASV460	6422	0	0	0
1	6359	ASV461	6359	0	0	0
1	6194	ASV466	6194	0	0	0
1	6059	ASV467	6059	0	0	0
1	5984	ASV469	5984	0	0	0
1	5899	ASV471	5899	0	0	0
2	6042	ASV472	5855	0	1	1
1	5776	ASV474	5776	0	0	0
2	5749	ASV475	5738	0	1	1
4	7249	ASV482	5659	0	2	2
1	5645	ASV483	5645	0	0	0
2	5640	ASV484	5632	0	1	1
2	10487	ASV485	5519	0	1	1
1	5495	ASV486	5495	0	0	0
1	5358	ASV489	5358	0	0	0
1	5353	ASV490	5353	0	0	0
1	5232	ASV491	5232	0	0	0
1	5054	ASV497	5054	0	0	0
1	4937	ASV501	4937	0	0	0
1	4883	ASV503	4883	0	0	0
1	4858	ASV504	4858	0	0	0
1	4802	ASV505	4802	0	0	0
1	4775	ASV507	4775	0	0	0
1	4746	ASV508	4746	0	0	0
1	4638	ASV513	4638	0	0	0
1	4607	ASV514	4607	0	0	0
1	4505	ASV519	4505	0	0	0
1	4499	ASV520	4499	0	0	0
1	4496	ASV521	4496	0	0	0
3	4685	ASV522	4487	0	1	1
1	4414	ASV523	4414	0	0	0
3	4687	ASV524	4409	0	1	1
1	4331	ASV525	4331	0	0	0
1	4295	ASV527	4295	0	0	0
1	4223	ASV529	4223	0	0	0
2	5179	ASV530	4196	0	1	1
2	4259	ASV533	4140	0	1	1
2	4553	ASV534	4089	0	1	1
1	4076	ASV535	4076	0	0	0
1	4034	ASV536	4034	0	0	0
1	4019	ASV539	4019	0	0	0
2	4069	ASV540	4000	0	1	1
3	7127	ASV541	3978	0	2	2
1	3970	ASV542	3970	0	0	0
1	3963	ASV544	3963	0	0	0
1	3961	ASV545	3961	0	0	0
1	3927	ASV547	3927	0	0	0
1	3856	ASV549	3856	0	0	0
1	3843	ASV550	3843	0	0	0
1	3842	ASV551	3842	0	0	0
1	3788	ASV554	3788	0	0	0
1	3783	ASV555	3783	0	0	0
1	3764	ASV556	3764	0	0	0
3	4457	ASV557	3760	0	1	1
3	4339	ASV558	3743	0	1	1
1	3729	ASV559	3729	0	0	0
4	6572	ASV564	3622	0	2	2
1	3613	ASV565	3613	0	0	0
1	3575	ASV567	3575	0	0	0
1	3566	ASV568	3566	0	0	0
1	3558	ASV569	3558	0	0	0
1	3535	ASV570	3535	0	0	0
1	3504	ASV571	3504	0	0	0
2	3472	ASV572	3454	0	1	1
1	3448	ASV573	3448	0	0	0
1	3447	ASV574	3447	0	0	0
1	3437	ASV576	3437	0	0	0
1	3418	ASV577	3418	0	0	0
1	3378	ASV579	3378	0	0	0
1	3357	ASV580	3357	0	0	0
2	3360	ASV582	3322	0	1	1
1	3304	ASV585	3304	0	0	0
1	3273	ASV586	3273	0	0	0
1	3252	ASV587	3252	0	0	0
1	3247	ASV588	3247	0	0	0
1	3246	ASV589	3246	0	0	0
1	3231	ASV590	3231	0	0	0
1	3228	ASV591	3228	0	0	0
1	3160	ASV595	3160	0	0	0
2	3125	ASV596	3108	0	1	1
1	3099	ASV597	3099	0	0	0
1	3068	ASV598	3068	0	0	0
1	3038	ASV600	3038	0	0	0
1	2982	ASV601	2982	0	0	0
1	2950	ASV605	2950	0	0	0
3	4595	ASV606	2945	0	1	1
1	2927	ASV610	2927	0	0	0
1	2903	ASV611	2903	0	0	0
1	2850	ASV614	2850	0	0	0
1	2825	ASV616	2825	0	0	0
2	3091	ASV617	2822	0	1	1
1	2797	ASV618	2797	0	0	0
1	2763	ASV621	2763	0	0	0
1	2734	ASV623	2734	0	0	0
