seed_asv,motu,asv,asv_reads
ASV41,motu34,ASV41,788930
ASV41,motu34,ASV207,55788
ASV41,motu34,ASV797,1390
ASV41,motu34,ASV41,846108
ASV43,motu35,ASV43,755535
ASV44,motu36,ASV44,741671
ASV44,motu36,ASV47,667220
ASV44,motu36,ASV81,287730
ASV44,motu36,ASV100,231078
ASV44,motu36,ASV107,213860
ASV44,motu36,ASV318,16015
ASV44,motu36,ASV44,2157574
ASV46,motu37,ASV46,681237
ASV46,motu37,ASV238,38649
ASV46,motu37,ASV264,29192
ASV46,motu37,ASV46,749078
ASV48,motu38,ASV48,656386
ASV48,motu38,ASV101,230616
ASV48,motu38,ASV578,3409
ASV48,motu38,ASV1103,468
ASV48,motu38,ASV48,890879
ASV49,motu39,ASV49,652895
ASV50,motu40,ASV50,643252
ASV50,motu40,ASV85,271551
ASV50,motu40,ASV609,2938
ASV50,motu40,ASV233,40405
ASV50,motu40,ASV50,958146
ASV52,motu41,ASV52,550840
ASV52,motu41,ASV282,23462
ASV52,motu41,ASV52,574302
ASV54,motu42,ASV54,547125
ASV54,motu42,ASV99,231198
ASV54,motu42,ASV448,6959
ASV54,motu42,ASV419,8357
ASV54,motu42,ASV476,5702
ASV54,motu42,ASV54,799341
ASV56,motu43,ASV56,525891
ASV56,motu43,ASV64,463709
ASV56,motu43,ASV620,2771
ASV56,motu43,ASV56,992371
ASV57,motu44,ASV57,524231
ASV57,motu44,ASV205,57100
ASV57,motu44,ASV223,46853
ASV57,motu44,ASV57,628184
ASV58,motu45,ASV58,514332
ASV58,motu45,ASV214,51460
ASV58,motu45,ASV58,565792
ASV59,motu46,ASV59,509930
ASV59,motu46,ASV69,439669
ASV59,motu46,ASV201,58726
ASV59,motu46,ASV864,1035
ASV59,motu46,ASV93,249017
ASV59,motu46,ASV59,1258377
ASV60,motu47,ASV60,503517
ASV60,motu47,ASV91,256485
ASV60,motu47,ASV259,30408
ASV60,motu47,ASV60,790410
ASV61,motu48,ASV61,495702
ASV61,motu48,ASV110,206863
ASV61,motu48,ASV116,172990
ASV61,motu48,ASV113,183511
ASV61,motu48,ASV999,652
ASV61,motu48,ASV839,1164
ASV61,motu48,ASV61,1060882
ASV62,motu49,ASV62,484871
ASV63,motu50,ASV63,483350
ASV65,motu51,ASV65,448486
ASV66,motu52,ASV66,446164
ASV66,motu52,ASV118,169494
ASV66,motu52,ASV66,615658
ASV67,motu53,ASV67,445112
ASV67,motu53,ASV627,2686
ASV67,motu53,ASV67,447798
ASV70,motu54,ASV70,430852
ASV70,motu54,ASV291,21355
ASV70,motu54,ASV70,452207
ASV71,motu55,ASV71,430623
ASV72,motu56,ASV72,413491
ASV72,motu56,ASV780,1471
ASV72,motu56,ASV1198,342
ASV72,motu56,ASV72,415304
ASV74,motu57,ASV74,384576
ASV75,motu58,ASV75,350507
ASV77,motu59,ASV77,303693
ASV77,motu59,ASV141,117004
ASV77,motu59,ASV194,63049
ASV77,motu59,ASV176,74880
ASV77,motu59,ASV799,1375
ASV77,motu59,ASV77,560001
ASV78,motu60,ASV78,300668
ASV78,motu60,ASV632,2630
ASV78,motu60,ASV78,303298
ASV79,motu61,ASV79,300077
ASV82,motu62,ASV82,286673
ASV82,motu62,ASV2093,2
ASV82,motu62,ASV82,286675
ASV84,motu63,ASV84,280602
ASV84,motu63,ASV280,23887
ASV84,motu63,ASV84,304489
ASV87,motu64,ASV87,268403
ASV87,motu64,ASV127,152585
ASV87,motu64,ASV1544,98
ASV87,motu64,ASV1760,41
ASV87,motu64,ASV196,61178
ASV87,motu64,ASV731,1784
ASV87,motu64,ASV998,653
ASV87,motu64,ASV1318,224
ASV87,motu64,ASV1076,518
ASV87,motu64,ASV1476,126
ASV87,motu64,ASV87,485610
ASV88,motu65,ASV88,266964
ASV88,motu65,ASV147,107888
ASV88,motu65,ASV88,374852
ASV90,motu66,ASV90,263907
ASV90,motu66,ASV642,2593
ASV90,motu66,ASV1298,238
ASV90,motu66,ASV90,266738
ASV94,motu67,ASV94,247675
ASV94,motu67,ASV190,65155
ASV94,motu67,ASV359,12048
ASV94,motu67,ASV94,324878
ASV95,motu68,ASV95,246949
ASV95,motu68,ASV322,15031
ASV95,motu68,ASV95,261980
ASV97,motu69,ASV97,239586
ASV97,motu69,ASV226,45327
ASV97,motu69,ASV97,284913
ASV98,motu70,ASV98,235016
ASV102,motu71,ASV102,229617
ASV102,motu71,ASV279,23924
ASV102,motu71,ASV102,253541
ASV103,motu72,ASV103,227212
ASV103,motu72,ASV144,114127
ASV103,motu72,ASV705,1983
ASV103,motu72,ASV103,343322
ASV105,motu73,ASV105,220463
ASV109,motu74,ASV109,209181
ASV109,motu74,ASV400,9026
ASV109,motu74,ASV109,218207
ASV111,motu75,ASV111,192865
ASV111,motu75,ASV170,80205
ASV111,motu75,ASV244,36957
ASV111,motu75,ASV111,310027
ASV114,motu76,ASV114,177200
ASV114,motu76,ASV251,34085
ASV114,motu76,ASV114,211285
ASV117,motu77,ASV117,170367
ASV117,motu77,ASV123,161371
ASV117,motu77,ASV117,331738
ASV119,motu78,ASV119,169323
ASV121,motu79,ASV121,167890
ASV121,motu79,ASV532,4144
ASV121,motu79,ASV121,172034
ASV122,motu80,ASV122,167521
ASV122,motu80,ASV232,40472
ASV122,motu80,ASV791,1420
ASV122,motu80,ASV561,3675
ASV122,motu80,ASV122,213088
ASV124,motu81,ASV124,158801
ASV124,motu81,ASV186,68545
ASV124,motu81,ASV267,28537
ASV124,motu81,ASV124,255883
ASV125,motu82,ASV125,156113
ASV126,motu83,ASV126,155585
ASV129,motu84,ASV129,151021
ASV130,motu85,ASV130,144180
ASV131,motu86,ASV131,142963
ASV131,motu86,ASV421,8290
ASV131,motu86,ASV131,151253
ASV132,motu87,ASV132,136245
ASV132,motu87,ASV135,124698
ASV132,motu87,ASV230,43293
ASV132,motu87,ASV290,21396
ASV132,motu87,ASV360,12031
ASV132,motu87,ASV132,337663
ASV133,motu88,ASV133,135329
ASV133,motu88,ASV171,80158
ASV133,motu88,ASV133,215487
ASV136,motu89,ASV136,122307
ASV137,motu90,ASV137,121674
ASV137,motu90,ASV154,94041
ASV137,motu90,ASV137,215715
ASV138,motu91,ASV138,119636
ASV139,motu92,ASV139,118291
ASV142,motu93,ASV142,116339
ASV142,motu93,ASV494,5158
ASV142,motu93,ASV142,121497
ASV143,motu94,ASV143,114978
ASV145,motu95,ASV145,108904
ASV148,motu96,ASV148,101979
ASV149,motu97,ASV149,97297
ASV149,motu97,ASV215,51282
ASV149,motu97,ASV1945,14
ASV149,motu97,ASV1946,14
ASV149,motu97,ASV149,148607
ASV150,motu98,ASV150,95738
ASV150,motu98,ASV682,2144
ASV150,motu98,ASV150,97882
ASV153,motu99,ASV153,95327
ASV156,motu100,ASV156,91320
ASV157,motu101,ASV157,91215
ASV157,motu101,ASV167,80910
ASV157,motu101,ASV304,18632
ASV157,motu101,ASV157,190757
ASV158,motu102,ASV158,90951
ASV158,motu102,ASV210,54372
ASV158,motu102,ASV1088,494
ASV158,motu102,ASV158,145817
ASV160,motu103,ASV160,87086
ASV161,motu104,ASV161,86381
ASV161,motu104,ASV957,757
ASV161,motu104,ASV161,87138
ASV162,motu105,ASV162,85973
ASV164,motu106,ASV164,84080
ASV168,motu107,ASV168,80732
ASV168,motu107,ASV258,30824
ASV168,motu107,ASV593,3177
ASV168,motu107,ASV168,114733
ASV172,motu108,ASV172,80017
ASV172,motu108,ASV227,44579
ASV172,motu108,ASV239,37972
ASV172,motu108,ASV172,162568
ASV177,motu109,ASV177,73849
ASV181,motu110,ASV181,71615
ASV182,motu111,ASV182,70551
ASV182,motu111,ASV933,806
ASV182,motu111,ASV1928,16
ASV182,motu111,ASV182,71373
ASV183,motu112,ASV183,70277
ASV184,motu113,ASV184,69865
ASV189,motu114,ASV189,67232
ASV191,motu115,ASV191,65023
ASV193,motu116,ASV193,63769
ASV193,motu116,ASV2058,5
ASV193,motu116,ASV193,63774
ASV195,motu117,ASV195,62642
ASV195,motu117,ASV216,51170
ASV195,motu117,ASV492,5202
ASV195,motu117,ASV195,119014
ASV197,motu118,ASV197,60631
ASV198,motu119,ASV198,59701
ASV202,motu120,ASV202,57785
ASV203,motu121,ASV203,57206
ASV203,motu121,ASV432,7769
ASV203,motu121,ASV203,64975
ASV208,motu122,ASV208,55510
ASV211,motu123,ASV211,53947
ASV217,motu124,ASV217,50918
ASV218,motu125,ASV218,50375
ASV218,motu125,ASV252,33506
ASV218,motu125,ASV218,83881
ASV221,motu126,ASV221,47686
ASV221,motu126,ASV229,43441
ASV221,motu126,ASV221,91127
ASV228,motu127,ASV228,43879
ASV231,motu128,ASV231,41666
ASV231,motu128,ASV276,25063
ASV231,motu128,ASV231,66729
ASV234,motu129,ASV234,40268
ASV236,motu130,ASV236,39423
ASV236,motu130,ASV543,3967
